,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,3.0288,3.0288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6924,0.0000,0.0000,0.0000,0.0000,0.9473,0.9473,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9507,0.0000,0.0000
2,2,7.0666,5.6782,0.7997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0098,0.0000,0.0000,1.4458,0.0098,0.0000,0.0020,0.0098,2.0180,1.7349,0.2859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,7.8781,0.0000,0.9805
3,3,12.4618,8.0020,2.5299,0.1307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0115,0.0000,0.0000,0.0000,0.0280,0.0000,0.0000,2.0481,0.0355,0.0000,0.0153,0.0355,3.3661,2.4137,0.7949,0.0396,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.0000,0.0079,0.0000,11.1994,0.0000,1.9685
4,4,19.6855,10.1286,5.0357,0.4323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0345,0.0019,0.0000,0.0000,0.0461,0.0000,0.0000,2.7230,0.0533,0.0000,0.0512,0.0533,5.2006,3.6920,1.4397,0.1375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0117,0.0000,0.0000,0.0000,0.0040,0.0040,13.7722,0.0000,2.8000
5,5,26.4348,10.5124,8.1641,0.9201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0426,0.0078,0.0000,0.0000,0.1022,0.0020,0.0000,3.5415,0.1314,0.0000,0.0715,0.1314,7.3774,4.7622,2.2824,0.2669,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0156,0.0000,0.0000,0.0000,0.0213,0.0040,15.3940,0.0000,2.7796
6,6,26.2977,8.7601,12.5320,1.8573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0611,0.0117,0.0000,0.0000,0.1458,0.0175,0.0000,4.1258,0.2177,0.0000,0.0967,0.2177,8.0853,3.8414,3.2622,0.5672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0208,0.0000,0.0000,0.0000,0.0363,0.0079,16.9747,0.0000,2.7379
7,7,26.9530,8.3513,13.8789,3.1013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0866,0.0194,0.0000,0.0000,0.1786,0.0450,0.0000,4.6948,0.2913,0.0000,0.1413,0.2913,8.9395,3.4669,3.8614,1.0362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0233,0.0073,0.0000,0.0000,0.0576,0.0098,18.4830,0.0000,2.4239
8,8,31.6920,9.9365,13.8593,5.0492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1084,0.0343,0.0000,0.0000,0.2529,0.0727,0.0000,5.0802,0.4153,0.0000,0.1801,0.4153,11.6913,5.5865,4.4092,1.4873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0358,0.0073,0.0000,0.0000,0.0858,0.0195,19.7841,0.0000,2.2002
9,9,35.7700,10.5129,16.0639,7.5155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1338,0.0477,0.0000,0.0000,0.3538,0.0911,0.0000,5.8461,0.5846,0.0000,0.2138,0.5846,15.1356,7.4215,5.3016,2.0277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0433,0.0091,0.0000,0.0000,0.1138,0.0384,20.7047,0.0000,2.0364
