,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,216.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,205.6419,9.8102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.6082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8102,0.0000,0.0000
2,2,191.5167,20.5536,2.7039,0.0000,-0.0218,-0.0015,-0.0027,0.0000,0.0000,0.0000,0.0025,0.0000,0.0000,0.0000,0.0042,0.0000,60.2367,1.2539,0.0042,-0.0027,0.0025,0.0042,0.0000,0.0000,0.0000,73.9810,0.0000,0.0000,0.0000,-0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.1912,-0.0015,2.4650
3,3,171.5977,33.5798,7.8253,0.3755,0.3331,0.0584,0.0378,-0.0019,0.0000,0.0000,0.0152,-0.0019,0.0000,0.0000,0.0567,0.0000,61.6136,1.9946,0.0567,0.0378,0.0168,0.0567,0.0000,0.0000,0.0000,73.8761,0.0000,0.0000,0.0000,0.0525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.0415,0.0262,5.3354
4,4,144.0337,49.0445,15.4114,1.4559,1.7245,0.4546,0.3635,0.0191,0.0000,0.0000,0.0543,-0.0015,0.0000,0.0000,0.1605,0.0078,64.8358,2.6884,0.1790,0.3451,0.0577,0.1790,0.0000,0.0000,0.0000,73.5385,0.0000,0.0000,0.0000,0.3080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.8851,0.1540,7.7068
5,5,112.9259,62.4211,26.0513,3.3562,3.7224,1.3358,1.2687,0.1739,0.0000,0.0000,0.1014,0.0066,0.0000,0.0000,0.3297,0.0361,69.9809,3.2734,0.3835,1.1684,0.1176,0.3835,0.0000,0.0000,0.0000,72.9831,0.0000,0.0000,0.0000,0.7787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.3337,0.3894,9.6152
6,6,105.0276,47.7962,38.4025,6.5118,6.1267,2.6791,3.1827,0.6362,0.0000,0.0000,0.2126,0.0123,-0.0209,-0.0057,0.5405,0.0820,77.3048,3.9798,0.6443,2.8320,0.2363,0.6443,0.0000,0.0000,0.0000,72.1858,0.0000,0.0000,0.0000,1.5088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0038,47.7026,0.7562,10.7369
7,7,96.0646,37.1529,43.6567,10.8635,9.9631,3.7645,5.9702,1.7469,-0.0209,-0.0057,0.3172,0.0428,-0.0084,-0.0034,0.8560,0.1465,87.4959,4.6811,1.0199,5.3080,0.3765,1.0199,0.0000,0.0000,0.0000,71.0487,0.0000,0.0000,0.0000,2.5552,0.0000,0.0000,0.0000,-0.0038,0.0000,0.0000,0.0000,-0.0015,52.5595,1.2859,11.3219
8,8,31.2550,15.7879,7.7591,3.5459,63.1401,24.0989,46.3852,15.6629,-0.0209,-0.0038,0.4105,0.0897,-0.0084,-0.0039,1.1311,0.2581,216.1606,5.2982,1.4094,31.7366,0.5210,1.4094,0.0000,0.0000,0.0000,56.5681,0.0000,0.0000,0.0000,16.8840,0.0000,0.0000,0.0000,-0.0038,0.0000,0.0000,0.0000,-0.0015,56.9348,8.4504,11.5521
9,9,22.1141,18.9002,10.4417,4.3918,64.1259,17.7472,47.5883,22.0858,-0.0173,-0.0040,0.4047,0.1311,0.0011,-0.0020,1.0898,0.3858,218.8359,5.4923,1.4952,32.2506,0.5577,1.4952,0.0000,0.0000,0.0000,56.2919,0.0000,0.0000,0.0000,17.1529,0.0000,0.0000,0.0000,-0.0029,0.0000,0.0000,0.0000,0.0005,58.4742,8.5888,11.7462
10,10,14.7611,19.2712,13.5259,5.4705,64.8786,13.3798,46.9946,28.8533,-0.0078,-0.0036,0.3845,0.1959,0.0237,0.0031,1.0392,0.5430,221.9182,5.6629,1.5936,33.0431,0.6007,1.5936,0.0000,0.0000,0.0000,55.9799,0.0000,0.0000,0.0000,17.4548,0.0000,0.0000,0.0000,-0.0013,0.0000,0.0000,0.0000,0.0050,59.5541,8.7455,11.8291
11,11,9.4344,17.5683,15.9266,6.8323,65.4119,10.3994,45.6967,35.4727,0.0116,0.0004,0.3791,0.2705,0.0756,0.0175,1.0539,0.6963,225.1693,5.8356,1.7166,34.1166,0.6504,1.7166,0.0000,0.0000,0.0000,55.6127,0.0000,0.0000,0.0000,17.7977,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0190,60.3112,8.9306,11.8754
12,12,5.5808,14.9276,17.1390,8.2732,65.9424,8.2815,44.0854,42.2910,0.0116,-0.0010,0.3935,0.3136,0.1155,0.0319,1.1196,0.8297,229.2370,6.0281,1.8712,35.5272,0.7094,1.8712,0.0000,0.0000,0.0000,55.1811,0.0000,0.0000,0.0000,18.2313,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0308,60.8013,9.1557,11.8687
13,13,4.1287,9.3873,16.3711,9.3256,67.2335,7.4949,43.1896,49.4119,0.0116,-0.0025,0.3970,0.3684,0.1155,0.0208,1.1259,0.9885,236.7854,6.1899,2.0222,37.8240,0.7647,2.0222,0.0000,0.0000,0.0000,54.4095,0.0000,0.0000,0.0000,19.0387,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0308,61.0557,9.5595,11.8026
14,14,3.7131,6.3729,15.3615,10.5839,67.4586,5.8701,41.0278,56.0903,0.0116,-0.0025,0.3855,0.4145,0.1255,0.0172,1.1421,1.1312,240.2384,6.2801,2.1592,39.2308,0.7985,2.1592,0.0000,0.0000,0.0000,54.0520,0.0000,0.0000,0.0000,19.4136,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0339,61.2603,9.7494,11.7583
15,15,0.4171,0.6256,0.8101,1.0090,70.6635,8.3441,52.2736,73.8743,0.0116,-0.0001,0.4025,0.4601,0.1255,0.0118,1.1101,1.2622,263.2097,6.4251,2.2511,47.1889,0.8598,2.2511,0.0000,0.0000,0.0000,50.3351,0.0000,0.0000,0.0000,23.4204,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0339,61.4366,11.7547,11.6486
16,16,0.3014,0.5406,0.7744,1.0083,70.6484,5.8495,48.0375,80.9118,0.0116,-0.0014,0.3495,0.5234,0.1255,0.0052,0.9616,1.4264,263.5548,6.4442,2.2596,47.2797,0.8672,2.2596,0.0000,0.0000,0.0000,50.3087,0.0000,0.0000,0.0000,23.4497,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0339,61.4682,11.7696,11.5553
17,17,0.5445,0.5283,0.7606,1.2075,70.1229,4.0298,43.5717,87.2584,0.0116,-0.0018,0.2998,0.5713,0.1255,-0.0003,0.8542,1.5135,263.7410,6.4579,2.2635,47.3398,0.8726,2.2635,0.0000,0.0000,0.0000,50.3608,0.0000,0.0000,0.0000,23.3832,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0339,61.5017,11.7355,11.3780
18,18,1.7648,0.4772,0.7423,2.2263,68.5357,2.8028,39.0979,92.2587,0.0116,0.0000,0.2597,0.5778,0.1310,-0.0069,0.7354,1.5524,263.9485,6.4741,2.2735,47.4023,0.8766,2.2735,0.0000,0.0000,0.0000,50.6101,0.0000,0.0000,0.0000,23.0919,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0370,61.6014,11.5916,11.0735
19,19,3.5022,0.5637,0.7441,4.5578,66.3733,1.8896,34.4900,95.7006,0.0116,0.0000,0.2336,0.5544,0.1310,-0.0057,0.6201,1.4796,264.0934,6.5124,2.2756,47.4574,0.8817,2.2756,0.0000,0.0000,0.0000,51.0780,0.0000,0.0000,0.0000,22.5657,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0370,61.7773,11.3286,10.6263
20,20,5.6426,0.6895,0.7541,8.7896,63.8953,1.2654,29.8402,97.0376,0.0116,0.0000,0.1769,0.5022,0.1164,-0.0057,0.4797,1.3523,264.2090,6.5537,2.2776,47.4927,0.8857,2.2776,0.0000,0.0000,0.0000,51.8040,0.0000,0.0000,0.0000,21.7900,0.0000,0.0000,0.0000,0.0029,0.0000,0.0000,0.0000,0.0339,62.0884,10.9381,10.0437
21,21,9.0680,0.9094,0.7545,14.4176,59.8883,0.8231,25.4406,96.7380,0.0008,0.0000,0.1289,0.3970,0.0935,-0.0053,0.3731,1.0849,264.5483,6.6167,2.2952,47.5886,0.8876,2.2952,0.0000,0.0000,0.0000,52.8382,0.0000,0.0000,0.0000,20.6920,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0308,62.5710,10.3850,9.3798
22,22,58.8148,3.4854,0.2879,88.5955,7.2363,0.6773,12.3277,36.5646,0.0008,0.0000,0.0830,0.2837,0.0935,-0.0040,0.2783,0.7486,310.9150,7.1540,2.3093,48.1579,0.8909,2.3093,0.0000,0.0000,0.0000,66.8906,0.0000,0.0000,0.0000,6.4965,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0308,65.4258,3.2870,3.5190
