,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,5.9103,5.9103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7027,0.0000,0.0000,0.0000,0.0000,1.9977,1.9977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8762,0.0000,0.0000
2,2,18.4355,13.2525,1.9261,0.0000,0.1988,0.0000,0.0020,0.0000,0.0000,0.0000,0.0019,0.0000,0.0000,0.0000,0.0098,0.0000,4.9240,1.4125,0.0117,0.0020,0.0019,0.0117,4.8020,4.0326,0.5747,0.0000,0.1273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,14.9942,0.0020,1.8384
3,3,43.7729,22.1735,5.8916,0.2573,3.2968,0.0677,0.0704,0.0000,0.0000,0.0000,0.0211,0.0000,0.0000,0.0000,0.0525,0.0020,31.1002,2.0722,0.0613,0.0973,0.0285,0.0613,12.2213,6.9084,1.7659,0.0862,2.2335,0.0079,0.0078,0.0000,0.0000,0.0000,0.0077,0.0000,0.0000,0.0000,0.0079,0.0000,21.6602,0.0397,2.7248
4,4,75.5518,32.6481,12.9382,0.9894,6.8977,0.6611,0.3206,0.0234,0.0000,0.0000,0.0398,0.0020,0.0000,0.0000,0.1057,0.0077,66.6349,2.7103,0.1283,0.4892,0.0591,0.1283,22.3048,11.2552,3.3687,0.3665,5.5890,0.0422,0.0534,0.0039,0.0000,0.0000,0.0193,0.0000,0.0000,0.0000,0.0175,0.0000,26.5576,0.1075,2.7327
5,5,109.8357,40.8539,24.7064,2.2179,12.7618,1.8286,1.7688,0.1052,0.0000,0.0000,0.0879,0.0059,0.0000,0.0000,0.1950,0.0287,129.4811,3.2301,0.2366,2.2154,0.1170,0.2366,39.4793,16.7215,6.1725,0.7227,12.1546,0.2153,0.2508,0.0170,0.0000,0.0000,0.0306,0.0000,0.0000,0.0000,0.0212,0.0059,29.6329,0.2628,2.2552
6,6,120.1153,30.1821,36.9205,5.0331,21.2105,3.7888,5.4295,0.4575,0.0000,0.0000,0.1452,0.0213,0.0000,0.0000,0.3222,0.0523,226.9591,3.6471,0.4380,6.8946,0.2166,0.4380,57.2762,11.5994,9.3959,1.4372,22.4447,0.6693,0.5797,0.0565,0.0000,0.0000,0.0470,0.0020,0.0000,0.0000,0.0587,0.0078,30.9451,0.5275,1.5887
7,7,121.7241,22.9200,39.6888,8.9143,29.2904,4.4862,10.0776,1.4628,0.0000,0.0000,0.2139,0.0415,0.1509,0.0255,0.6094,0.0762,345.2898,4.2132,0.6433,12.0297,0.3278,0.6433,69.3700,9.4491,11.9067,2.5769,33.9842,0.8206,0.9788,0.2098,0.0000,0.0000,0.0651,0.0059,0.2567,0.0058,0.0918,0.0211,32.6155,0.8013,0.9894
8,8,162.8675,34.7129,16.7862,6.7648,120.2704,18.2288,54.3305,12.6464,0.0000,0.0000,0.2645,0.0699,0.1509,0.0039,0.7432,0.1656,884.5870,4.6509,0.9048,48.0359,0.4183,0.9048,147.1165,9.8747,6.4462,2.3055,118.5654,4.3470,8.4427,2.1063,0.0000,0.0000,0.0701,0.0175,0.2567,0.0058,0.1258,0.0323,37.4715,2.7602,0.6546
9,9,118.4945,49.5799,26.6245,8.8861,118.8762,12.3081,57.9184,18.8997,0.0975,0.0490,0.2822,0.1050,0.1509,0.0039,0.6935,0.2391,887.1426,4.8637,0.9864,48.9216,0.4604,0.9864,134.2701,13.7636,8.5208,3.1984,119.3968,3.1228,8.7602,3.1803,0.1959,0.0077,0.0616,0.0308,0.2567,0.0039,0.1258,0.0464,35.7355,2.8157,0.4339
