,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated-susceptible,num-vaccinated-exposed,num-vaccinated-infected,num-vaccinated-removed,num-vaccinated-susceptible-in-quarantine,num-vaccinated-exposed-in-quarantine,num-vaccinated-infected-in-quarantine,num-vaccinated-removed-in-quarantine,num-vaccinated-susceptible-in-quarantine-external-1,num-vaccinated-exposed-in-quarantine-external-1,num-vaccinated-infected-in-quarantine-external-1,num-vaccinated-removed-in-quarantine-external-1,num-vaccinated-susceptible-in-quarantine-external-2,num-vaccinated-exposed-in-quarantine-external-2,num-vaccinated-infected-in-quarantine-external-2,num-vaccinated-removed-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,216.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,205.9379,10.0621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.7515,0.0000,0.0000,0.0000,0.0000,73.5932,0.4068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4689,0.0000,0.0000
2,2.0000,191.7575,21.3347,2.8758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0220,0.0000,60.6092,1.4409,0.0220,0.0000,0.0100,0.0220,73.1343,0.7535,0.1122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.4509,0.0000,2.6433
3,3.0000,171.1984,35.1543,8.2705,0.3828,0.6333,0.1182,0.0962,0.0040,0.0000,0.0000,0.0261,0.0040,0.0240,0.0080,0.0782,0.0020,62.0561,2.1824,0.0802,0.0962,0.0301,0.0802,72.3868,1.1743,0.3186,0.0160,0.1002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,29.6393,0.0521,5.6854
4,4.0000,143.9118,50.7475,16.4950,1.4329,2.0902,0.5551,0.4008,0.0541,0.0000,0.0000,0.0762,0.0080,0.0240,0.0060,0.1944,0.0040,65.2926,2.8818,0.1964,0.3968,0.0842,0.1964,71.0361,1.9359,0.5872,0.0721,0.3547,0.0060,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,37.7615,0.1844,8.1924
5,5.0000,112.2966,64.2365,27.6373,3.4749,4.5691,1.4830,1.4068,0.2084,0.0000,0.0000,0.1904,0.0160,0.0621,0.0180,0.3727,0.0281,71.1563,3.6613,0.3868,1.2866,0.2064,0.3868,68.9719,2.9078,1.0561,0.1503,0.8597,0.0200,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0000,0.0020,0.0000,44.6794,0.4569,9.8998
6,6.0000,103.9800,49.0381,39.6112,6.7034,7.6293,3.2786,3.8196,0.7796,0.0000,0.0000,0.3066,0.0381,0.0621,0.0080,0.6573,0.0882,80.2946,4.2766,0.7275,3.4930,0.3467,0.7275,67.8176,2.3988,1.6333,0.3106,1.6754,0.0802,0.0561,0.0060,0.0000,0.0000,0.0020,0.0000,0.0120,0.0000,0.0060,0.0020,50.2745,0.9178,10.9499
7,7.0000,95.9499,38.1964,45.4148,11.2946,10.8216,4.0701,6.6673,1.9559,0.0000,0.0000,0.3828,0.0922,0.0621,0.0040,0.9098,0.1784,89.7375,4.9178,1.0681,5.9519,0.4770,1.0681,66.6673,2.0281,1.9800,0.5431,2.5291,0.0962,0.1182,0.0140,0.0000,0.0000,0.0020,0.0000,0.0120,0.0000,0.0080,0.0020,55.4088,1.3888,11.4409
8,8.0000,32.0741,16.9699,8.3948,3.7856,63.3988,24.6092,48.1603,16.3968,0.0521,0.0060,0.4770,0.1443,0.0802,0.0120,1.1383,0.3006,215.1343,5.5090,1.4168,32.2445,0.6212,1.4168,52.7515,1.7675,1.7435,0.5691,15.6854,0.5251,0.6974,0.2164,0.0060,0.0000,0.0060,0.0020,0.0160,0.0000,0.0100,0.0040,60.0281,8.5832,11.6473
9,9.0000,22.8457,19.6673,11.2024,4.6834,64.3908,18.1824,49.5852,22.9619,0.0521,0.0020,0.4509,0.2124,0.1723,0.0421,1.0942,0.4549,218.0661,5.7094,1.5210,32.9499,0.6593,1.5210,51.7575,1.9659,1.9960,0.7956,15.9579,0.3828,0.7756,0.3086,0.0060,0.0000,0.0040,0.0040,0.0301,0.0000,0.0120,0.0040,61.6573,8.7415,11.7695
