,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,217.4018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,73.6263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,217.1881,0.2504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9398,0.0000,0.0000,0.0000,0.0000,146.0000,73.6263,0.0000,0.0000,0.0000,0.2504,0.0000,0.0000
2,2,216.5073,1.0614,0.0936,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,0.0000,0.0000,3.8539,0.0059,0.0000,0.0000,0.0059,146.0000,73.6263,0.0000,0.0000,0.0000,0.4509,0.0000,0.0845
3,3,215.0678,2.6344,0.3620,0.0158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0095,0.0000,0.0000,0.0000,0.0243,0.0000,0.0000,5.7051,0.0243,0.0000,0.0095,0.0243,146.0000,73.6263,0.0000,0.0000,0.0000,0.7016,0.0000,0.1979
4,4,212.7696,4.7830,1.0286,0.0565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0257,0.0000,0.0000,0.0000,0.0596,0.0095,0.0000,7.3830,0.0643,0.0000,0.0257,0.0643,146.0000,73.6263,0.0000,0.0000,0.0000,0.9370,0.0000,0.3497
5,5,209.2621,7.8291,2.1719,0.2034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0360,0.0095,0.0000,0.0000,0.0911,0.0187,0.0000,9.1521,0.1034,0.0000,0.0420,0.1034,146.0000,73.6263,0.0000,0.0000,0.0000,1.1600,0.0000,0.5994
6,6,209.0667,5.7728,3.9652,0.5257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0580,0.0158,0.0000,0.0000,0.1944,0.0348,0.0000,10.9699,0.2196,0.0000,0.0698,0.2196,146.0000,73.6263,0.0000,0.0000,0.0000,1.3551,0.0000,0.9777
7,7,208.8856,4.4096,4.8753,1.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0898,0.0215,0.0000,0.0000,0.2853,0.0690,0.0000,12.7947,0.3411,0.0000,0.1068,0.3411,146.0000,73.6263,0.0000,0.0000,0.0000,1.5434,0.0000,1.1747
8,8,200.3175,13.3595,5.2727,1.6969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1096,0.0385,0.0000,0.0000,0.3903,0.1171,0.0000,14.5505,0.4911,0.0000,0.1405,0.4911,146.0000,73.6263,0.0000,0.0000,0.0000,1.7484,0.0000,1.3247
9,9,190.2186,21.4597,8.0611,2.3901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1661,0.0612,0.0000,0.0000,0.5858,0.1525,0.0000,16.3449,0.7221,0.0000,0.2187,0.7221,146.0000,73.6263,0.0000,0.0000,0.0000,1.9442,0.0000,1.8313
10,10,177.4163,29.9017,12.8319,3.4681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2410,0.0820,0.0000,0.0000,0.8010,0.2504,0.0000,18.0748,1.0330,0.0000,0.3119,1.0330,146.0000,73.6263,0.0000,0.0000,0.0000,2.1280,0.0000,2.6415
11,11,162.3605,38.3919,18.9805,5.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3515,0.1239,0.0000,0.0000,1.2357,0.3546,0.0000,19.9576,1.5699,0.0000,0.4575,1.5699,146.0000,73.6263,0.0000,0.0000,0.0000,2.3199,0.0000,3.6138
12,12,146.5156,45.2420,26.1719,7.6942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4960,0.1543,0.0000,0.0000,1.7927,0.5123,0.0000,21.7623,2.2782,0.0000,0.6299,2.2782,146.0000,73.6263,0.0000,0.0000,0.0000,2.4939,0.0000,4.5700
13,13,146.3665,32.7588,34.0839,11.1777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6719,0.2166,0.0000,0.0000,2.5466,0.7020,0.0000,23.5801,3.2331,0.0000,0.8728,3.2331,146.0000,73.6263,0.0000,0.0000,0.0000,2.6291,0.0000,5.5003
14,14,146.1997,23.7279,37.4464,15.8062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8357,0.2789,0.0000,0.0000,3.1276,1.0695,0.0000,25.3077,4.2100,0.0000,1.1095,4.2100,146.0000,73.6263,0.0000,0.0000,0.0000,2.7911,0.0000,5.8498
15,15,124.7585,39.8784,38.0708,20.7701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9872,0.3780,0.0000,0.0000,3.7772,1.4253,0.0000,27.1232,5.2479,0.0000,1.3688,5.2479,146.0000,73.6263,0.0000,0.0000,0.0000,2.9242,0.0000,6.0252
16,16,107.5155,46.7333,42.5645,26.0705,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1533,0.4799,0.0000,0.0000,4.4577,1.8526,0.0000,28.9318,6.4592,0.0000,1.6598,6.4592,146.0000,73.6263,0.0000,0.0000,0.0000,3.0387,0.0000,6.8667
17,17,91.4120,50.2118,48.4418,31.8264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3104,0.6037,0.0000,0.0000,5.1572,2.3650,0.0000,30.6831,7.7875,0.0000,1.9671,7.7875,146.0000,73.6263,0.0000,0.0000,0.0000,3.1189,0.0000,7.8233
