,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,254.8420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,34.6376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,254.5180,0.2711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6490,0.0000,0.0000,0.0000,0.0000,50.0000,34.6376,0.0000,0.0000,0.0000,0.2711,0.0000,0.0000
2,2,253.3071,1.0645,0.0712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4510,-0.0014,0.0000,0.0000,-0.0014,50.0000,34.6376,0.0000,0.0000,0.0000,0.5163,0.0000,0.0606
3,3,250.5722,2.8189,0.3839,0.0065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3423,0.0081,0.0000,-0.0007,0.0081,50.0000,34.6376,0.0000,0.0000,0.0000,0.7510,0.0000,0.1926
4,4,246.2433,5.3791,1.1582,0.0556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1955,0.0454,0.0000,-0.0003,0.0454,50.0000,34.6376,0.0000,0.0000,0.0000,0.9625,0.0000,0.3534
5,5,239.5851,9.2055,2.5228,0.2076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0383,0.1125,0.0000,0.0201,0.1125,50.0000,34.6376,0.0000,0.0000,0.0000,1.2197,0.0000,0.6145
6,6,239.3872,6.8244,4.7908,0.5363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8808,0.2402,0.0000,0.0614,0.2402,50.0000,34.6376,0.0000,0.0000,0.0000,1.4093,0.0000,1.0182
7,7,239.1816,5.0177,6.1717,1.1731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6852,0.4225,0.0000,0.1061,0.4225,50.0000,34.6376,0.0000,0.0000,0.0000,1.6099,0.0000,1.2555
8,8,224.3822,16.1256,6.7995,1.9699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4460,0.5881,0.0000,0.1530,0.5881,50.0000,34.6376,0.0000,0.0000,0.0000,1.8857,0.0000,1.4027
9,9,206.8658,26.7552,10.6695,2.8332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1508,0.8919,0.0000,0.2163,0.8919,50.0000,34.6376,0.0000,0.0000,0.0000,2.1281,0.0000,1.9806
