,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,254.8420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,34.6376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,254.5180,0.2711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6490,0.0000,0.0000,0.0000,0.0000,50.0000,34.6376,0.0000,0.0000,0.0000,0.2711,0.0000,0.0000
2,2,253.3762,1.0173,0.0676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0015,0.0000,-0.0288,3.4723,-0.0015,0.0000,0.0000,-0.0015,50.0000,34.6376,0.0000,0.0000,0.0000,0.5168,0.0000,0.0606
3,3,250.8712,2.5895,0.2861,0.0038,-0.0083,-0.0081,0.0057,-0.0018,0.0000,0.0000,-0.0019,0.0000,0.0000,0.0000,0.0052,-0.0019,0.1513,5.2538,0.0066,0.0057,-0.0019,0.0066,50.0000,34.6376,0.0000,0.0000,0.0000,0.7339,-0.0007,0.1760
4,4,247.3164,4.4804,0.7945,0.0343,0.0329,0.0696,0.0861,0.0010,0.0000,0.0000,0.0002,-0.0019,0.0000,0.0000,0.0158,-0.0005,0.5302,7.0301,0.0206,0.0836,0.0013,0.0206,50.0000,34.6376,0.0000,0.0000,0.0000,0.9512,0.0107,0.3239
5,5,242.2779,6.8811,1.5903,0.1006,0.0739,0.2992,0.3920,0.0405,0.0000,0.0000,0.0052,-0.0019,-0.0057,-0.0133,0.0611,0.0039,1.5955,8.7969,0.0714,0.3630,0.0066,0.0714,50.0000,34.6376,0.0000,0.0000,0.0000,1.1891,0.0442,0.5462
6,6,241.7899,4.6608,2.6883,0.2088,0.1885,0.7150,0.9925,0.1485,-0.0206,-0.0038,0.0332,-0.0019,-0.0057,-0.0095,0.1195,0.0079,3.4062,10.5620,0.1337,0.9009,0.0347,0.1337,50.0000,34.6376,0.0000,0.0000,0.0000,1.4563,0.1110,0.8615
7,7,241.1361,3.0219,2.6704,0.3930,0.4688,1.0781,1.8636,0.4252,-0.0206,-0.0019,0.0401,0.0051,-0.0147,-0.0094,0.2163,0.0263,5.7888,12.2895,0.2404,1.6772,0.0512,0.2404,50.0000,34.6376,0.0000,0.0000,0.0000,1.6936,0.2078,1.0947
8,8,231.3233,9.8619,2.4489,0.5809,0.9083,1.0407,2.6024,0.8189,-0.0161,-0.0095,0.0704,0.0112,-0.0083,-0.0081,0.2781,0.0524,8.1199,14.0546,0.3225,2.3105,0.0866,0.3225,50.0000,34.6376,0.0000,0.0000,0.0000,1.9114,0.2939,1.2739
9,9,220.5834,15.4070,3.9339,0.6635,1.1362,1.3159,3.5328,1.4117,-0.0161,-0.0059,0.1017,0.0190,-0.0083,-0.0063,0.3699,0.1028,11.6742,15.7752,0.4646,3.2379,0.1252,0.4646,50.0000,34.6376,0.0000,0.0000,0.0000,2.1217,0.3942,1.6053
