,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,180.4649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.0000,109.5351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,180.2926,0.1723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7114,0.0000,0.0000,0.0000,0.0000,218.0000,109.5351,0.0000,0.0000,0.0000,0.1723,0.0000,0.0000
2,2.0000,180.0401,0.3687,0.0541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0381,3.4629,0.0020,0.0000,0.0000,0.0020,218.0000,109.5351,0.0000,0.0000,0.0000,0.3547,0.0000,0.0481
3,3.0000,179.6974,0.5992,0.1463,0.0080,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.0000,0.2285,5.2365,0.0120,0.0020,0.0000,0.0120,218.0000,109.5351,0.0000,0.0000,0.0000,0.5271,0.0000,0.1242
4,4.0000,179.2064,0.9559,0.2525,0.0240,0.0000,0.0000,0.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.3808,7.0421,0.0200,0.0060,0.0000,0.0200,218.0000,109.5351,0.0000,0.0000,0.0000,0.7234,0.0000,0.1844
5,5.0000,178.6132,1.2966,0.4389,0.0601,0.0000,0.0000,0.0220,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0301,0.0020,0.6473,8.9659,0.0321,0.0220,0.0020,0.0321,218.0000,109.5351,0.0000,0.0000,0.0000,0.8557,0.0000,0.2886
6,6.0000,178.3928,1.0822,0.6814,0.1283,0.0341,0.0160,0.0621,0.0080,0.0000,0.0000,0.0060,0.0000,0.0000,0.0000,0.0481,0.0060,1.1423,10.8116,0.0541,0.0661,0.0060,0.0541,218.0000,109.5050,0.0301,0.0000,0.0000,1.0421,0.0060,0.4409
7,7.0000,178.1864,0.9379,0.8277,0.2465,0.0521,0.0220,0.0822,0.0261,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0661,0.0100,1.6373,12.5551,0.0762,0.0962,0.0080,0.0762,218.0000,109.4850,0.0501,0.0000,0.0000,1.2305,0.0100,0.5631
8,8.0000,176.9619,1.8477,0.9399,0.3427,0.0581,0.0240,0.1343,0.0421,0.0000,0.0000,0.0160,0.0000,0.0000,0.0000,0.0782,0.0200,2.3968,14.1904,0.0982,0.1543,0.0160,0.0982,218.0000,109.4749,0.0601,0.0000,0.0000,1.4068,0.0120,0.6894
9,9.0000,175.4970,2.7715,1.2024,0.4669,0.0922,0.0321,0.1844,0.0661,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.1022,0.0301,3.2685,15.8998,0.1323,0.2164,0.0200,0.1323,218.0000,109.4168,0.1182,0.0000,0.0000,1.5551,0.0200,0.7776
