,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,239.7214,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,1.8547,0.0000,0.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,0.0000,0.1943,0.0000,0.0000
2,2,238.5760,0.8762,0.0612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0019,0.0000,59.9639,3.5774,-0.0019,0.0000,0.0000,-0.0019,50.0000,50.0000,0.0000,0.0000,0.0000,0.4280,0.0000,0.0629
3,3,236.3899,2.2548,0.2555,0.0027,0.0000,0.0000,-0.0022,0.0000,0.0000,0.0000,-0.0014,0.0000,0.0000,0.0000,0.0014,0.0000,60.0731,5.3447,0.0014,-0.0022,-0.0014,0.0014,50.0000,50.0000,0.0000,0.0000,0.0000,0.6516,0.0000,0.1722
4,4,233.2041,3.9822,0.7151,0.0320,0.0065,0.0470,0.0680,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.0000,0.0215,0.0000,60.6275,7.0902,0.0215,0.0694,0.0039,0.0215,50.0000,50.0000,0.0000,0.0000,0.0000,0.8919,0.0052,0.3312
5,5,228.9814,6.0493,1.4769,0.1141,0.0344,0.2506,0.2681,0.0121,0.0000,0.0000,0.0128,0.0000,-0.0076,-0.0114,0.0442,0.0003,61.3659,8.9092,0.0501,0.2591,0.0128,0.0501,50.0000,50.0000,0.0000,0.0000,0.0000,1.1362,0.0296,0.5350
6,6,228.6012,3.8444,2.3370,0.2577,0.1387,0.7164,0.8720,0.1060,0.0000,0.0000,0.0287,-0.0014,-0.0108,-0.0055,0.1140,0.0038,63.1107,10.6520,0.1203,0.7980,0.0313,0.1203,50.0000,50.0000,0.0000,0.0000,0.0000,1.3279,0.0994,0.8095
7,7,228.0703,2.4028,2.2384,0.3978,0.3501,1.0032,1.6751,0.4074,0.0000,0.0000,0.0536,-0.0007,-0.0024,-0.0009,0.2014,0.0258,65.3192,12.4137,0.2096,1.4931,0.0584,0.2096,50.0000,50.0000,0.0000,0.0000,0.0000,1.5051,0.1887,1.0307
8,8,221.6110,5.2157,0.6163,0.2204,1.4145,1.5808,3.8170,1.1451,0.0000,0.0000,0.0661,0.0065,-0.0024,-0.0022,0.2404,0.0529,131.9903,14.1196,0.2725,3.4954,0.0809,0.2725,50.0000,50.0000,0.0000,0.0000,0.0000,1.7224,0.4090,1.1870
9,9,214.7805,9.2987,1.6156,0.2753,1.5720,1.3329,3.9616,1.7386,0.0000,0.0000,0.0746,0.0093,0.0159,0.0021,0.2853,0.0817,133.6416,15.7203,0.3414,3.7614,0.0927,0.3414,50.0000,50.0000,0.0000,0.0000,0.0000,1.9334,0.4424,1.4053
