,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,8.8103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,13.3482,5.2681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8193,0.0000,0.0000,0.0000,0.0000,0.0000,8.8103,0.0000,0.0000,0.0000,5.2681,0.0000,0.0000
2,2,117.8948,95.5734,1.2901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,0.0000,0.0000,0.0000,0.0343,0.0000,0.0000,3.4188,0.0343,0.0000,0.0079,0.0343,0.0000,8.8103,0.0000,0.0000,0.0000,9.6278,0.0000,1.0559
3,3,558.9238,393.9085,17.6654,0.1539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0487,0.0020,0.0000,0.0000,0.2261,0.0059,0.0000,4.8770,0.2295,0.0000,0.0505,0.2295,0.0000,8.8103,0.0000,0.0000,0.0000,14.1730,0.0000,2.7283
4,4,1106.5636,622.2073,85.3654,1.0617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1870,0.0040,0.0000,0.0000,0.7299,0.0307,0.0000,6.5285,0.7799,0.0000,0.1894,0.7799,0.0000,8.8103,0.0000,0.0000,0.0000,16.0595,0.0000,3.3646
5,5,1279.2363,501.0706,212.1887,5.6888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4451,0.0415,0.0000,0.0000,1.9311,0.1425,0.0000,8.1376,2.1164,0.0000,0.4729,2.1164,0.0000,8.8103,0.0000,0.0000,0.0000,17.1760,0.0000,3.3482
6,6,1223.8178,254.2279,325.4370,18.3488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8235,0.1151,0.0000,0.0000,3.8319,0.3805,0.0000,9.9543,4.4480,0.0000,0.9298,4.4480,0.0000,8.8103,0.0000,0.0000,0.0000,17.4932,0.0000,2.4151
7,7,1179.5572,138.4889,360.7181,43.1608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3489,0.2129,0.0000,0.0000,6.0925,0.7555,0.0000,11.5305,7.5977,0.0000,1.5294,7.5977,0.0000,8.8103,0.0000,0.0000,0.0000,19.1505,0.0000,1.5831
8,8,607.8055,205.7277,350.6823,78.7467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9197,0.4183,0.0000,0.0000,8.6132,1.4983,0.0000,12.8058,11.6083,0.0000,2.3498,11.6083,0.0000,8.8103,0.0000,0.0000,0.0000,22.0239,0.0000,1.1232
9,9,225.6322,329.1770,237.4807,122.1081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3857,0.5979,0.0000,0.0000,11.2395,2.5698,0.0000,14.5298,16.2125,0.0000,3.0263,16.2125,0.0000,8.8103,0.0000,0.0000,0.0000,23.6749,0.0000,0.4983
10,10,68.5986,339.1292,125.0573,167.8227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9455,0.8214,0.0000,0.0000,13.1596,3.9631,0.0000,16.8136,21.1983,0.0000,3.9769,21.1983,0.0000,8.8103,0.0000,0.0000,0.0000,24.6624,0.0000,0.1857
11,11,20.2951,272.2712,85.8402,197.1567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3202,1.0757,0.0000,0.0000,12.5672,5.5601,0.0000,18.9637,22.2091,0.0000,4.7668,22.2091,0.0000,8.8103,0.0000,0.0000,0.0000,24.8692,0.0000,0.0445
12,12,4.6180,193.5065,77.2690,207.0802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4379,1.4841,0.0000,0.0000,12.9492,7.3942,0.0000,20.9922,23.5081,0.0000,5.1702,23.5081,0.0000,8.8103,0.0000,0.0000,0.0000,25.0940,0.0000,0.0118
13,13,4.4780,110.5314,95.0037,216.2096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5408,1.8887,0.0000,0.0000,13.5105,9.1236,0.0000,22.4230,25.0190,0.0000,6.0240,25.0190,0.0000,8.8103,0.0000,0.0000,0.0000,25.1596,0.0000,0.0000
14,14,4.4268,64.8077,103.3149,192.7822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6214,2.2112,0.0000,0.0000,13.0522,10.6659,0.0000,23.9991,25.9039,0.0000,6.6530,25.9039,0.0000,8.8103,0.0000,0.0000,0.0000,25.2756,0.0000,0.0000
15,15,0.4676,46.6483,106.6654,182.9025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6460,2.5387,0.0000,0.0000,14.4317,11.5243,0.0000,25.1838,26.6290,0.0000,7.1421,26.6290,0.0000,8.8103,0.0000,0.0000,0.0000,25.2606,0.0000,0.0019
