,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,216.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,211.5841,4.0651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7367,0.0000,0.0000,0.0000,0.0000,74.0000,74.0000,0.0000,0.0000,0.0000,4.0651,0.0000,0.0000
2,2,199.2104,14.2299,0.9805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0051,0.0000,0.0000,0.0000,0.0278,0.0000,0.0000,3.5079,0.0278,0.0000,0.0051,0.0278,74.0000,74.0000,0.0000,0.0000,0.0000,8.2509,0.0000,0.9980
3,3,175.4493,32.5045,4.7051,0.0890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0379,0.0000,0.0000,0.0000,0.1517,-0.0019,0.0000,5.2182,0.1536,0.0000,0.0379,0.1536,74.0000,74.0000,0.0000,0.0000,0.0000,12.2099,0.0000,2.7636
4,4,143.4730,53.9410,12.9241,0.6643,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1349,0.0014,0.0000,0.0000,0.5327,0.0152,0.0000,6.9441,0.5612,0.0000,0.1442,0.5612,74.0000,74.0000,0.0000,0.0000,0.0000,15.5984,0.0000,4.6921
5,5,111.5086,69.5937,25.8297,2.3534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3044,0.0168,0.0000,0.0000,1.1767,0.0666,0.0000,8.6859,1.2650,0.0000,0.3348,1.2650,74.0000,74.0000,0.0000,0.0000,0.0000,18.4011,0.0000,6.6086
6,6,109.2791,52.0491,40.7124,5.7841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5317,0.0507,0.0000,0.0000,2.2442,0.2419,0.0000,10.4513,2.5252,0.0000,0.6013,2.5252,74.0000,74.0000,0.0000,0.0000,0.0000,20.6673,0.0000,8.3735
7,7,107.0558,39.7028,48.1407,11.0828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8026,0.1234,0.0000,0.0000,3.4360,0.5664,0.0000,12.2530,4.0580,0.0000,0.9547,4.0580,74.0000,74.0000,0.0000,0.0000,0.0000,22.9237,0.0000,9.3399
8,8,68.2004,66.9752,51.1279,17.3969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1229,0.2237,0.0000,0.0000,4.5037,1.0007,0.0000,13.9923,5.5680,0.0000,1.3809,5.5680,74.0000,74.0000,0.0000,0.0000,0.0000,25.0797,0.0000,9.9942
9,9,45.2707,70.6640,61.0808,24.4383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4287,0.3475,0.0000,0.0000,5.6687,1.5973,0.0000,15.6741,7.3384,0.0000,1.8134,7.3384,74.0000,74.0000,0.0000,0.0000,0.0000,26.5197,0.0000,10.6778
10,10,32.9259,62.9592,70.3429,32.6275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8156,0.5185,0.0000,0.0000,7.1145,2.3899,0.0000,17.4800,9.5958,0.0000,2.3794,9.5958,74.0000,74.0000,0.0000,0.0000,0.0000,27.3944,0.0000,11.2927
11,11,25.1635,52.5630,76.4939,41.8823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1471,0.7265,0.0000,0.0000,8.5544,3.3786,0.0000,19.1264,12.0314,0.0000,2.9286,12.0314,74.0000,74.0000,0.0000,0.0000,0.0000,28.0552,0.0000,11.6251
12,12,19.9521,42.8615,78.3381,52.3483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4424,0.9723,0.0000,0.0000,9.7331,4.5332,0.0000,20.7570,14.4335,0.0000,3.4924,14.4335,74.0000,74.0000,0.0000,0.0000,0.0000,28.6297,0.0000,11.8027
13,13,19.5050,31.2353,76.9865,63.2010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6058,1.3502,0.0000,0.0000,10.8615,5.6733,0.0000,22.4561,16.8624,0.0000,4.0793,16.8624,74.0000,74.0000,0.0000,0.0000,0.0000,29.0878,0.0000,11.9071
14,14,19.1273,22.5918,72.6711,74.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7160,1.6428,0.0000,0.0000,11.5620,6.7739,0.0000,24.0264,19.1203,0.0000,4.6121,19.1203,74.0000,74.0000,0.0000,0.0000,0.0000,29.4805,0.0000,11.9000
15,15,13.7665,21.5486,66.7295,85.3170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8327,1.8201,0.0000,0.0000,11.9397,7.7317,0.0000,25.6249,21.1940,0.0000,5.1141,21.1940,74.0000,74.0000,0.0000,0.0000,0.0000,29.8259,0.0000,11.8966
16,16,10.7126,18.4029,61.4093,96.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8919,1.9965,0.0000,0.0000,11.9628,8.4182,0.0000,27.1569,23.1973,0.0000,5.6313,23.1973,74.0000,74.0000,0.0000,0.0000,0.0000,30.1041,0.0000,11.9133
