,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,12.3258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.3258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,16.7427,5.5844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8223,0.0000,0.0000,0.0000,0.0000,0.0000,12.3258,0.0000,0.0000,0.0000,5.5844,0.0000,0.0000
2,2,142.9527,113.4986,1.4154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5272,0.0492,0.0000,0.0099,0.0492,0.0000,12.3258,0.0000,0.0000,0.0000,10.4883,0.0000,1.0991
3,3,627.7011,446.2118,19.3933,0.1466,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4868,0.2697,0.0000,0.0604,0.2697,0.0000,12.3258,0.0000,0.0000,0.0000,13.5629,0.0000,2.5207
4,4,1200.2570,674.2853,101.5175,1.5037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0297,1.0416,0.0000,0.2150,1.0416,0.0000,12.3258,0.0000,0.0000,0.0000,16.1168,0.0000,3.4450
5,5,1257.8675,493.3727,241.1214,7.6792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8864,2.5655,0.0000,0.4966,2.5655,0.0000,12.3258,0.0000,0.0000,0.0000,17.1079,0.0000,3.3012
6,6,1207.7965,257.8844,368.3899,22.4749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4703,5.8692,0.0000,1.0375,5.8692,0.0000,12.3258,0.0000,0.0000,0.0000,17.3034,0.0000,2.0852
7,7,1161.2799,142.7338,415.0001,49.5048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9324,9.6899,0.0000,1.7276,9.6899,0.0000,12.3258,0.0000,0.0000,0.0000,19.0823,0.0000,1.4152
8,8,444.1947,226.1979,420.2315,92.1698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.8239,13.9114,0.0000,2.4769,13.9114,0.0000,12.3258,0.0000,0.0000,0.0000,21.5202,0.0000,0.9172
9,9,118.0224,374.9925,271.4896,149.8846,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3607,18.4876,0.0000,3.2596,18.4876,0.0000,12.3258,0.0000,0.0000,0.0000,22.3441,0.0000,0.3268
10,10,35.1441,342.1115,136.5809,205.1568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3605,22.7066,0.0000,4.2780,22.7066,0.0000,12.3258,0.0000,0.0000,0.0000,22.7722,0.0000,0.0901
11,11,10.1214,239.4146,84.4301,235.3443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.2230,26.6316,0.0000,5.4067,26.6316,0.0000,12.3258,0.0000,0.0000,0.0000,22.6923,0.0000,0.0214
12,12,2.4334,151.8358,83.5173,247.6911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3017,30.0489,0.0000,6.0715,30.0489,0.0000,12.3258,0.0000,0.0000,0.0000,22.7282,0.0000,0.0059
13,13,2.3279,86.3821,108.2657,258.6401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0173,32.5059,0.0000,6.6445,32.5059,0.0000,12.3258,0.0000,0.0000,0.0000,22.7811,0.0000,0.0000
14,14,2.3065,50.0044,123.5203,243.1617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.0332,35.3853,0.0000,7.2318,35.3853,0.0000,12.3258,0.0000,0.0000,0.0000,22.7482,0.0000,0.0000
15,15,0.5885,32.1302,129.4838,219.7879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.1149,36.7645,0.0000,7.9639,36.7645,0.0000,12.3258,0.0000,0.0000,0.0000,22.8318,0.0000,0.0019
16,16,0.0989,19.4834,127.8439,196.3567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5873,40.3760,0.0000,8.4430,40.3760,0.0000,12.3258,0.0000,0.0000,0.0000,22.9348,0.0000,0.0000
17,17,0.0873,12.3323,123.2734,170.9980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.7156,42.5271,0.0000,9.3439,42.5271,0.0000,12.3258,0.0000,0.0000,0.0000,22.9037,0.0000,0.0116
18,18,0.0176,8.1858,103.2201,141.0373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.1953,43.4277,0.0000,9.7133,43.4277,0.0000,12.3258,0.0000,0.0000,0.0000,22.9037,0.0000,0.0269
19,19,0.0176,5.2317,92.5596,120.0162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.2203,45.2168,0.0000,10.1611,45.2168,0.0000,12.3258,0.0000,0.0000,0.0000,22.9037,0.0000,0.0621
20,20,0.0176,3.6699,83.9625,105.0230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.8519,46.5984,0.0000,10.5104,46.5984,0.0000,12.3258,0.0000,0.0000,0.0000,22.9037,0.0000,0.1161
