,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,188.2446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,102.7015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,184.5170,3.9275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8715,0.0000,0.0000,0.0000,0.0000,146.0000,102.7015,0.0000,0.0000,0.0000,3.9275,0.0000,0.0000
2,2,174.7981,13.3424,1.1821,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6826,0.0374,0.0000,0.0127,0.0374,146.0000,102.7015,0.0000,0.0000,0.0000,7.6406,0.0000,1.0521
3,3,155.9825,29.6189,4.8933,0.1434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4813,0.1869,0.0000,0.0507,0.1869,146.0000,102.7015,0.0000,0.0000,0.0000,11.1563,0.0000,2.6049
4,4,128.9532,49.3105,12.6958,0.8169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2709,0.5414,0.0000,0.1536,0.5414,146.0000,102.7015,0.0000,0.0000,0.0000,14.2884,0.0000,4.4144
5,5,98.2154,66.7353,25.1566,2.4935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1252,1.2724,0.0000,0.3592,1.2724,146.0000,102.7015,0.0000,0.0000,0.0000,16.9074,0.0000,6.3749
6,6,96.1870,49.8287,40.5658,5.9423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.9794,2.3526,0.0000,0.6703,2.3526,146.0000,102.7015,0.0000,0.0000,0.0000,18.8959,0.0000,8.2819
7,7,94.3474,37.5012,49.1918,11.4413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8835,3.6539,0.0000,1.0357,3.6539,146.0000,102.7015,0.0000,0.0000,0.0000,20.7166,0.0000,9.2492
8,8,51.6721,69.7287,53.3168,18.0135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6515,5.2024,0.0000,1.3703,5.2024,146.0000,102.7015,0.0000,0.0000,0.0000,22.5281,0.0000,9.8356
9,9,27.8118,73.6647,65.9593,24.9453,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5424,6.9407,0.0000,1.8607,6.9407,146.0000,102.7015,0.0000,0.0000,0.0000,23.5309,0.0000,10.6679
10,10,14.1897,66.4587,77.4519,33.8499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.2851,9.1068,0.0000,2.3651,9.1068,146.0000,102.7015,0.0000,0.0000,0.0000,24.0378,0.0000,11.3926
