,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,4.7805,4.7805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7805,0.0000,0.0000
2,2,102.4179,83.7065,1.1050,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0098,0.0000,0.0000,0.0000,0.0462,0.0000,19.8795,3.2361,0.0462,0.0040,0.0098,0.0462,0.0000,0.0000,0.0000,0.0000,0.0000,9.6250,0.0000,1.0694
3,3,383.7233,262.9876,13.7487,0.1735,5.2425,2.4493,1.8158,0.0059,0.0000,0.0000,0.0398,0.0020,0.0000,0.0000,0.2420,0.0059,101.2098,4.8349,0.2450,1.8158,0.0416,0.2450,0.0000,0.0000,0.0000,0.0000,0.0000,13.5992,0.0648,2.2188
4,4,722.5606,379.9714,52.7424,0.9263,10.3589,29.9239,16.5831,0.3969,0.2410,0.0179,0.1471,0.0079,0.1920,0.0480,0.6706,0.0433,300.2903,6.5380,0.7171,16.2052,0.1512,0.7171,0.0000,0.0000,0.0000,0.0000,0.0000,15.9911,0.3817,2.9990
5,5,916.8343,432.2702,105.9746,3.6604,18.1910,69.5207,55.3660,2.4965,0.7552,0.2219,0.4998,0.0214,0.4748,0.2327,1.4531,0.1258,586.6340,7.9345,1.4206,48.0899,0.3461,1.4206,0.0000,0.0000,0.0000,0.0000,0.0000,17.2951,0.9641,3.0727
6,6,908.5335,209.2678,164.6843,7.5743,26.2481,104.7918,142.7358,9.8219,0.8035,0.4609,0.9063,0.0656,0.7403,0.9945,2.9000,0.4279,905.1506,9.4683,2.2804,111.9798,0.6472,2.2804,0.0000,0.0000,0.0000,0.0000,0.0000,17.3685,1.8477,2.4904
7,7,909.1696,93.3660,168.4250,14.4952,43.7273,82.2708,198.5367,22.3024,1.1122,0.3387,1.3274,0.1554,1.0674,0.9538,4.0930,0.7376,1178.7237,10.8635,2.8024,148.0644,0.8625,2.8024,0.0000,0.0000,0.0000,0.0000,0.0000,17.5654,2.3410,1.8309
8,8,627.5209,328.3367,141.9347,20.1887,59.2063,55.8084,241.6258,51.6463,1.3366,0.2284,1.8217,0.3696,1.7491,0.9890,4.8999,1.2639,1292.0007,12.7118,3.0605,187.2843,1.0662,3.0605,0.0000,0.0000,0.0000,0.0000,0.0000,18.7929,2.6801,1.4259
9,9,410.2791,401.2591,137.0265,25.2323,65.8642,79.6499,277.0083,90.5025,1.3965,0.5573,2.2037,0.6366,2.0152,1.1452,6.7394,1.8200,1496.4504,13.7854,3.6972,231.5483,1.2623,3.6972,0.0000,0.0000,0.0000,0.0000,0.0000,19.6431,3.1067,1.0134
10,10,267.4769,320.8925,145.7197,30.4336,69.5248,96.5137,249.6229,134.8669,1.3965,0.5166,2.8644,0.8913,2.3820,2.0090,8.2326,2.6640,1392.5610,14.3997,3.6738,225.5737,1.5082,3.6738,0.0000,0.0000,0.0000,0.0000,0.0000,20.2611,2.9305,0.5697
11,11,162.3050,263.5174,173.6262,37.9902,71.8830,83.3018,256.3869,187.8130,1.5635,0.7624,3.1674,1.3561,2.7047,3.1839,9.7930,4.0242,1370.6601,15.0576,3.7573,238.5327,1.6029,3.7573,0.0000,0.0000,0.0000,0.0000,0.0000,20.7375,2.8229,0.2882
