,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,181.6638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.0000,109.5957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,177.9830,3.8462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,1.9373,0.0000,0.0000,0.0000,0.0000,218.0000,109.5957,0.0000,0.0000,0.0000,3.8462,0.0000,0.0000
2,2,169.3161,12.0669,1.0513,0.0000,0.0000,0.0000,0.0059,0.0000,0.0000,0.0000,0.0055,0.0000,0.0000,0.0000,0.0474,0.0000,60.9453,3.9079,0.0474,0.0059,0.0055,0.0474,218.0000,109.5957,0.0000,0.0000,0.0000,7.5466,0.0000,0.9101
3,3,152.8999,26.0444,3.9561,0.1571,0.1001,0.0752,0.2673,0.0000,0.0000,0.0000,0.0553,0.0000,0.0000,0.0000,0.1724,0.0000,64.0607,5.7783,0.1724,0.2673,0.0553,0.1724,218.0000,109.5407,0.1053,0.0000,0.0000,11.0169,0.0187,2.3701
4,4,128.6085,43.3480,9.6958,0.6129,0.3683,0.7395,1.2110,0.0762,0.0000,0.0000,0.1272,0.0127,0.0000,0.0000,0.4477,0.0186,70.8075,7.5416,0.4584,1.2225,0.1345,0.4584,218.0000,108.8625,0.9430,0.0000,0.0000,14.1425,0.1489,4.1396
5,5,100.3734,58.2271,17.6368,1.8011,0.7804,2.3942,3.5559,0.4125,0.0295,0.0236,0.2888,0.0308,0.0261,0.0381,0.8943,0.1116,83.5157,9.3477,0.9764,3.5412,0.3027,0.9764,218.0000,106.9790,3.0248,0.0236,0.0620,16.7550,0.4842,6.0502
6,6,97.9505,41.2517,26.9532,3.7254,1.1616,4.5122,7.4173,1.3800,0.0295,0.0177,0.4381,0.0745,0.0757,0.1335,1.5288,0.2604,100.1801,11.0183,1.6977,7.2151,0.4874,1.6977,218.0000,103.6993,6.4975,0.0236,0.2048,18.7564,1.0385,7.9563
7,7,94.9719,29.0214,29.1794,6.4305,2.1821,5.9688,12.2133,3.3192,0.0595,0.0408,0.6294,0.1367,0.1204,0.1439,2.2080,0.4889,119.6923,12.5804,2.4960,11.8731,0.7201,2.4960,218.0000,99.4284,10.9942,0.0553,0.3100,20.7237,1.7534,8.9112
8,8,67.5914,36.9133,11.6798,5.3658,6.9274,11.7464,32.7058,9.7023,0.0917,0.0446,0.7899,0.2248,0.1848,0.1594,2.8068,0.8212,249.3803,14.1842,3.2906,32.1158,0.9153,3.2906,218.0000,82.8832,28.0322,0.1910,0.4564,22.6377,4.3525,9.4894
9,9,44.9241,47.9169,18.6698,6.6316,7.2826,9.4636,32.9608,14.1235,0.1326,0.0570,0.8530,0.3516,0.2821,0.2128,2.8673,1.2670,260.0689,15.3147,3.6758,33.4658,1.0383,3.6758,218.0000,81.2967,29.3912,0.2668,0.6821,23.9899,4.5854,10.3777
