,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,51.6157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.6157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,51.7005,3.5383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7409,0.0000,0.0000,0.0000,0.0000,0.0000,51.6157,0.0000,0.0000,0.0000,3.5383,0.0000,0.0000
2,2,88.1769,37.0968,0.8195,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0016,0.0000,0.0000,0.0000,0.0305,0.0000,11.5607,3.9582,0.0305,0.0020,0.0016,0.0305,0.0000,51.6157,0.0000,0.0000,0.0000,7.1260,0.0000,0.6829
3,3,207.4817,123.0404,6.6845,0.1235,0.2994,0.1797,0.5826,0.0000,0.0000,0.0000,0.0386,0.0000,0.0000,0.0000,0.1346,0.0000,58.7613,5.9140,0.1346,0.5826,0.0386,0.1346,0.0000,51.8003,0.3146,0.0000,0.0000,9.4482,0.0098,1.8007
4,4,420.2457,242.8724,27.9462,0.5989,1.0965,3.0197,3.9807,0.0754,0.0000,0.0000,0.0952,0.0059,0.0000,0.0000,0.3639,0.0096,160.9762,7.1853,0.3734,3.9577,0.1038,0.3734,0.0000,54.6644,4.7719,0.0000,0.0000,11.9346,0.1070,2.6082
5,5,625.9717,288.8209,68.0347,2.4008,2.5197,10.9441,13.7858,0.5304,0.0494,0.0316,0.2327,0.0212,0.0338,0.0633,0.7647,0.0840,375.2837,8.2330,0.8457,13.0547,0.2315,0.8457,0.0000,67.9470,15.8924,0.0316,0.1680,13.3355,0.3706,3.6061
6,6,602.1186,142.7629,109.0097,5.9831,3.8353,19.1897,34.5832,2.4607,0.0494,0.0178,0.3707,0.0539,0.1649,0.3433,1.5171,0.2075,672.0072,9.1248,1.5342,30.6996,0.3874,1.5342,0.0000,89.5729,37.3289,0.0316,0.8025,13.4564,0.8452,3.7922
7,7,592.8347,63.9091,103.7536,12.3675,7.1380,22.9273,66.0359,7.0680,0.1289,0.0675,0.6063,0.1056,0.3026,0.2966,2.4738,0.4695,1006.2476,10.1901,2.1747,57.8515,0.6158,2.1747,0.0000,124.8744,66.2766,0.1112,1.2901,14.5999,1.5224,3.3211
8,8,548.2339,127.9515,22.6591,10.0316,25.7052,35.7326,149.1502,22.7112,0.2251,0.0550,0.9281,0.1725,0.5094,0.2902,2.9869,0.8685,1341.0578,11.9036,2.5614,136.3819,0.7843,2.5614,0.0000,212.5758,161.6387,0.8493,1.9929,16.6019,3.4187,2.7249
9,9,404.9083,197.3844,41.0468,13.0793,26.4653,26.0752,142.1117,37.7253,0.3585,0.0683,1.1379,0.3130,0.8273,0.3870,2.9234,1.4269,1392.8481,13.2225,2.6505,134.5878,0.8830,2.6505,0.0000,216.8157,165.2068,1.2100,3.2117,17.8806,3.4393,2.1073
