,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,4.1230,4.1230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1230,0.0000,0.0000
2,2,81.1185,64.7363,1.1915,0.0000,0.0000,0.0000,0.0094,0.0000,0.0000,0.0000,0.0154,0.0000,0.0000,0.0000,0.0416,0.0000,21.4869,3.5608,0.0416,0.0094,0.0154,0.0416,0.0000,0.0000,0.0000,0.0000,0.0000,8.1170,0.0000,1.0752
3,3,329.1885,221.0057,12.0623,0.1563,1.4054,0.9377,1.1809,0.0000,0.0000,0.0000,0.0373,0.0040,0.0000,0.0000,0.1860,0.0079,84.7368,5.0907,0.1948,1.1809,0.0410,0.1948,0.0000,0.1154,0.1154,0.0000,0.0000,11.9983,0.0289,2.3642
4,4,640.2174,341.1535,45.8325,0.8915,5.1740,20.1584,13.4264,0.1870,0.0000,0.0000,0.1277,0.0095,0.0000,0.0000,0.5470,0.0399,256.6848,7.3971,0.5848,13.2544,0.1387,0.5848,0.0000,1.2518,1.2518,0.0000,0.0000,14.8149,0.3130,3.0910
5,5,822.0473,351.4267,99.7341,2.9435,9.9397,42.7068,45.5749,1.5905,0.0179,0.0496,0.3280,0.0243,0.1307,0.1305,1.3337,0.1350,516.7671,9.4031,1.2243,39.0924,0.3012,1.2243,0.0000,3.2306,3.1940,0.0079,0.0237,16.4053,0.8076,3.4414
6,6,797.7698,173.3865,145.4329,6.9458,13.4187,68.6147,98.2059,6.5813,0.0258,0.1768,0.5272,0.0678,0.3330,0.5905,2.3926,0.3059,798.9331,11.0994,1.9374,82.2520,0.5178,1.9374,0.0000,5.7376,5.7253,0.0159,0.0702,16.4878,1.4344,3.1102
7,7,802.7609,83.4195,132.3836,12.8378,26.4122,61.5616,172.1252,18.8469,0.0648,0.3592,1.0807,0.1582,0.7779,0.7100,3.7414,0.6351,1099.4173,12.7046,2.6803,135.7108,0.7371,2.6803,0.0000,9.2050,9.0424,0.0469,0.1379,18.6146,2.3013,2.3071
8,8,720.2363,168.1749,11.0925,4.0170,69.0455,63.0860,272.3403,54.6215,0.1359,0.2092,1.4317,0.2676,1.6946,0.5561,4.7856,1.1420,1068.7829,14.1219,3.2758,234.4588,0.9023,3.2758,0.0000,14.3294,14.3317,0.0547,0.2248,20.1432,3.5824,1.7985
9,9,547.4516,291.1638,34.3533,4.4499,73.6401,41.1854,254.7689,87.1264,0.1668,0.2147,1.3924,0.4227,2.0093,0.6547,4.4392,1.7789,1108.1041,15.0983,3.3771,223.6908,0.9542,3.3771,0.0000,13.9145,13.9783,0.0623,0.2628,20.8063,3.4786,1.2781
