,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,255.1022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,34.8978,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,243.3627,11.7395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7756,0.0000,0.0000,0.0000,0.0000,50.0000,34.8978,0.0000,0.0000,0.0000,11.7395,0.0000,0.0000
2,2.0000,208.1663,43.5130,3.3287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0281,0.0000,0.0000,0.0000,0.0661,0.0000,0.0000,3.6333,0.0661,0.0000,0.0281,0.0661,50.0000,34.8978,0.0000,0.0000,0.0000,23.1042,0.0000,2.8136
3,3.0000,146.4830,92.9599,14.5471,0.4589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1222,0.0000,0.0000,0.0000,0.5251,0.0060,0.0000,5.4709,0.5311,0.0000,0.1222,0.5311,50.0000,34.8978,0.0000,0.0000,0.0000,32.8136,0.0000,6.1864
4,4.0000,80.9359,131.9158,37.7555,2.3988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4248,0.0120,0.0000,0.0000,1.5972,0.0621,0.0000,7.3928,1.6593,0.0000,0.4369,1.6593,50.0000,34.8978,0.0000,0.0000,0.0000,39.7635,0.0000,9.0822
5,5.0000,34.7014,140.7054,67.7134,7.3988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8758,0.0501,0.0000,0.0000,3.3747,0.2826,0.0000,9.2044,3.6573,0.0000,0.9259,3.6573,50.0000,34.8978,0.0000,0.0000,0.0000,43.5130,0.0000,10.9479
6,6.0000,33.1082,102.5932,95.1022,16.3267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4068,0.1844,0.0000,0.0000,5.6313,0.7495,0.0000,10.9098,6.3808,0.0000,1.5912,6.3808,50.0000,34.8978,0.0000,0.0000,0.0000,45.1042,0.0000,11.7014
7,7.0000,31.5591,75.2044,107.4709,29.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0080,0.3487,0.0000,0.0000,8.0100,1.4910,0.0000,12.5952,9.5010,0.0000,2.3567,9.5010,50.0000,34.8978,0.0000,0.0000,0.0000,46.6533,0.0000,11.8657
8,8.0000,6.2024,79.3467,110.0381,43.5110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4709,0.6293,0.0000,0.0000,10.2866,2.6172,0.0000,14.2465,12.9038,0.0000,3.1002,12.9038,50.0000,34.8978,0.0000,0.0000,0.0000,48.0782,0.0000,11.9339
9,9.0000,1.7315,61.3888,113.3707,58.3828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9780,0.9439,0.0000,0.0000,12.2625,4.0441,0.0000,15.9920,16.3066,0.0000,3.9218,16.3066,50.0000,34.8978,0.0000,0.0000,0.0000,48.3727,0.0000,11.9840
