,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,58.9713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.9713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,62.5044,7.8687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7389,0.0000,0.0000,0.0000,0.0000,0.0000,58.9713,0.0000,0.0000,0.0000,7.8687,0.0000,0.0000
2,2,142.1949,78.3299,2.1419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0134,0.0000,0.0000,0.0000,0.0520,0.0000,0.0000,3.3032,0.0520,0.0000,0.0134,0.0520,0.0000,58.9713,0.0000,0.0000,0.0000,14.5396,0.0000,1.6190
3,3,302.3085,183.0451,18.6448,0.3096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1083,0.0020,0.0000,0.0000,0.3015,0.0074,0.0000,4.8931,0.3046,0.0000,0.1099,0.3046,0.0000,58.9713,0.0000,0.0000,0.0000,19.8211,0.0000,2.7868
4,4,397.8845,216.2757,58.8858,1.6873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2628,0.0059,0.0000,0.0000,0.8647,0.0283,0.0000,6.5749,0.9210,0.0000,0.2659,0.9210,0.0000,58.9713,0.0000,0.0000,0.0000,22.3799,0.0000,2.9478
5,5,347.6890,160.3389,104.9749,6.4815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4137,0.0344,0.0000,0.0000,1.8929,0.1680,0.0000,8.2057,2.0231,0.0000,0.4423,2.0231,0.0000,58.9713,0.0000,0.0000,0.0000,24.3330,0.0000,2.1825
6,6,316.4498,84.9429,135.5724,16.2298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6953,0.0678,0.0000,0.0000,3.1908,0.4046,0.0000,10.1453,3.5620,0.0000,0.7689,3.5620,0.0000,58.9713,0.0000,0.0000,0.0000,25.9036,0.0000,1.4279
7,7,294.2914,55.0973,134.9685,29.1423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0897,0.1675,0.0000,0.0000,4.3298,0.6748,0.0000,11.5874,5.1132,0.0000,1.2535,5.1132,0.0000,58.9713,0.0000,0.0000,0.0000,29.2399,0.0000,0.8881
8,8,175.9961,82.4092,125.2719,44.1897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3910,0.2606,0.0000,0.0000,5.4031,1.2145,0.0000,12.8887,6.8114,0.0000,1.6870,6.8114,0.0000,58.9713,0.0000,0.0000,0.0000,33.4597,0.0000,0.6449
9,9,118.1304,90.4166,101.7326,62.0366,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5588,0.4560,0.0000,0.0000,6.1132,1.9958,0.0000,14.1859,8.1606,0.0000,1.9492,8.1606,0.0000,58.9713,0.0000,0.0000,0.0000,36.5119,0.0000,0.3427
