,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,240.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,229.0140,10.9860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7275,0.0000,0.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,0.0000,10.9860,0.0000,0.0000
2,2.0000,196.9238,40.0461,3.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5671,0.0982,0.0000,0.0160,0.0982,50.0000,50.0000,0.0000,0.0000,0.0000,21.3908,0.0000,2.6814
3,3.0000,141.5972,84.2725,13.6854,0.4449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3026,0.4729,0.0000,0.1142,0.4729,50.0000,50.0000,0.0000,0.0000,0.0000,30.3707,0.0000,5.9459
4,4.0000,83.0581,118.8397,35.8517,2.2505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0782,1.4890,0.0000,0.3828,1.4890,50.0000,50.0000,0.0000,0.0000,0.0000,36.9158,0.0000,8.7455
5,5.0000,41.2024,127.1944,64.7194,6.8838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7315,3.4188,0.0000,0.8196,3.4188,50.0000,50.0000,0.0000,0.0000,0.0000,40.7315,0.0000,10.5030
6,6.0000,39.3267,93.4790,91.8818,15.3126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4870,6.1062,0.0000,1.5210,6.1062,50.0000,50.0000,0.0000,0.0000,0.0000,42.6032,0.0000,11.4950
7,7.0000,37.5992,68.3006,106.5792,27.5210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2585,9.2004,0.0000,2.3547,9.2004,50.0000,50.0000,0.0000,0.0000,0.0000,44.3307,0.0000,11.8156
8,8.0000,7.3287,79.6313,111.7776,41.2625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0741,12.5691,0.0000,3.2585,12.5691,50.0000,50.0000,0.0000,0.0000,0.0000,46.0561,0.0000,11.9138
9,9.0000,1.3046,63.3808,118.8577,56.4569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8036,16.1042,0.0000,4.1603,16.1042,50.0000,50.0000,0.0000,0.0000,0.0000,46.4068,0.0000,11.9679
10,10.0000,0.2285,46.5271,121.0621,72.1824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5772,19.7435,0.0000,5.0922,19.7435,50.0000,50.0000,0.0000,0.0000,0.0000,46.4870,0.0000,11.9960
11,11.0000,0.0321,33.6353,117.8998,88.4329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3527,23.2345,0.0000,5.9279,23.2345,50.0000,50.0000,0.0000,0.0000,0.0000,46.4970,0.0000,12.0000
12,12.0000,0.0040,24.1643,111.6834,104.1483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.1383,26.5571,0.0000,6.7796,26.5571,50.0000,50.0000,0.0000,0.0000,0.0000,46.4970,0.0000,12.0000
13,13.0000,0.0040,17.4168,103.6754,118.9038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.8216,29.7214,0.0000,7.5451,29.7214,50.0000,50.0000,0.0000,0.0000,0.0000,46.4970,0.0000,12.0000
14,14.0000,0.0040,12.5371,94.6914,132.7675,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.6754,32.6293,0.0000,8.3026,32.6293,50.0000,50.0000,0.0000,0.0000,0.0000,46.4970,0.0000,11.9980
15,15.0000,0.0000,9.0741,85.6493,145.2766,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.4389,35.1824,0.0000,8.9459,35.1824,50.0000,50.0000,0.0000,0.0000,0.0000,46.4990,0.0000,11.9920
