,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,216.9659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,73.0341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,206.6513,10.3146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,1.7916,0.0000,0.0000,0.0000,0.0000,146.0000,73.0341,0.0000,0.0000,0.0000,10.3146,0.0000,0.0000
2,2.0000,179.8357,34.1623,2.8417,0.0000,0.0000,0.0000,0.0180,0.0000,0.0000,0.0000,0.0220,0.0000,0.0000,0.0000,0.0862,0.0000,62.0561,3.5371,0.0862,0.0180,0.0220,0.0862,146.0000,73.0341,0.0000,0.0000,0.0000,19.9178,0.0000,2.3988
3,3.0000,134.0140,69.5952,10.9419,0.3467,0.3487,0.4068,0.8016,0.0120,0.0000,0.0000,0.0902,0.0040,0.0000,0.0000,0.3928,0.0120,69.4790,5.3487,0.4048,0.8016,0.0942,0.4048,146.0000,72.7595,0.2745,0.0000,0.0000,28.0461,0.0741,5.4549
4,4.0000,84.1062,95.2124,24.8557,1.6212,1.3046,3.7675,4.3407,0.2886,0.0000,0.0000,0.2625,0.0220,0.0261,0.0120,1.0762,0.0701,86.9379,7.0621,1.1403,4.3407,0.2846,1.1403,146.0000,70.9058,2.1122,0.0000,0.0160,34.0982,0.5671,8.1042
5,5.0000,43.9920,99.3186,39.7295,4.1543,2.3126,10.2405,12.5491,1.6453,0.0000,0.0000,0.5311,0.0621,0.0621,0.0461,2.1222,0.2004,114.5731,8.6453,2.3006,12.0281,0.5932,2.3006,146.0000,66.8357,6.1483,0.0000,0.0501,38.1182,1.6533,10.2645
6,6.0000,41.0060,62.7154,49.3507,7.6814,3.2184,17.4208,25.0922,5.0401,0.0160,0.0301,0.8737,0.1363,0.1102,0.2565,3.4649,0.5531,148.9279,10.0040,3.7715,23.3607,0.9900,3.7715,146.0000,60.6313,12.1503,0.0240,0.2285,40.1343,3.2665,11.3507
7,7.0000,37.4749,39.2505,47.4248,11.3347,4.7315,19.7916,38.1102,11.2144,0.0261,0.0601,1.2144,0.2605,0.1703,0.3447,4.5150,1.0421,181.1723,11.1743,5.0741,34.8557,1.3587,5.0741,146.0000,54.4950,18.0862,0.0681,0.3848,42.0822,4.8337,11.7074
8,8.0000,18.3888,22.5932,13.2705,6.1062,12.4269,31.0321,76.0301,27.7355,0.0281,0.0581,1.3387,0.4429,0.2725,0.3788,5.1784,1.6854,306.3026,12.0822,6.0681,71.0641,1.6253,6.0681,146.0000,35.8737,36.5351,0.0882,0.5371,43.7114,9.4870,11.8196
9,9.0000,10.7295,22.6994,16.4349,7.5531,12.6453,23.0361,75.8317,38.1984,0.0421,0.0741,1.2425,0.6293,0.2986,0.3567,4.8176,2.3768,311.5571,12.4168,6.2465,72.0401,1.6693,6.2465,146.0000,35.0681,37.2425,0.1323,0.5912,44.5331,9.6774,11.9158
