,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,137.6628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.0000,153.5265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,131.3021,6.6085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9155,0.0000,0.0000,0.0000,0.0000,218.0000,153.5265,0.0000,0.0000,0.0000,6.6085,0.0000,0.0000
2,2,118.5163,18.0781,1.8881,0.0000,0.0000,0.0000,0.0254,0.0000,0.0000,0.0000,0.0243,0.0000,0.0000,0.0000,0.0498,0.0000,1.2826,3.7577,0.0498,0.0254,0.0243,0.0498,218.0000,153.5265,0.0000,0.0000,0.0000,12.7915,0.0000,1.6238
3,3,98.0579,34.0143,6.4294,0.2692,0.0627,0.1394,0.3495,0.0000,0.0000,0.0000,0.0697,0.0059,0.0000,0.0000,0.2541,0.0000,5.9040,5.6338,0.2541,0.3495,0.0721,0.2541,218.0000,153.3844,0.2491,0.0000,0.0000,18.3744,0.0296,3.8662
4,4,73.8151,48.5793,13.5517,1.0859,0.2542,0.6580,1.5792,0.0894,0.0354,0.0118,0.1866,0.0128,0.0058,0.0231,0.6627,0.0474,16.1730,7.4206,0.6942,1.5911,0.1875,0.6942,218.0000,152.3629,1.4951,0.0295,0.0520,22.8120,0.1768,6.1066
5,5,50.8505,56.6235,22.4691,2.7385,0.4072,1.7311,3.9695,0.4483,0.0354,0.0059,0.3469,0.0498,0.0126,0.0314,1.2720,0.1180,31.9983,9.2042,1.3558,4.0348,0.3763,1.3558,218.0000,149.9451,4.2152,0.0295,0.1312,26.1982,0.4828,8.1882
6,6,48.3856,41.0497,30.3666,5.2630,0.6270,3.4020,7.8921,1.3893,0.0354,0.0261,0.5159,0.0900,0.0373,0.0989,2.0338,0.2846,51.8665,10.8935,2.2365,7.9800,0.5801,2.2365,218.0000,144.8766,9.6224,0.0737,0.3459,28.3901,1.0980,9.7263
7,7,45.5679,29.7571,32.4313,8.4674,1.1250,4.2494,12.3160,3.2110,0.0493,0.0579,0.7417,0.1557,0.0947,0.1593,2.7353,0.5846,74.0553,12.5556,3.1395,12.4955,0.8584,3.1395,218.0000,138.5080,16.0955,0.2032,0.6028,30.6559,1.8361,10.4166
8,8,24.1493,40.8248,30.8536,11.5307,1.7541,4.6455,16.2883,6.0332,0.0516,0.0556,0.8882,0.2404,0.1168,0.1626,3.3864,0.9568,97.3786,13.9062,4.0402,16.9388,1.0626,4.0402,218.0000,132.2243,22.4316,0.2618,0.8914,32.7343,2.5702,10.8465
9,9,13.5828,38.0639,31.9392,14.2538,1.9471,5.1912,20.3216,9.5533,0.0516,0.0701,1.0648,0.3526,0.1303,0.1890,3.9319,1.4382,122.4793,15.2927,4.8719,21.8034,1.3139,4.8719,218.0000,124.3874,30.0975,0.3284,1.2731,33.7655,3.4250,11.3470
