,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,181.1380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.0000,110.2082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,172.8393,8.5645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9513,0.0000,0.0000,0.0000,0.0000,218.0000,110.2082,0.0000,0.0000,0.0000,8.5645,0.0000,0.0000
2,2,153.6266,26.2387,2.4751,0.0000,0.0000,0.0000,0.0092,0.0000,0.0000,0.0000,0.0242,0.0000,0.0000,0.0000,0.0761,0.0000,1.7536,3.7224,0.0761,0.0092,0.0242,0.0761,218.0000,110.2082,0.0000,0.0000,0.0000,16.5106,0.0000,2.0714
3,3,123.4710,49.7697,8.9139,0.3854,0.1980,0.1736,0.5410,0.0000,0.0000,0.0000,0.1251,0.0059,0.0000,0.0000,0.3209,0.0156,8.2816,5.5242,0.3292,0.5410,0.1273,0.3292,218.0000,110.0571,0.2438,0.0000,0.0000,23.5705,0.0410,4.6755
4,4,90.6503,67.4073,18.9555,1.5070,0.6880,1.8041,2.7120,0.1950,0.0058,0.0234,0.2713,0.0158,0.0237,0.0177,0.8616,0.0423,21.3309,7.2070,0.8908,2.7526,0.2692,0.8908,218.0000,108.5517,1.9960,0.0351,0.0473,28.9587,0.3356,7.2597
5,5,63.4961,71.9896,30.0468,3.5938,1.2543,4.7711,7.1594,1.0298,0.0058,0.0234,0.4585,0.0523,0.0791,0.0744,1.6315,0.1858,41.6838,8.9048,1.7734,7.1059,0.4864,1.7734,218.0000,104.7640,6.0796,0.0351,0.1176,32.9629,0.9811,9.2465
6,6,59.8963,49.8075,38.3856,6.5591,1.8025,8.2526,14.4631,2.8940,0.0291,0.0413,0.7565,0.1135,0.1424,0.1331,2.6107,0.4240,68.4345,10.4933,2.9085,14.0158,0.8033,2.9085,218.0000,98.3605,12.6936,0.1032,0.2393,35.9326,2.0046,10.5327
7,7,56.0906,34.3964,39.1159,10.0810,2.9747,9.9530,21.7933,6.3036,0.0595,0.0954,0.9887,0.2371,0.1994,0.2070,3.4225,0.8315,95.5634,11.9510,4.0286,20.9414,1.0965,4.0286,218.0000,91.8244,19.2621,0.2126,0.4632,38.5281,3.0698,11.1010
8,8,34.4655,42.0529,35.8657,13.2464,4.4878,9.6763,28.3181,11.1332,0.0668,0.1251,1.2501,0.3561,0.2991,0.2475,4.1111,1.2766,121.9321,13.2134,4.9683,27.5376,1.3803,4.9683,218.0000,85.0307,25.8850,0.3429,0.7567,41.0599,4.1050,11.4078
9,9,24.2557,36.1439,35.6246,15.5184,5.6361,9.8137,33.5983,17.2673,0.0719,0.1000,1.3733,0.5241,0.3611,0.2774,4.5654,1.8595,147.6521,14.2886,5.8432,33.8854,1.6066,5.8432,218.0000,77.8731,32.8762,0.4119,0.9893,42.6355,5.1681,11.7111
10,10,19.1323,27.1376,33.4143,17.6875,6.4638,9.8588,38.5227,24.0462,0.0967,0.1340,1.5147,0.7408,0.4302,0.2424,5.0683,2.4405,172.4631,15.2162,6.6973,40.2281,1.8313,6.6973,218.0000,70.4162,39.9929,0.5450,1.2360,43.6338,6.2428,11.8361
11,11,15.9763,19.5656,29.2395,19.1379,7.0840,9.4357,42.6642,31.7845,0.1121,0.1080,1.5305,0.9390,0.5061,0.2930,5.3663,3.1490,195.4468,15.9808,7.5318,46.3314,2.0117,7.5318,218.0000,63.2833,46.8894,0.5586,1.4847,44.4810,7.2698,11.9049
12,12,13.4656,14.1480,26.1971,20.6576,7.7247,7.9555,43.8462,39.7311,0.1168,0.1031,1.5379,1.1318,0.5935,0.2864,5.4102,3.8625,212.9251,16.5702,8.1069,50.3766,2.1676,8.1069,218.0000,58.0472,51.8498,0.6369,1.7105,45.0977,8.0077,11.9503
13,13,12.5767,9.7030,22.6231,22.5378,8.0329,6.2550,43.8741,47.2880,0.1502,0.0880,1.4677,1.3156,0.6178,0.2277,5.3055,4.4924,227.1032,17.0876,8.5686,53.6644,2.2756,8.5686,218.0000,53.9002,55.7611,0.6960,1.8618,45.6125,8.5623,11.9346
14,14,12.1243,6.9655,19.1973,27.3052,7.8371,4.8383,41.7501,52.5890,0.1480,0.0618,1.4083,1.4484,0.6327,0.1722,4.9935,4.9540,237.6457,17.5925,8.9213,56.0536,2.3808,8.9213,218.0000,52.0329,57.4362,0.7469,1.9477,46.2315,8.7553,11.6887
15,15,10.1672,6.9932,16.2752,36.5892,7.5000,3.5666,37.5143,54.4739,0.1480,0.0438,1.2696,1.5063,0.6261,0.1245,4.5733,5.1499,246.2535,18.1172,9.2062,57.8080,2.4371,9.2062,218.0000,53.2639,56.0528,0.7469,2.0339,46.7492,8.4890,11.0827
16,16,9.1698,6.3767,14.4077,50.5902,7.0543,2.4392,31.9032,52.2668,0.1339,0.0422,1.1022,1.4526,0.6006,0.0957,3.9778,5.0613,253.5328,18.7887,9.4451,59.1026,2.4884,9.4451,218.0000,58.0729,51.3401,0.7176,2.0184,47.2579,7.7484,10.0873
17,17,9.0559,5.6223,12.7764,64.9700,5.9727,1.8865,26.4737,48.8335,0.1092,0.0306,0.9328,1.3362,0.5613,0.0835,3.4108,4.7557,260.4020,19.5477,9.6834,60.1845,2.5435,9.6834,218.0000,63.1291,46.5951,0.6284,1.8740,47.7105,6.9339,9.0605
18,18,9.3730,5.0879,11.7533,78.3563,4.4811,1.3808,22.0649,44.4266,0.1024,0.0269,0.8111,1.1191,0.4942,0.0687,2.8643,4.3616,265.3758,20.4076,9.8423,60.8970,2.6003,9.8423,218.0000,69.0256,40.9761,0.5260,1.7015,48.1612,6.0539,8.1411
