,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,216.3737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,72.5982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,206.4611,9.5808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6861,0.0000,0.0000,0.0000,0.0000,146.0000,72.5982,0.0000,0.0000,0.0000,9.5808,0.0000,0.0000
2,2,192.9487,19.9369,2.5802,0.0000,0.0000,0.0000,0.0098,0.0000,0.0000,0.0000,0.0066,0.0000,0.0000,0.0000,0.0631,0.0000,1.5283,3.4696,0.0631,0.0098,0.0066,0.0631,146.0000,72.5982,0.0000,0.0000,0.0000,18.9843,0.0000,2.1539
3,3,174.6223,32.0849,7.3463,0.2893,0.0016,-0.0006,0.2167,-0.0019,0.0000,0.0000,0.0483,-0.0019,0.0000,0.0000,0.2585,0.0013,6.3806,5.2255,0.2677,0.2167,0.0501,0.2677,146.0000,72.5671,-0.0009,0.0000,0.0000,27.7324,0.0002,4.9151
4,4,150.2870,45.9676,14.2330,1.2775,0.3426,0.1452,0.9480,0.0174,0.0000,0.0000,0.1290,0.0025,0.0000,0.0000,0.5996,0.0263,15.3726,6.9627,0.6410,0.9639,0.1401,0.6410,146.0000,72.3441,0.1627,0.0000,0.0000,35.8284,0.0479,7.4137
5,5,123.5474,56.7742,22.2600,3.0527,1.5978,1.0451,2.8929,0.1962,0.0000,0.0000,0.2453,0.0216,-0.0153,-0.0057,1.1506,0.1193,30.6580,8.7308,1.2970,2.9739,0.2815,1.2970,146.0000,71.4668,0.9183,0.0000,-0.0076,42.8968,0.2688,9.2456
6,6,115.4079,44.0635,30.4357,5.7299,3.8371,2.8240,6.4413,0.9245,-0.0124,-0.0027,0.4120,0.0532,0.0190,0.0035,1.8520,0.2652,50.3321,10.3533,2.1454,6.5767,0.4793,2.1454,146.0000,69.4968,2.7125,-0.0055,0.0075,48.5189,0.7723,10.5150
7,7,106.5059,34.2477,33.1907,8.7538,7.1617,4.2970,10.9332,2.6635,0.0008,-0.0015,0.6019,0.1055,0.0934,0.0253,2.5140,0.5230,73.5365,11.8747,3.0396,11.2077,0.7247,3.0396,146.0000,66.8853,5.1071,-0.0005,0.0440,53.7161,1.4517,11.1158
8,8,79.6408,44.5880,32.2396,12.0134,11.3876,4.7584,15.7701,5.2723,0.0282,0.0026,0.7708,0.1938,0.2173,0.0579,3.0945,0.8912,99.2577,13.3918,3.9503,16.1492,0.9745,3.9503,146.0000,63.9274,7.8158,0.0128,0.1117,58.6176,2.2218,11.4077
9,9,58.5039,45.5565,33.6303,14.3965,14.9802,6.5192,20.6737,9.1419,0.0639,0.0134,0.9198,0.3072,0.4949,0.1388,3.7333,1.3712,126.5533,14.6779,4.9077,21.7153,1.2080,4.9077,146.0000,60.1848,11.2241,0.0395,0.2675,62.2571,3.1877,11.6257
10,10,42.4852,40.3735,33.8609,16.4293,18.5254,8.6976,26.6907,14.3252,0.1071,0.0246,1.0729,0.4328,0.7150,0.1562,4.2220,1.9601,155.6015,15.8022,5.8219,28.5704,1.4581,5.8219,146.0000,55.6384,15.5032,0.0689,0.4164,64.8743,4.3589,11.8060
11,11,31.4347,32.7724,32.2488,17.8510,21.3143,10.1440,32.8415,20.9467,0.1371,0.0359,1.1567,0.5835,0.8929,0.2074,4.6704,2.6108,182.1537,16.7597,6.7062,35.6640,1.6739,6.7062,146.0000,50.8519,20.0248,0.0887,0.5705,66.6799,5.5687,11.8555
12,12,23.2117,24.9678,29.6988,18.7610,23.6904,10.7317,38.2872,28.6939,0.1776,0.0481,1.2528,0.7383,1.0753,0.2307,4.9622,3.3090,205.8977,17.5178,7.5137,42.3249,1.8670,7.5137,146.0000,46.2111,24.4009,0.1299,0.7518,68.1275,6.7446,11.9101
13,13,19.9198,15.8956,25.8109,19.4189,25.7626,10.4923,42.0887,37.4914,0.1940,0.0416,1.2735,0.9015,1.2510,0.2500,5.1734,3.9607,227.8700,18.1425,8.2169,48.2407,2.0292,8.2169,146.0000,41.8654,28.5144,0.1482,0.9261,69.1998,7.8124,11.9273
14,14,17.8176,10.2609,20.9413,19.9834,26.8500,9.3036,44.5432,46.2974,0.2249,0.0419,1.2895,1.0932,1.3984,0.2646,5.1204,4.6802,245.6557,18.6734,8.7918,53.2234,2.1926,8.7918,146.0000,38.4062,31.7700,0.1925,1.0865,70.0593,8.6548,11.8522
15,15,15.1762,9.0532,17.6484,22.8542,26.6265,7.1873,43.8774,53.0686,0.2432,0.0395,1.2021,1.2446,1.5482,0.2317,4.8773,5.2630,257.0645,19.0820,9.1722,56.2456,2.2902,9.1722,146.0000,36.7973,33.2186,0.2149,1.2389,70.9144,8.9987,11.5777
16,16,14.9843,7.7956,15.1452,29.2878,24.7985,5.3559,41.4209,56.9889,0.2252,0.0257,1.1107,1.2761,1.5010,0.1818,4.4629,5.5252,265.9503,19.5245,9.4838,58.5737,2.3510,9.4838,146.0000,37.0204,33.0296,0.2108,1.2338,71.7234,8.8799,11.0254
17,17,16.2496,6.9907,13.3234,37.6737,21.6383,3.8818,37.5619,58.9179,0.2094,0.0188,0.9936,1.2818,1.4462,0.1401,3.9995,5.5764,272.3282,19.9845,9.7242,60.2849,2.4099,9.7242,146.0000,38.3491,31.7062,0.1987,1.2199,72.6180,8.4627,10.3828
18,18,18.7762,6.3891,11.9248,46.4114,17.4946,2.8297,33.6356,59.6601,0.1711,0.0092,0.8747,1.2324,1.3363,0.0969,3.5888,5.4265,278.2467,20.6061,9.9448,61.6764,2.4636,9.9448,146.0000,40.1825,29.9375,0.1812,1.1710,73.5813,7.9141,9.7350
19,19,20.5920,6.3521,10.9132,58.7777,14.0499,1.9676,28.6437,57.3951,0.1360,0.0052,0.7430,1.1359,1.0502,0.0611,3.1072,4.9582,283.1711,21.3298,10.1271,62.6590,2.5066,10.1271,146.0000,43.0902,27.2099,0.1578,1.0156,74.7382,7.1090,9.0037
20,20,23.2082,5.3642,10.1710,74.3973,10.6100,1.2987,23.3903,51.8182,0.1038,0.0036,0.5810,1.0354,0.8417,0.0422,2.6595,4.4084,288.3351,22.0562,10.3296,63.6455,2.5481,10.3296,146.0000,46.9082,23.5686,0.1270,0.8820,75.8762,6.0843,8.2125
21,21,24.9386,4.7394,9.7095,91.5563,7.9604,0.8517,18.0686,44.2357,0.0705,0.0013,0.4948,0.8609,0.6826,0.0361,2.1999,3.6605,292.6904,23.1432,10.4672,64.2482,2.5960,10.4672,146.0000,51.2259,19.4309,0.1038,0.7508,77.0781,4.9745,7.3034
22,22,24.9930,5.7293,9.2774,108.5297,5.7038,0.5386,13.2662,35.9764,0.0372,-0.0007,0.4001,0.6433,0.5139,0.0252,1.8109,2.8869,296.5620,24.3255,10.5901,64.7176,2.6399,10.5901,146.0000,55.5640,15.3873,0.0635,0.5728,78.4601,3.8728,6.4855
23,23,25.0365,6.2369,9.0636,124.1677,3.6833,0.3539,9.3703,28.0056,0.0239,-0.0015,0.3161,0.4877,0.3541,0.0157,1.4172,2.2623,300.8769,25.6825,10.7462,65.1517,2.6666,10.7462,146.0000,59.6591,11.5312,0.0466,0.4243,79.6641,2.8777,5.7577
24,24,24.2806,6.9580,8.9382,137.8683,2.2580,0.2569,6.6570,20.4971,0.0050,-0.0015,0.2458,0.3303,0.2205,0.0071,1.2058,1.6170,305.8286,27.1181,10.9124,65.5352,2.6961,10.9124,146.0000,63.1856,8.3213,0.0110,0.2711,80.9780,2.0365,5.2298
25,25,23.2888,7.1431,9.1200,146.6341,1.2350,0.1849,5.1455,16.3030,-0.0039,-0.0019,0.1989,0.2501,0.0806,-0.0003,1.0341,1.2596,311.3282,28.7002,11.0838,65.9672,2.7327,11.0838,146.0000,65.5356,6.2511,-0.0036,0.1316,82.1635,1.5220,5.0906
26,26,21.5744,7.2889,9.2088,153.5971,0.7833,0.1456,4.1642,12.9059,-0.0043,0.0000,0.1998,0.2065,0.0614,-0.0003,1.0078,1.0686,317.3763,30.2611,11.2712,66.4345,2.7745,11.2712,146.0000,67.1154,4.7630,-0.0070,0.1114,83.2971,1.1696,5.0931
27,27,20.9062,6.1426,9.3528,158.9080,0.5332,0.1182,3.5132,10.6121,-0.0019,-0.0019,0.2000,0.1972,0.0390,-0.0003,1.0263,0.9762,324.1855,31.8444,11.4959,66.8474,2.8213,11.4959,146.0000,68.1547,3.7775,-0.0067,0.1012,84.3031,0.9355,5.1991
28,28,20.0841,5.2409,9.1978,163.6145,0.4469,0.0978,3.0618,8.6869,-0.0019,-0.0019,0.2007,0.1948,0.0174,-0.0015,1.0219,0.9086,330.8779,33.4733,11.6933,67.3215,2.8709,11.6933,146.0000,69.0978,2.9334,-0.0067,0.0763,85.2643,0.7448,5.2043
29,29,18.1472,5.6538,8.9620,167.4456,0.3772,0.0649,2.6870,7.3130,0.0000,-0.0019,0.2000,0.1806,0.0140,-0.0019,1.0432,0.9085,337.9389,35.2505,11.9033,67.6746,2.9153,11.9033,146.0000,69.8112,2.2909,-0.0057,0.0710,86.1996,0.6022,5.2120
30,30,16.4630,5.7699,8.7881,171.0696,0.3206,0.0491,2.4377,6.0490,0.0000,-0.0015,0.2080,0.1693,0.0046,-0.0019,1.0433,0.8540,345.0850,36.8485,12.1045,68.0723,2.9555,12.1045,146.0000,70.4080,1.7485,-0.0097,0.0474,86.9805,0.4766,5.1587
31,31,14.9117,5.6459,8.7634,173.5932,0.2637,0.0385,2.2927,5.4966,-0.0038,0.0000,0.2183,0.1753,0.0037,-0.0015,1.0344,0.8831,352.5208,38.5841,12.2868,68.4399,3.0116,12.2868,146.0000,70.7134,1.4607,-0.0059,0.0414,87.7311,0.4165,5.0860
32,32,13.4210,5.5122,8.6477,175.6172,0.2260,0.0375,2.2270,5.3343,-0.0027,-0.0019,0.2159,0.1902,0.0037,-0.0019,0.9912,0.9621,359.7595,40.3485,12.4453,68.8139,3.0589,12.4453,146.0000,70.8905,1.3082,-0.0019,0.0414,88.4508,0.3918,5.1010
33,33,12.0089,5.2970,8.4135,177.4918,0.2260,0.0588,2.2505,5.3031,-0.0027,-0.0019,0.2090,0.2104,0.0015,-0.0019,1.0088,0.9594,367.4985,42.1238,12.6571,69.2614,3.1029,12.6571,146.0000,71.0423,1.1922,-0.0019,0.0284,89.1776,0.3785,5.0606
34,34,11.4925,4.3054,8.1206,179.3175,0.2129,0.0543,2.2621,5.2718,-0.0027,0.0000,0.2326,0.2123,0.0015,-0.0019,1.0306,0.9943,375.7083,43.8849,12.8601,69.6530,3.1605,12.8601,146.0000,71.1582,1.0881,-0.0019,0.0319,89.7171,0.3676,5.0522
35,35,10.9509,3.6562,7.7587,181.3539,0.1884,0.0511,2.0830,5.0833,-0.0027,0.0000,0.2397,0.2028,0.0015,-0.0027,1.0000,1.0266,382.4444,45.6101,13.0146,69.9426,3.1959,13.0146,146.0000,71.2138,1.0235,-0.0019,0.0385,90.2961,0.3479,4.9779
36,36,10.0183,3.4844,7.3740,183.1781,0.1787,0.0569,2.0175,4.9284,-0.0027,0.0000,0.2407,0.2066,0.0015,-0.0027,0.9698,1.0423,389.3969,47.3869,13.1826,70.2651,3.2436,13.1826,146.0000,71.2755,0.9754,-0.0019,0.0350,90.8066,0.3316,4.8990
37,37,9.1508,3.4373,6.8944,185.3167,0.1674,0.0315,1.9291,4.5598,-0.0027,0.0000,0.2394,0.1819,-0.0015,-0.0027,0.9587,0.9760,395.5352,49.0589,13.3335,70.5239,3.2858,13.3335,146.0000,71.4365,0.8605,-0.0059,0.0208,91.3171,0.2942,4.7687
38,38,8.3940,3.2186,6.4977,187.1373,0.1411,0.0223,1.8231,4.3365,-0.0027,0.0000,0.2414,0.1913,-0.0027,-0.0015,0.9844,0.8887,402.5791,50.7943,13.4933,70.8193,3.3433,13.4933,146.0000,71.4975,0.8023,-0.0059,0.0173,91.7599,0.2737,4.7056
39,39,7.6413,3.0459,6.1783,188.7275,0.1417,0.0241,1.6848,4.2843,-0.0027,0.0000,0.2477,0.1779,-0.0019,-0.0015,0.9486,0.8443,409.3098,52.4900,13.6369,71.0522,3.3802,13.6369,146.0000,71.5353,0.7767,-0.0059,0.0109,92.1864,0.2665,4.5126
40,40,7.0281,2.7155,6.0082,190.3132,0.1268,0.0230,1.5229,4.1508,-0.0027,0.0000,0.2412,0.1839,-0.0019,-0.0019,0.9266,0.8182,414.6803,54.2175,13.7673,71.2085,3.4145,13.7673,146.0000,71.5920,0.7286,-0.0035,0.0173,92.5479,0.2575,4.3788
41,41,6.7073,2.2765,5.6464,192.0837,0.1029,0.0181,1.4411,3.8134,-0.0019,0.0000,0.2183,0.1815,-0.0019,0.0000,0.8914,0.7980,420.5734,56.0912,13.9034,71.4037,3.4507,13.9034,146.0000,71.6790,0.6692,-0.0067,0.0170,92.9063,0.2314,4.1899
42,42,6.4176,1.9525,5.1439,193.9542,0.0943,0.0152,1.3168,3.3291,0.0000,0.0000,0.2023,0.1779,-0.0019,0.0000,0.8629,0.8186,426.4527,57.6622,14.0544,71.5676,3.4876,14.0544,146.0000,71.8105,0.5485,-0.0095,0.0221,93.2119,0.1954,3.9678
43,43,5.9785,1.8378,4.7311,195.8498,0.0699,0.0065,1.2065,2.7840,0.0000,0.0000,0.1833,0.1749,-0.0019,0.0000,0.8266,0.7790,432.4395,59.4523,14.1948,71.7202,3.5150,14.1948,146.0000,71.9169,0.4622,-0.0095,0.0221,93.5041,0.1618,3.7488
44,44,5.5949,1.7134,4.4099,197.5148,0.0597,0.0038,1.0821,2.3809,0.0000,0.0000,0.1548,0.1644,-0.0019,0.0000,0.7501,0.7245,436.5199,61.1533,14.2907,71.8301,3.5209,14.2907,146.0000,71.9968,0.3958,-0.0095,0.0188,93.7617,0.1379,3.5428
45,45,5.2396,1.5536,4.1412,199.0437,0.0440,-0.0015,0.9637,2.0476,0.0000,0.0000,0.1421,0.1488,0.0000,0.0000,0.6580,0.6833,440.4144,62.9001,14.3636,71.9086,3.5367,14.3636,146.0000,72.0983,0.3266,-0.0095,0.0054,94.0276,0.1107,3.3148
46,46,4.9130,1.4559,3.7940,200.4966,0.0266,-0.0015,0.8557,1.7159,0.0000,0.0000,0.1360,0.1214,0.0000,0.0000,0.6344,0.6292,444.8387,64.5961,14.4555,72.0083,3.5545,14.4555,146.0000,72.1860,0.2548,-0.0095,0.0054,94.2806,0.0892,3.0743
47,47,4.5700,1.3769,3.5725,201.5625,0.0200,-0.0015,0.7264,1.5913,0.0000,0.0000,0.1319,0.1075,0.0000,0.0000,0.5828,0.6037,449.4401,66.2891,14.5436,72.0968,3.5759,14.5436,146.0000,72.2253,0.2299,-0.0095,0.0010,94.5255,0.0803,2.9210
48,48,4.3683,1.1880,3.3539,202.9136,0.0140,-0.0019,0.5754,1.2656,0.0000,0.0000,0.1054,0.0971,0.0000,0.0000,0.5398,0.5460,453.0454,68.0716,14.6126,72.1474,3.5926,14.6126,146.0000,72.3141,0.1588,-0.0095,0.0010,94.7361,0.0584,2.7220
49,49,4.1806,1.0665,3.0195,204.0534,0.0078,-0.0019,0.5128,1.0150,0.0000,0.0000,0.1040,0.0803,0.0000,0.0000,0.5278,0.4934,456.5092,69.8615,14.7106,72.2154,3.6134,14.7106,146.0000,72.3564,0.1292,-0.0095,-0.0027,94.9422,0.0446,2.5352
50,50,3.9315,0.9828,2.8266,205.0215,0.0066,0.0000,0.4299,0.8593,0.0000,0.0000,0.0893,0.0778,0.0000,0.0000,0.4628,0.4874,459.3421,71.5867,14.7859,72.2439,3.6264,14.7859,146.0000,72.4081,0.1043,0.0000,-0.0053,95.1296,0.0329,2.3920
51,51,3.6910,0.9319,2.5894,206.0543,0.0037,0.0000,0.3460,0.6503,0.0000,0.0000,0.0898,0.0689,0.0000,0.0000,0.4329,0.4349,462.3979,73.4610,14.8549,72.2760,3.6502,14.8549,146.0000,72.4645,0.0645,0.0000,-0.0076,95.2978,0.0200,2.2026
52,52,3.4500,0.9157,2.4105,206.8025,0.0037,0.0000,0.2745,0.5980,0.0000,0.0000,0.0762,0.0588,0.0000,0.0000,0.3780,0.3859,464.9936,75.1621,14.9017,72.3035,3.6634,14.9017,146.0000,72.4737,0.0633,0.0000,0.0000,95.4758,0.0184,1.9904
53,53,3.2506,0.8769,2.2346,207.6690,0.0010,0.0000,0.2255,0.4065,0.0000,0.0000,0.0688,0.0525,0.0000,0.0000,0.3379,0.3354,467.1583,76.9339,14.9481,72.3247,3.6765,14.9481,146.0000,72.5189,0.0313,0.0000,0.0000,95.6404,0.0093,1.8387
54,54,3.0744,0.7920,2.1215,208.2518,-0.0015,0.0000,0.1901,0.3383,0.0000,0.0000,0.0676,0.0542,0.0000,0.0000,0.2942,0.3214,469.4797,78.6733,14.9874,72.3492,3.6828,14.9874,146.0000,72.5322,0.0222,0.0000,0.0000,95.8039,0.0065,1.7311
55,55,2.9208,0.7267,1.9886,208.7882,-0.0027,0.0000,0.1491,0.2851,0.0000,0.0000,0.0541,0.0566,0.0000,0.0000,0.2824,0.3161,471.7398,80.4234,15.0396,72.3566,3.6868,15.0396,146.0000,72.5482,0.0114,0.0000,0.0000,95.9623,0.0038,1.6489
56,56,2.7642,0.6975,1.8489,209.3560,-0.0027,0.0000,0.1167,0.2008,0.0000,0.0000,0.0494,0.0507,0.0000,0.0000,0.2416,0.3012,473.8491,82.1969,15.0787,72.3703,3.6946,15.0787,146.0000,72.5735,0.0001,0.0000,0.0000,96.1214,0.0002,1.5131
