,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,217.4018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,146.0000,73.6263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,207.6111,10.1227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9091,0.0000,0.0000,0.0000,0.0000,146.0000,73.6263,0.0000,0.0000,0.0000,10.1227,0.0000,0.0000
2,2,194.3579,20.8207,2.8627,0.0000,0.0000,0.0000,0.0383,0.0000,0.0000,0.0000,0.0335,0.0000,0.0000,0.0000,0.1173,0.0000,2.6601,3.7849,0.1173,0.0383,0.0335,0.1173,146.0000,73.6263,0.0000,0.0000,0.0000,19.7572,0.0000,2.3792
3,3,176.4037,33.2377,7.8681,0.3920,0.1187,0.0567,0.3484,0.0059,0.0000,0.0000,0.0960,0.0059,0.0000,0.0000,0.3587,0.0187,8.5453,5.6202,0.3696,0.3484,0.0982,0.3696,146.0000,73.5972,0.0610,0.0000,0.0000,28.6284,0.0158,5.1972
4,4,152.5106,47.4793,15.0255,1.4800,0.6795,0.3157,1.2404,0.0507,0.0000,0.0000,0.1956,0.0215,0.0000,0.0000,0.7391,0.0619,18.3228,7.4141,0.7859,1.2566,0.2086,0.7859,146.0000,73.3873,0.3303,0.0000,0.0000,36.7928,0.0924,7.7086
5,5,126.1680,58.5605,23.4073,3.4042,2.1978,1.4519,3.4357,0.2928,0.0000,0.0000,0.3359,0.0545,0.0473,0.0177,1.3343,0.1853,34.6126,9.2211,1.4926,3.5191,0.3758,1.4926,146.0000,72.5573,1.2660,0.0000,0.0237,43.9168,0.3605,9.4999
6,6,118.0871,45.4756,31.8609,6.1979,4.6639,3.4285,7.2661,1.1557,0.0765,0.0147,0.5298,0.0991,0.1774,0.0446,2.0799,0.3640,55.1589,10.8851,2.3837,7.3993,0.5989,2.3837,146.0000,70.6475,3.2554,0.0335,0.0767,49.5813,0.9111,10.6994
7,7,109.3458,35.4477,34.6410,9.3945,8.2852,4.9816,12.0928,3.0720,0.1154,0.0255,0.7447,0.1671,0.3074,0.1030,2.7806,0.6554,79.2771,12.4580,3.3131,12.3274,0.8705,3.3131,146.0000,68.1287,5.8348,0.0767,0.1484,54.8249,1.6425,11.2649
8,8,82.3231,46.2537,33.7003,12.8042,12.7847,5.3819,17.1718,5.8820,0.1922,0.0295,0.9286,0.2751,0.5001,0.1665,3.3864,1.0687,105.7643,14.0110,4.2421,17.5061,1.1417,4.2421,146.0000,65.2751,8.7173,0.1034,0.2611,59.7271,2.4556,11.5261
9,9,60.9269,47.3974,35.2073,15.3028,16.4386,7.2724,22.1559,9.9924,0.2447,0.0788,1.0962,0.4062,0.8799,0.2780,4.0623,1.5907,133.4748,15.3221,5.2165,23.1945,1.3932,5.2165,146.0000,61.6068,12.2548,0.1528,0.4941,63.3782,3.4456,11.7250
10,10,44.6812,42.1916,35.5620,17.4504,20.0838,9.5669,28.2672,15.4022,0.3178,0.0996,1.2598,0.5532,1.1567,0.2887,4.5877,2.2283,162.9916,16.4664,6.1461,30.1751,1.6602,6.1461,146.0000,57.0911,16.6171,0.2037,0.6858,66.0195,4.6391,11.8733
11,11,33.3188,34.5342,34.0558,18.9706,22.9182,11.0584,34.5373,22.2637,0.3799,0.1164,1.3524,0.7311,1.3596,0.3577,5.0611,2.9122,189.7501,17.4367,7.0333,37.3219,1.8853,7.0333,146.0000,52.3465,21.2338,0.2399,0.8683,67.8251,5.8622,11.9120
12,12,24.7482,26.5513,31.5156,20.0126,25.2916,11.6090,40.0013,30.2280,0.4316,0.1442,1.4727,0.9250,1.5781,0.3865,5.3745,3.6690,213.5933,18.2217,7.8410,43.9997,2.0929,7.8410,146.0000,47.6967,25.6392,0.2989,1.0959,69.2873,7.0350,11.9536
13,13,21.3107,17.0984,27.6159,20.8216,27.3837,11.3434,43.7189,39.2060,0.4513,0.1268,1.5041,1.1266,1.7711,0.4033,5.6041,4.3640,235.7212,18.8635,8.5486,49.8835,2.2674,8.5486,146.0000,43.3290,29.8223,0.3247,1.2944,70.3754,8.0914,11.9685
14,14,19.1403,11.1259,22.5697,21.5397,28.4566,10.0350,46.2023,48.0633,0.4926,0.1304,1.5241,1.3517,1.9363,0.4168,5.5529,5.1274,253.1540,19.4068,9.1160,54.8367,2.4367,9.1160,146.0000,39.8183,33.0717,0.3926,1.4866,71.2433,8.9204,11.9114
15,15,16.3509,9.9288,19.1011,24.6809,28.1991,7.8027,45.4653,54.9675,0.5143,0.1168,1.4352,1.5169,2.1232,0.3575,5.3271,5.7471,264.5066,19.8278,9.5052,57.7784,2.5395,9.5052,146.0000,38.1406,34.5249,0.4223,1.6669,72.0997,9.2538,11.6768
16,16,16.1540,8.6413,16.4741,31.4697,26.3759,5.9027,42.9318,58.9711,0.4842,0.0866,1.3382,1.5656,2.0621,0.2912,4.8878,6.0540,273.2161,20.2831,9.8108,60.0515,2.6029,9.8108,146.0000,38.3423,34.3091,0.4184,1.6600,72.9139,9.1361,11.1710
17,17,17.5099,7.7668,14.5323,40.3103,23.1994,4.3267,39.1035,61.0340,0.4599,0.0654,1.2188,1.5720,1.9967,0.2327,4.4174,6.1270,279.5516,20.7490,10.0513,61.6951,2.6642,10.0513,146.0000,39.6789,33.0233,0.3985,1.6498,73.8028,8.7317,10.5752
18,18,20.2138,7.0858,13.0211,49.2880,18.8782,3.2305,35.1339,61.9912,0.3941,0.0469,1.0932,1.5211,1.8661,0.1756,3.9743,6.0043,285.3285,21.3859,10.2717,63.0210,2.7188,10.2717,146.0000,41.5169,31.2689,0.3759,1.5906,74.7674,8.1861,9.9644
19,19,22.0292,6.9826,11.9445,61.9638,15.2727,2.2929,30.1138,59.9235,0.3450,0.0389,0.9323,1.4292,1.5149,0.1273,3.4619,5.5147,290.2197,22.1251,10.4540,63.9662,2.7639,10.4540,146.0000,44.4489,28.5456,0.3432,1.4133,75.9352,7.3879,9.2609
20,20,24.6956,5.8823,11.1276,77.9113,11.6946,1.5750,24.7380,54.5104,0.2610,0.0364,0.7456,1.3293,1.2665,0.1021,2.9838,4.9824,295.4765,22.8656,10.6564,64.9236,2.8106,10.6564,146.0000,48.2861,24.8923,0.2938,1.2663,77.0978,6.3686,8.4849
21,21,26.4121,5.2045,10.5951,95.3094,8.9213,1.0842,19.3062,46.9988,0.2020,0.0187,0.6395,1.1511,1.0649,0.0922,2.4855,4.2233,299.9709,23.9710,10.7993,65.5194,2.8589,10.7993,146.0000,52.6218,20.7134,0.2609,1.1170,78.3247,5.2580,7.5903
22,22,26.3897,6.2827,10.0853,112.3641,6.5487,0.7199,14.3651,38.7370,0.1431,0.0127,0.5258,0.8917,0.8328,0.0710,2.0689,3.4057,303.9671,25.1855,10.9289,65.9838,2.9071,10.9289,146.0000,56.9410,16.6087,0.2010,0.8861,79.7403,4.1512,6.7851
23,23,26.3944,6.8172,9.8141,127.7922,4.3568,0.4958,10.3091,30.6718,0.1204,0.0095,0.4213,0.7107,0.6319,0.0524,1.6489,2.7357,308.4258,26.5540,11.0895,66.3954,2.9366,11.0895,146.0000,61.0303,12.6572,0.1738,0.7020,80.9692,3.1343,6.0499
24,24,25.5551,7.5590,9.6790,141.2539,2.7841,0.3724,7.4873,22.9097,0.0672,0.0095,0.3434,0.4993,0.4528,0.0370,1.4115,2.0102,313.5742,28.0202,11.2599,66.7654,2.9672,11.2599,146.0000,64.4937,9.3420,0.0972,0.5024,82.3005,2.2641,5.5237
25,25,24.4908,7.7546,9.8339,149.7467,1.6187,0.2921,5.8525,18.5347,0.0359,0.0059,0.2860,0.3912,0.2281,0.0203,1.2224,1.5901,319.3010,29.6205,11.4372,67.1991,3.0068,11.4372,146.0000,66.7931,7.1517,0.0598,0.3053,83.4958,1.7244,5.3824
26,26,22.6981,7.9055,9.8814,156.5752,1.0884,0.2431,4.7898,14.9618,0.0204,0.0000,0.2892,0.3225,0.1911,0.0203,1.1926,1.3884,325.4815,31.1898,11.6306,67.6697,3.0492,11.6306,146.0000,68.3235,5.5977,0.0430,0.2774,84.6548,1.3555,5.3799
27,27,21.9876,6.6830,10.0220,161.6852,0.7775,0.2024,4.0659,12.5262,0.0059,0.0059,0.2850,0.3278,0.1454,0.0243,1.2182,1.2923,332.3556,32.8129,11.8588,68.0705,3.0986,11.8588,146.0000,69.3563,4.5391,0.0388,0.2635,85.6689,1.1046,5.4742
28,28,21.1423,5.6929,9.8643,166.2733,0.6794,0.1708,3.5715,10.4473,0.0059,0.0059,0.2843,0.3262,0.0948,0.0095,1.2066,1.2317,339.2904,34.4546,12.0622,68.5542,3.1491,12.0622,146.0000,70.2569,3.6037,0.0388,0.2243,86.6315,0.8985,5.4851
29,29,19.1153,6.1618,9.6151,169.9532,0.5807,0.1315,3.1527,8.9114,0.0000,0.0059,0.2850,0.2963,0.0862,0.0059,1.2334,1.2478,346.7224,36.2685,12.2811,68.9185,3.1929,12.2811,146.0000,70.9503,2.8834,0.0177,0.2055,87.5840,0.7405,5.5014
30,30,17.3927,6.2622,9.4604,173.4074,0.5091,0.1072,2.8609,7.4981,0.0000,0.0095,0.2930,0.2956,0.0555,0.0059,1.2293,1.1660,354.1214,37.8929,12.4927,69.3185,3.2369,12.4927,146.0000,71.5399,2.2716,0.0498,0.1691,88.3742,0.6015,5.4546
31,31,15.8017,6.1497,9.4210,175.8737,0.4297,0.0858,2.6973,6.9042,0.0118,0.0000,0.3067,0.3217,0.0364,0.0095,1.2141,1.1971,361.8078,39.6604,12.6791,69.6964,3.2971,12.6791,146.0000,71.8317,1.9621,0.0580,0.1630,89.1346,0.5375,5.3869
32,32,14.2744,6.0349,9.3083,177.8458,0.3672,0.0907,2.6147,6.6858,0.0147,0.0059,0.3011,0.3629,0.0364,0.0059,1.1691,1.2784,369.1984,41.4471,12.8412,70.0799,3.3459,12.8412,146.0000,71.9992,1.7579,0.0660,0.1630,89.8779,0.5060,5.4040
33,33,12.8128,5.7812,9.0775,179.6946,0.3632,0.1256,2.6393,6.6568,0.0147,0.0059,0.2920,0.3828,0.0306,0.0059,1.1916,1.2691,377.1829,43.2590,13.0543,70.5422,3.3901,13.0543,146.0000,72.1480,1.6134,0.0660,0.1359,90.6220,0.4913,5.3683
34,34,12.2711,4.7166,8.7932,181.4841,0.3442,0.1220,2.6397,6.6160,0.0147,0.0000,0.3205,0.3849,0.0306,0.0059,1.2099,1.3183,385.7987,45.0410,13.2642,70.9322,3.4487,13.2642,146.0000,72.2646,1.4771,0.0660,0.1405,91.1687,0.4780,5.3646
35,35,11.7064,4.0231,8.4016,183.4717,0.3086,0.1132,2.4461,6.3716,0.0147,0.0000,0.3295,0.3784,0.0306,0.0148,1.1844,1.3902,392.8582,46.7947,13.4262,71.2197,3.4854,13.4262,146.0000,72.3212,1.4013,0.0660,0.1619,91.7560,0.4537,5.2826
36,36,10.7312,3.8422,7.9687,185.2628,0.2902,0.1235,2.3632,6.1779,0.0147,0.0000,0.3325,0.3866,0.0306,0.0148,1.1505,1.3946,400.1181,48.5650,13.6030,71.5425,3.5379,13.6030,146.0000,72.3838,1.3332,0.0660,0.1574,92.2716,0.4340,5.2012
37,37,9.8272,3.7731,7.4503,187.3486,0.2735,0.0767,2.2713,5.7529,0.0147,0.0000,0.3337,0.3351,0.0175,0.0148,1.1335,1.3166,406.5089,50.2637,13.7607,71.8007,3.5839,13.7607,146.0000,72.5355,1.1916,0.0580,0.1275,92.7911,0.3912,5.0709
38,38,9.0409,3.5550,7.0214,189.1633,0.2397,0.0619,2.1568,5.5633,0.0147,0.0000,0.3317,0.3538,0.0147,0.0095,1.1639,1.2155,413.7856,52.0353,13.9256,72.1065,3.6427,13.9256,146.0000,72.5987,1.1335,0.0580,0.1230,93.2501,0.3716,5.0059
39,39,8.2545,3.3830,6.6874,190.7034,0.2430,0.0681,1.9906,5.5033,0.0147,0.0000,0.3374,0.3431,0.0059,0.0095,1.1275,1.1637,420.7263,53.7425,14.0745,72.3386,3.6819,14.0745,146.0000,72.6330,1.1071,0.0580,0.1093,93.6893,0.3627,4.8180
40,40,7.6051,3.0320,6.5048,192.2319,0.2219,0.0612,1.8078,5.2961,0.0147,0.0000,0.3319,0.3531,0.0059,0.0059,1.1014,1.1498,426.2255,55.4940,14.2087,72.5069,3.7198,14.2087,146.0000,72.6805,1.0390,0.0476,0.1230,94.0533,0.3477,4.6873
41,41,7.2647,2.5572,6.1051,193.9804,0.1897,0.0541,1.7172,4.9241,0.0059,0.0000,0.3027,0.3315,0.0059,0.0000,1.0605,1.1018,432.3725,57.3878,14.3491,72.7005,3.7557,14.3491,146.0000,72.7578,0.9741,0.0388,0.0952,94.4163,0.3177,4.4915
42,42,6.9572,2.2078,5.5896,195.8053,0.1783,0.0449,1.5770,4.3863,0.0000,0.0000,0.2866,0.2951,0.0059,0.0000,1.0249,1.1333,438.5854,58.9831,14.5067,72.8653,3.7949,14.5067,146.0000,72.8829,0.8343,0.0295,0.1061,94.7320,0.2776,4.2606
43,43,6.4904,2.0900,5.1567,197.6211,0.1425,0.0296,1.4548,3.7211,0.0000,0.0000,0.2656,0.2940,0.0059,0.0000,0.9810,1.0967,444.6466,60.7922,14.6469,73.0173,3.8237,14.6469,146.0000,72.9768,0.7202,0.0295,0.1061,95.0370,0.2350,4.0388
44,44,6.0844,1.9499,4.8206,199.1986,0.1286,0.0243,1.3187,3.2664,0.0000,0.0000,0.2300,0.2805,0.0059,0.0000,0.8932,1.0230,448.9390,62.4980,14.7474,73.1278,3.8298,14.7474,146.0000,73.0533,0.6382,0.0295,0.1014,95.2964,0.2068,3.8159
45,45,5.7143,1.7931,4.5441,200.6717,0.1043,0.0095,1.1806,2.8782,0.0000,0.0000,0.2146,0.2681,0.0000,0.0000,0.8009,0.9320,452.9283,64.2823,14.8228,73.2056,3.8461,14.8228,146.0000,73.1522,0.5472,0.0295,0.0748,95.5636,0.1739,3.5790
46,46,5.3636,1.6864,4.1740,202.0485,0.0776,0.0095,1.0641,2.4805,0.0000,0.0000,0.2087,0.2353,0.0000,0.0000,0.7724,0.8778,457.4860,65.9971,14.9192,73.3064,3.8644,14.9192,146.0000,73.2329,0.4506,0.0295,0.0748,95.8196,0.1472,3.3385
47,47,5.0051,1.5850,3.9426,203.1028,0.0642,0.0095,0.9289,2.3366,0.0000,0.0000,0.2048,0.2131,0.0000,0.0000,0.7118,0.8272,462.2994,67.6788,15.0116,73.3942,3.8870,15.0116,146.0000,73.2657,0.4194,0.0295,0.0631,96.0677,0.1362,3.1792
48,48,4.7940,1.3931,3.7083,204.4010,0.0541,0.0059,0.7553,1.8847,0.0000,0.0000,0.1751,0.2035,0.0000,0.0000,0.6666,0.7686,465.9927,69.4995,15.0827,73.4438,3.9064,15.0827,146.0000,73.3492,0.3182,0.0295,0.0631,96.2860,0.1060,2.9814
49,49,4.5969,1.2661,3.3572,205.5017,0.0323,0.0059,0.6776,1.5742,0.0000,0.0000,0.1725,0.1842,0.0000,0.0000,0.6546,0.6930,469.5669,71.2888,15.1812,73.5121,3.9297,15.1812,146.0000,73.3871,0.2797,0.0295,0.0548,96.4927,0.0876,2.7875
