,day,agents,type,type_of_screening_pretty,group
0,0.0,240.0,Susceptible,Screening 25%,Susceptible
1,1.0,236.9175,Susceptible,Screening 25%,Susceptible
2,2.0,235.0,Susceptible,Screening 25%,Susceptible
3,3.0,233.1256,Susceptible,Screening 25%,Susceptible
4,4.0,231.0905,Susceptible,Screening 25%,Susceptible
5,5.0,228.6583,Susceptible,Screening 25%,Susceptible
6,6.0,228.5437,Susceptible,Screening 25%,Susceptible
7,7.0,228.4291,Susceptible,Screening 25%,Susceptible
8,8.0,226.7708,Susceptible,Screening 25%,Susceptible
9,9.0,225.1176,Susceptible,Screening 25%,Susceptible
10,10.0,223.5106,Susceptible,Screening 25%,Susceptible
11,11.0,222.2563,Susceptible,Screening 25%,Susceptible
12,12.0,220.9487,Susceptible,Screening 25%,Susceptible
13,13.0,220.9186,Susceptible,Screening 25%,Susceptible
14,14.0,220.7839,Susceptible,Screening 25%,Susceptible
15,15.0,221.1548,Susceptible,Screening 25%,Susceptible
16,16.0,221.6261,Susceptible,Screening 25%,Susceptible
17,17.0,222.006,Susceptible,Screening 25%,Susceptible
18,18.0,222.6693,Susceptible,Screening 25%,Susceptible
19,19.0,223.794,Susceptible,Screening 25%,Susceptible
20,20.0,223.8703,Susceptible,Screening 25%,Susceptible
21,21.0,223.9377,Susceptible,Screening 25%,Susceptible
22,22.0,224.3457,Susceptible,Screening 25%,Susceptible
23,23.0,224.9316,Susceptible,Screening 25%,Susceptible
24,24.0,225.5578,Susceptible,Screening 25%,Susceptible
25,25.0,225.997,Susceptible,Screening 25%,Susceptible
26,26.0,226.5266,Susceptible,Screening 25%,Susceptible
27,27.0,226.5035,Susceptible,Screening 25%,Susceptible
28,28.0,226.6,Susceptible,Screening 25%,Susceptible
29,29.0,226.9548,Susceptible,Screening 25%,Susceptible
30,30.0,227.2482,Susceptible,Screening 25%,Susceptible
31,31.0,227.5427,Susceptible,Screening 25%,Susceptible
32,32.0,227.797,Susceptible,Screening 25%,Susceptible
33,33.0,228.0362,Susceptible,Screening 25%,Susceptible
34,34.0,228.0473,Susceptible,Screening 25%,Susceptible
35,35.0,228.0844,Susceptible,Screening 25%,Susceptible
36,0.0,0.0,Susceptible in quarantine,Screening 25%,Susceptible
37,1.0,1.3367,Susceptible in quarantine,Screening 25%,Susceptible
38,2.0,2.6452,Susceptible in quarantine,Screening 25%,Susceptible
39,3.0,3.7437,Susceptible in quarantine,Screening 25%,Susceptible
40,4.0,5.0825,Susceptible in quarantine,Screening 25%,Susceptible
41,5.0,6.804,Susceptible in quarantine,Screening 25%,Susceptible
42,6.0,6.9186,Susceptible in quarantine,Screening 25%,Susceptible
43,7.0,7.033200000000001,Susceptible in quarantine,Screening 25%,Susceptible
44,8.0,7.9125,Susceptible in quarantine,Screening 25%,Susceptible
45,9.0,8.9407,Susceptible in quarantine,Screening 25%,Susceptible
46,10.0,10.0562,Susceptible in quarantine,Screening 25%,Susceptible
47,11.0,10.854199999999999,Susceptible in quarantine,Screening 25%,Susceptible
48,12.0,11.7508,Susceptible in quarantine,Screening 25%,Susceptible
49,13.0,11.780999999999999,Susceptible in quarantine,Screening 25%,Susceptible
50,14.0,11.9156,Susceptible in quarantine,Screening 25%,Susceptible
51,15.0,11.181899999999999,Susceptible in quarantine,Screening 25%,Susceptible
52,16.0,10.357800000000001,Susceptible in quarantine,Screening 25%,Susceptible
53,17.0,9.7387,Susceptible in quarantine,Screening 25%,Susceptible
54,18.0,8.850299999999999,Susceptible in quarantine,Screening 25%,Susceptible
55,19.0,7.5288,Susceptible in quarantine,Screening 25%,Susceptible
56,20.0,7.4524,Susceptible in quarantine,Screening 25%,Susceptible
57,21.0,7.385,Susceptible in quarantine,Screening 25%,Susceptible
58,22.0,6.7739,Susceptible in quarantine,Screening 25%,Susceptible
59,23.0,5.9879999999999995,Susceptible in quarantine,Screening 25%,Susceptible
60,24.0,5.2081,Susceptible in quarantine,Screening 25%,Susceptible
61,25.0,4.6292,Susceptible in quarantine,Screening 25%,Susceptible
62,26.0,3.98,Susceptible in quarantine,Screening 25%,Susceptible
63,27.0,4.003,Susceptible in quarantine,Screening 25%,Susceptible
64,28.0,3.9065,Susceptible in quarantine,Screening 25%,Susceptible
65,29.0,3.4302,Susceptible in quarantine,Screening 25%,Susceptible
66,30.0,3.0342000000000002,Susceptible in quarantine,Screening 25%,Susceptible
67,31.0,2.6502,Susceptible in quarantine,Screening 25%,Susceptible
68,32.0,2.3447,Susceptible in quarantine,Screening 25%,Susceptible
69,33.0,2.0523,Susceptible in quarantine,Screening 25%,Susceptible
70,34.0,2.0412,Susceptible in quarantine,Screening 25%,Susceptible
71,35.0,2.004,Susceptible in quarantine,Screening 25%,Susceptible
72,0.0,0.0,Exposed,Screening 25%,Exposed
73,1.0,0.7457,Exposed,Screening 25%,Exposed
74,2.0,1.0995,Exposed,Screening 25%,Exposed
75,3.0,1.5457,Exposed,Screening 25%,Exposed
76,4.0,1.7186,Exposed,Screening 25%,Exposed
77,5.0,1.6854,Exposed,Screening 25%,Exposed
78,6.0,1.2502,Exposed,Screening 25%,Exposed
79,7.0,0.8764,Exposed,Screening 25%,Exposed
80,8.0,1.3236,Exposed,Screening 25%,Exposed
81,9.0,1.4221,Exposed,Screening 25%,Exposed
82,10.0,1.2995,Exposed,Screening 25%,Exposed
83,11.0,1.2342,Exposed,Screening 25%,Exposed
84,12.0,1.1035,Exposed,Screening 25%,Exposed
85,13.0,0.797,Exposed,Screening 25%,Exposed
86,14.0,0.5618,Exposed,Screening 25%,Exposed
87,15.0,0.6703,Exposed,Screening 25%,Exposed
88,16.0,0.7236,Exposed,Screening 25%,Exposed
89,17.0,0.6312,Exposed,Screening 25%,Exposed
90,18.0,0.593,Exposed,Screening 25%,Exposed
91,19.0,0.5467,Exposed,Screening 25%,Exposed
92,20.0,0.4,Exposed,Screening 25%,Exposed
93,21.0,0.2744,Exposed,Screening 25%,Exposed
94,22.0,0.3588,Exposed,Screening 25%,Exposed
95,23.0,0.408,Exposed,Screening 25%,Exposed
96,24.0,0.3749,Exposed,Screening 25%,Exposed
97,25.0,0.3598,Exposed,Screening 25%,Exposed
98,26.0,0.3045,Exposed,Screening 25%,Exposed
99,27.0,0.2211,Exposed,Screening 25%,Exposed
100,28.0,0.1538,Exposed,Screening 25%,Exposed
101,29.0,0.2231,Exposed,Screening 25%,Exposed
102,30.0,0.2432,Exposed,Screening 25%,Exposed
103,31.0,0.2181,Exposed,Screening 25%,Exposed
104,32.0,0.1658,Exposed,Screening 25%,Exposed
105,33.0,0.1608,Exposed,Screening 25%,Exposed
106,34.0,0.1085,Exposed,Screening 25%,Exposed
107,35.0,0.0764,Exposed,Screening 25%,Exposed
108,0.0,0.0,Exposed in quarantine,Screening 25%,Exposed
109,1.0,0.0,Exposed in quarantine,Screening 25%,Exposed
110,2.0,0.0271,Exposed in quarantine,Screening 25%,Exposed
111,3.0,0.0784,Exposed in quarantine,Screening 25%,Exposed
112,4.0,0.1769,Exposed in quarantine,Screening 25%,Exposed
113,5.0,0.2945,Exposed in quarantine,Screening 25%,Exposed
114,6.0,0.23520000000000002,Exposed in quarantine,Screening 25%,Exposed
115,7.0,0.1889,Exposed in quarantine,Screening 25%,Exposed
116,8.0,0.2131,Exposed in quarantine,Screening 25%,Exposed
117,9.0,0.29860000000000003,Exposed in quarantine,Screening 25%,Exposed
118,10.0,0.42410000000000003,Exposed in quarantine,Screening 25%,Exposed
119,11.0,0.5166000000000001,Exposed in quarantine,Screening 25%,Exposed
120,12.0,0.5749,Exposed in quarantine,Screening 25%,Exposed
121,13.0,0.45740000000000003,Exposed in quarantine,Screening 25%,Exposed
122,14.0,0.3438,Exposed in quarantine,Screening 25%,Exposed
123,15.0,0.3246,Exposed in quarantine,Screening 25%,Exposed
124,16.0,0.3257,Exposed in quarantine,Screening 25%,Exposed
125,17.0,0.3408,Exposed in quarantine,Screening 25%,Exposed
126,18.0,0.3408,Exposed in quarantine,Screening 25%,Exposed
127,19.0,0.3559,Exposed in quarantine,Screening 25%,Exposed
128,20.0,0.2743,Exposed in quarantine,Screening 25%,Exposed
129,21.0,0.2271,Exposed in quarantine,Screening 25%,Exposed
130,22.0,0.17590000000000003,Exposed in quarantine,Screening 25%,Exposed
131,23.0,0.1779,Exposed in quarantine,Screening 25%,Exposed
132,24.0,0.19990000000000002,Exposed in quarantine,Screening 25%,Exposed
133,25.0,0.1638,Exposed in quarantine,Screening 25%,Exposed
134,26.0,0.19,Exposed in quarantine,Screening 25%,Exposed
135,27.0,0.1267,Exposed in quarantine,Screening 25%,Exposed
136,28.0,0.08850000000000001,Exposed in quarantine,Screening 25%,Exposed
137,29.0,0.0735,Exposed in quarantine,Screening 25%,Exposed
138,30.0,0.07529999999999999,Exposed in quarantine,Screening 25%,Exposed
139,31.0,0.0996,Exposed in quarantine,Screening 25%,Exposed
140,32.0,0.12569999999999998,Exposed in quarantine,Screening 25%,Exposed
141,33.0,0.1177,Exposed in quarantine,Screening 25%,Exposed
142,34.0,0.0915,Exposed in quarantine,Screening 25%,Exposed
143,35.0,0.08049999999999999,Exposed in quarantine,Screening 25%,Exposed
144,0.0,0.0,Infected,Screening 25%,Infected
145,1.0,0.9296,Infected,Screening 25%,Infected
146,2.0,0.9065,Infected,Screening 25%,Infected
147,3.0,0.9709,Infected,Screening 25%,Infected
148,4.0,1.0523,Infected,Screening 25%,Infected
149,5.0,1.1417,Infected,Screening 25%,Infected
150,6.0,1.3347,Infected,Screening 25%,Infected
151,7.0,1.5085,Infected,Screening 25%,Infected
152,8.0,1.2774,Infected,Screening 25%,Infected
153,9.0,1.1638,Infected,Screening 25%,Infected
154,10.0,1.0523,Infected,Screening 25%,Infected
155,11.0,0.9206,Infected,Screening 25%,Infected
156,12.0,0.8281,Infected,Screening 25%,Infected
157,13.0,0.9839,Infected,Screening 25%,Infected
158,14.0,1.0754,Infected,Screening 25%,Infected
159,15.0,0.8473,Infected,Screening 25%,Infected
160,16.0,0.7417,Infected,Screening 25%,Infected
161,17.0,0.6352,Infected,Screening 25%,Infected
162,18.0,0.5176,Infected,Screening 25%,Infected
163,19.0,0.4281,Infected,Screening 25%,Infected
164,20.0,0.5015,Infected,Screening 25%,Infected
165,21.0,0.5106,Infected,Screening 25%,Infected
166,22.0,0.4312,Infected,Screening 25%,Infected
167,23.0,0.3678,Infected,Screening 25%,Infected
168,24.0,0.3246,Infected,Screening 25%,Infected
169,25.0,0.3176,Infected,Screening 25%,Infected
170,26.0,0.2683,Infected,Screening 25%,Infected
171,27.0,0.3025,Infected,Screening 25%,Infected
172,28.0,0.3196,Infected,Screening 25%,Infected
173,29.0,0.2704,Infected,Screening 25%,Infected
174,30.0,0.2422,Infected,Screening 25%,Infected
175,31.0,0.209,Infected,Screening 25%,Infected
176,32.0,0.1538,Infected,Screening 25%,Infected
177,33.0,0.1447,Infected,Screening 25%,Infected
178,34.0,0.1688,Infected,Screening 25%,Infected
179,35.0,0.1558,Infected,Screening 25%,Infected
180,0.0,0.0,Infected in quarantine,Screening 25%,Infected
181,1.0,0.0704,Infected in quarantine,Screening 25%,Infected
182,2.0,0.1457,Infected in quarantine,Screening 25%,Infected
183,3.0,0.2392,Infected in quarantine,Screening 25%,Infected
184,4.0,0.4171,Infected in quarantine,Screening 25%,Infected
185,5.0,0.7297,Infected in quarantine,Screening 25%,Infected
186,6.0,0.7176,Infected in quarantine,Screening 25%,Infected
187,7.0,0.7437,Infected in quarantine,Screening 25%,Infected
188,8.0,0.9859,Infected in quarantine,Screening 25%,Infected
189,9.0,1.2392,Infected in quarantine,Screening 25%,Infected
190,10.0,1.5327,Infected in quarantine,Screening 25%,Infected
191,11.0,1.6915,Infected in quarantine,Screening 25%,Infected
192,12.0,1.8944999999999999,Infected in quarantine,Screening 25%,Infected
193,13.0,1.8603,Infected in quarantine,Screening 25%,Infected
194,14.0,1.7648000000000001,Infected in quarantine,Screening 25%,Infected
195,15.0,1.8493,Infected in quarantine,Screening 25%,Infected
196,16.0,1.9296,Infected in quarantine,Screening 25%,Infected
197,17.0,1.9487999999999999,Infected in quarantine,Screening 25%,Infected
198,18.0,1.9236,Infected in quarantine,Screening 25%,Infected
199,19.0,1.8141,Infected in quarantine,Screening 25%,Infected
200,20.0,1.6562999999999999,Infected in quarantine,Screening 25%,Infected
201,21.0,1.5206,Infected in quarantine,Screening 25%,Infected
202,22.0,1.3880000000000001,Infected in quarantine,Screening 25%,Infected
203,23.0,1.2905,Infected in quarantine,Screening 25%,Infected
204,24.0,1.1518,Infected in quarantine,Screening 25%,Infected
205,25.0,1.0794,Infected in quarantine,Screening 25%,Infected
206,26.0,0.9769000000000001,Infected in quarantine,Screening 25%,Infected
207,27.0,0.9317,Infected in quarantine,Screening 25%,Infected
208,28.0,0.8482000000000001,Infected in quarantine,Screening 25%,Infected
209,29.0,0.7808,Infected in quarantine,Screening 25%,Infected
210,30.0,0.7026,Infected in quarantine,Screening 25%,Infected
211,31.0,0.6472,Infected in quarantine,Screening 25%,Infected
212,32.0,0.611,Infected in quarantine,Screening 25%,Infected
213,33.0,0.5528,Infected in quarantine,Screening 25%,Infected
214,34.0,0.5055000000000001,Infected in quarantine,Screening 25%,Infected
215,35.0,0.45630000000000004,Infected in quarantine,Screening 25%,Infected
216,0.0,0.0,Removed,Screening 25%,Removed
217,1.0,0.0,Removed,Screening 25%,Removed
218,2.0,0.1598,Removed,Screening 25%,Removed
219,3.0,0.2573,Removed,Screening 25%,Removed
220,4.0,0.3699,Removed,Screening 25%,Removed
221,5.0,0.4744,Removed,Screening 25%,Removed
222,6.0,0.6704,Removed,Screening 25%,Removed
223,7.0,0.804,Removed,Screening 25%,Removed
224,8.0,0.8794,Removed,Screening 25%,Removed
225,9.0,0.9196,Removed,Screening 25%,Removed
226,10.0,0.9317,Removed,Screening 25%,Removed
227,11.0,0.9558,Removed,Screening 25%,Removed
228,12.0,0.9588,Removed,Screening 25%,Removed
229,13.0,1.0593,Removed,Screening 25%,Removed
230,14.0,1.1568,Removed,Screening 25%,Removed
231,15.0,1.1467,Removed,Screening 25%,Removed
232,16.0,1.1498,Removed,Screening 25%,Removed
233,17.0,1.19,Removed,Screening 25%,Removed
234,18.0,1.406,Removed,Screening 25%,Removed
235,19.0,1.9246,Removed,Screening 25%,Removed
236,20.0,2.0221,Removed,Screening 25%,Removed
237,21.0,2.1518,Removed,Screening 25%,Removed
238,22.0,2.6231,Removed,Screening 25%,Removed
239,23.0,3.2171,Removed,Screening 25%,Removed
240,24.0,3.8935,Removed,Screening 25%,Removed
241,25.0,4.4814,Removed,Screening 25%,Removed
242,26.0,5.0613,Removed,Screening 25%,Removed
243,27.0,5.1337,Removed,Screening 25%,Removed
244,28.0,5.208,Removed,Screening 25%,Removed
245,29.0,5.7377,Removed,Screening 25%,Removed
246,30.0,6.2362,Removed,Screening 25%,Removed
247,31.0,6.7638,Removed,Screening 25%,Removed
248,32.0,7.2201,Removed,Screening 25%,Removed
249,33.0,7.5779,Removed,Screening 25%,Removed
250,34.0,7.6151,Removed,Screening 25%,Removed
251,35.0,7.6834,Removed,Screening 25%,Removed
252,0.0,0.0,Removed in quarantine,Screening 25%,Removed
253,1.0,0.0,Removed in quarantine,Screening 25%,Removed
254,2.0,0.0161,Removed in quarantine,Screening 25%,Removed
255,3.0,0.0392,Removed in quarantine,Screening 25%,Removed
256,4.0,0.0924,Removed in quarantine,Screening 25%,Removed
257,5.0,0.2122,Removed in quarantine,Screening 25%,Removed
258,6.0,0.32970000000000005,Removed in quarantine,Screening 25%,Removed
259,7.0,0.4161,Removed in quarantine,Screening 25%,Removed
260,8.0,0.6371,Removed in quarantine,Screening 25%,Removed
261,9.0,0.8986000000000001,Removed in quarantine,Screening 25%,Removed
262,10.0,1.1928999999999998,Removed in quarantine,Screening 25%,Removed
263,11.0,1.5709,Removed in quarantine,Screening 25%,Removed
264,12.0,1.9407,Removed in quarantine,Screening 25%,Removed
265,13.0,2.1427,Removed in quarantine,Screening 25%,Removed
266,14.0,2.3979999999999997,Removed in quarantine,Screening 25%,Removed
267,15.0,2.8251,Removed in quarantine,Screening 25%,Removed
268,16.0,3.1458000000000004,Removed in quarantine,Screening 25%,Removed
269,17.0,3.5096,Removed in quarantine,Screening 25%,Removed
270,18.0,3.6994,Removed in quarantine,Screening 25%,Removed
271,19.0,3.6081,Removed in quarantine,Screening 25%,Removed
272,20.0,3.8232000000000004,Removed in quarantine,Screening 25%,Removed
273,21.0,3.9930000000000003,Removed in quarantine,Screening 25%,Removed
274,22.0,3.9035,Removed in quarantine,Screening 25%,Removed
275,23.0,3.6190999999999995,Removed in quarantine,Screening 25%,Removed
276,24.0,3.2894,Removed in quarantine,Screening 25%,Removed
277,25.0,2.9718999999999998,Removed in quarantine,Screening 25%,Removed
278,26.0,2.6925,Removed in quarantine,Screening 25%,Removed
279,27.0,2.7779,Removed in quarantine,Screening 25%,Removed
280,28.0,2.8755,Removed in quarantine,Screening 25%,Removed
281,29.0,2.5296000000000003,Removed in quarantine,Screening 25%,Removed
282,30.0,2.2180999999999997,Removed in quarantine,Screening 25%,Removed
283,31.0,1.8694000000000002,Removed in quarantine,Screening 25%,Removed
284,32.0,1.5818999999999999,Removed in quarantine,Screening 25%,Removed
285,33.0,1.3578000000000001,Removed in quarantine,Screening 25%,Removed
286,34.0,1.4222,Removed in quarantine,Screening 25%,Removed
287,35.0,1.4593,Removed in quarantine,Screening 25%,Removed
