,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,1.0,Total infected,Without screening
1,2.0,1.208200000000005,Total infected,Without screening
2,3.0,1.6056000000000097,Total infected,Without screening
3,4.0,2.1521999999999935,Total infected,Without screening
4,5.0,2.834000000000003,Total infected,Without screening
5,6.0,3.667500000000018,Total infected,Without screening
6,7.0,4.26430000000002,Total infected,Without screening
7,8.0,4.723700000000008,Total infected,Without screening
8,9.0,5.4713999999999885,Total infected,Without screening
9,10.0,6.402300000000025,Total infected,Without screening
10,11.0,7.461500000000001,Total infected,Without screening
11,12.0,8.597499999999968,Total infected,Without screening
12,13.0,9.73769999999999,Total infected,Without screening
13,14.0,10.631699999999995,Total infected,Without screening
14,15.0,11.205099999999987,Total infected,Without screening
15,16.0,12.061000000000007,Total infected,Without screening
16,17.0,13.021000000000015,Total infected,Without screening
17,18.0,14.043999999999983,Total infected,Without screening
18,19.0,15.147199999999998,Total infected,Without screening
19,20.0,16.35329999999996,Total infected,Without screening
20,21.0,17.191200000000038,Total infected,Without screening
21,22.0,17.84190000000001,Total infected,Without screening
22,23.0,18.643500000000017,Total infected,Without screening
23,24.0,19.530500000000018,Total infected,Without screening
24,25.0,20.60759999999999,Total infected,Without screening
25,26.0,21.728800000000007,Total infected,Without screening
26,27.0,22.85900000000001,Total infected,Without screening
27,28.0,23.66980000000001,Total infected,Without screening
28,29.0,24.23429999999999,Total infected,Without screening
29,30.0,25.018899999999974,Total infected,Without screening
30,31.0,25.974999999999994,Total infected,Without screening
31,32.0,26.9409,Total infected,Without screening
32,33.0,27.92689999999999,Total infected,Without screening
33,34.0,29.02109999999999,Total infected,Without screening
34,35.0,29.792800000000028,Total infected,Without screening
35,1.0,1.0001000000000033,Total infected,Screening 25%
36,2.0,1.2011000000000251,Total infected,Screening 25%
37,3.0,1.5577000000000112,Total infected,Screening 25%
38,4.0,2.0552000000000135,Total infected,Screening 25%
39,5.0,2.6080000000000325,Total infected,Screening 25%
40,6.0,3.3820000000000334,Total infected,Screening 25%
41,7.0,3.964800000000025,Total infected,Screening 25%
42,8.0,4.472399999999965,Total infected,Screening 25%
43,9.0,5.0351,Total infected,Screening 25%
44,10.0,5.773800000000023,Total infected,Screening 25%
45,11.0,6.58299999999997,Total infected,Screening 25%
46,12.0,7.402000000000044,Total infected,Screening 25%
47,13.0,8.331499999999977,Total infected,Screening 25%
48,14.0,8.969899999999967,Total infected,Screening 25%
49,15.0,9.497399999999999,Total infected,Screening 25%
50,16.0,10.125699999999995,Total infected,Screening 25%
51,17.0,10.849300000000028,Total infected,Screening 25%
52,18.0,11.673200000000037,Total infected,Screening 25%
53,19.0,12.427100000000024,Total infected,Screening 25%
54,20.0,13.150599999999997,Total infected,Screening 25%
55,21.0,13.668299999999988,Total infected,Screening 25%
56,22.0,14.170799999999986,Total infected,Screening 25%
57,23.0,14.75380000000004,Total infected,Screening 25%
58,24.0,15.432199999999966,Total infected,Screening 25%
59,25.0,16.231099999999998,Total infected,Screening 25%
60,26.0,17.015100000000018,Total infected,Screening 25%
61,27.0,17.824000000000012,Total infected,Screening 25%
62,28.0,18.291500000000042,Total infected,Screening 25%
63,29.0,18.598000000000013,Total infected,Screening 25%
64,30.0,19.12560000000002,Total infected,Screening 25%
65,31.0,19.663299999999964,Total infected,Screening 25%
66,32.0,20.23610000000002,Total infected,Screening 25%
67,33.0,20.88450000000003,Total infected,Screening 25%
68,34.0,21.402000000000015,Total infected,Screening 25%
69,35.0,21.869399999999956,Total infected,Screening 25%
70,1.0,0.9998999999999967,Total infected,Screening 50%
71,2.0,1.1456999999999766,Total infected,Screening 50%
72,3.0,1.3617000000000132,Total infected,Screening 50%
73,4.0,1.8541999999999916,Total infected,Screening 50%
74,5.0,2.4572000000000003,Total infected,Screening 50%
75,6.0,3.080299999999994,Total infected,Screening 50%
76,7.0,3.5727000000000544,Total infected,Screening 50%
77,8.0,3.9144999999999754,Total infected,Screening 50%
78,9.0,4.447299999999956,Total infected,Screening 50%
79,10.0,4.984899999999982,Total infected,Screening 50%
80,11.0,5.6884000000000015,Total infected,Screening 50%
81,12.0,6.336600000000004,Total infected,Screening 50%
82,13.0,7.110499999999973,Total infected,Screening 50%
83,14.0,7.497499999999974,Total infected,Screening 50%
84,15.0,7.869199999999978,Total infected,Screening 50%
85,16.0,8.271299999999997,Total infected,Screening 50%
86,17.0,8.794099999999986,Total infected,Screening 50%
87,18.0,9.316599999999994,Total infected,Screening 50%
88,19.0,9.808999999999997,Total infected,Screening 50%
89,20.0,10.251199999999983,Total infected,Screening 50%
90,21.0,10.598000000000013,Total infected,Screening 50%
91,22.0,10.874300000000005,Total infected,Screening 50%
92,23.0,11.235999999999962,Total infected,Screening 50%
93,24.0,11.62299999999999,Total infected,Screening 50%
94,25.0,11.984999999999985,Total infected,Screening 50%
95,26.0,12.32159999999999,Total infected,Screening 50%
96,27.0,12.698499999999967,Total infected,Screening 50%
97,28.0,12.909399999999977,Total infected,Screening 50%
98,29.0,13.080300000000022,Total infected,Screening 50%
99,30.0,13.321699999999993,Total infected,Screening 50%
100,31.0,13.5428,Total infected,Screening 50%
101,32.0,13.819100000000049,Total infected,Screening 50%
102,33.0,14.035200000000032,Total infected,Screening 50%
103,34.0,14.29129999999995,Total infected,Screening 50%
104,35.0,14.437100000000015,Total infected,Screening 50%
105,1.0,0.9999000000000251,Total infected,Screening 100%
106,2.0,1.261199999999974,Total infected,Screening 100%
107,3.0,1.6178999999999917,Total infected,Screening 100%
108,4.0,2.110500000000002,Total infected,Screening 100%
109,5.0,2.6381999999999834,Total infected,Screening 100%
110,6.0,3.256200000000007,Total infected,Screening 100%
111,7.0,3.6732999999999834,Total infected,Screening 100%
112,8.0,3.949700000000007,Total infected,Screening 100%
113,9.0,4.432299999999998,Total infected,Screening 100%
114,10.0,4.879300000000029,Total infected,Screening 100%
115,11.0,5.256299999999982,Total infected,Screening 100%
116,12.0,5.608100000000007,Total infected,Screening 100%
117,13.0,6.040199999999999,Total infected,Screening 100%
118,14.0,6.326600000000013,Total infected,Screening 100%
119,15.0,6.532600000000002,Total infected,Screening 100%
120,16.0,6.773899999999998,Total infected,Screening 100%
121,17.0,7.0201000000000136,Total infected,Screening 100%
122,18.0,7.251200000000011,Total infected,Screening 100%
123,19.0,7.447099999999978,Total infected,Screening 100%
124,20.0,7.628100000000018,Total infected,Screening 100%
125,21.0,7.753599999999977,Total infected,Screening 100%
126,22.0,7.849199999999996,Total infected,Screening 100%
127,23.0,8.03019999999998,Total infected,Screening 100%
128,24.0,8.1558,Total infected,Screening 100%
129,25.0,8.26630000000003,Total infected,Screening 100%
130,26.0,8.392100000000028,Total infected,Screening 100%
131,27.0,8.452200000000005,Total infected,Screening 100%
132,28.0,8.507599999999996,Total infected,Screening 100%
133,29.0,8.567800000000005,Total infected,Screening 100%
134,30.0,8.633099999999985,Total infected,Screening 100%
135,31.0,8.693299999999994,Total infected,Screening 100%
136,32.0,8.73860000000002,Total infected,Screening 100%
137,33.0,8.789000000000016,Total infected,Screening 100%
138,34.0,8.829200000000014,Total infected,Screening 100%
139,35.0,8.869399999999985,Total infected,Screening 100%
