,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,1.0,Total infected,Without screening
1,2.0,1.2241999999999962,Total infected,Without screening
2,3.0,1.6275999999999726,Total infected,Without screening
3,4.0,2.156099999999981,Total infected,Without screening
4,5.0,2.9589999999999748,Total infected,Without screening
5,6.0,3.8579000000000008,Total infected,Without screening
6,7.0,4.532499999999999,Total infected,Without screening
7,8.0,5.015000000000015,Total infected,Without screening
8,9.0,5.890899999999988,Total infected,Without screening
9,10.0,7.0441000000000145,Total infected,Without screening
10,11.0,8.290300000000002,Total infected,Without screening
11,12.0,9.79079999999999,Total infected,Without screening
12,13.0,11.472499999999997,Total infected,Without screening
13,14.0,12.6036,Total infected,Without screening
14,15.0,13.409400000000005,Total infected,Without screening
15,16.0,14.698699999999974,Total infected,Without screening
16,17.0,16.238200000000006,Total infected,Without screening
17,18.0,17.963900000000024,Total infected,Without screening
18,19.0,19.847800000000007,Total infected,Without screening
19,20.0,22.02800000000002,Total infected,Without screening
20,21.0,23.529500000000013,Total infected,Without screening
21,22.0,24.587500000000006,Total infected,Without screening
22,23.0,26.206199999999995,Total infected,Without screening
23,24.0,28.15010000000001,Total infected,Without screening
24,25.0,30.373400000000004,Total infected,Without screening
25,26.0,32.8989,Total infected,Without screening
26,27.0,35.49449999999999,Total infected,Without screening
27,28.0,37.41739999999999,Total infected,Without screening
28,29.0,38.81880000000001,Total infected,Without screening
29,30.0,40.921899999999994,Total infected,Without screening
30,31.0,43.401399999999995,Total infected,Without screening
31,32.0,46.105199999999996,Total infected,Without screening
32,33.0,49.048100000000005,Total infected,Without screening
33,34.0,52.36340000000001,Total infected,Without screening
34,35.0,54.63669999999999,Total infected,Without screening
35,1.0,1.0,Total infected,Screening 25%
36,2.0,1.241199999999992,Total infected,Screening 25%
37,3.0,1.5685999999999751,Total infected,Screening 25%
38,4.0,1.9629999999999939,Total infected,Screening 25%
39,5.0,2.509399999999971,Total infected,Screening 25%
40,6.0,3.126100000000008,Total infected,Screening 25%
41,7.0,3.616599999999977,Total infected,Screening 25%
42,8.0,3.9420000000000073,Total infected,Screening 25%
43,9.0,4.52049999999997,Total infected,Screening 25%
44,10.0,5.034999999999997,Total infected,Screening 25%
45,11.0,5.548599999999993,Total infected,Screening 25%
46,12.0,6.0981000000000165,Total infected,Screening 25%
47,13.0,6.626599999999996,Total infected,Screening 25%
48,14.0,7.052099999999996,Total infected,Screening 25%
49,15.0,7.355400000000003,Total infected,Screening 25%
50,16.0,7.756699999999995,Total infected,Screening 25%
51,17.0,8.165199999999999,Total infected,Screening 25%
52,18.0,8.560599999999994,Total infected,Screening 25%
53,19.0,8.972999999999985,Total infected,Screening 25%
54,20.0,9.37639999999999,Total infected,Screening 25%
55,21.0,9.659700000000015,Total infected,Screening 25%
56,22.0,9.884900000000016,Total infected,Screening 25%
57,23.0,10.1841,Total infected,Screening 25%
58,24.0,10.484499999999997,Total infected,Screening 25%
59,25.0,10.776899999999983,Total infected,Screening 25%
60,26.0,11.094099999999969,Total infected,Screening 25%
61,27.0,11.397400000000005,Total infected,Screening 25%
62,28.0,11.615599999999972,Total infected,Screening 25%
63,29.0,11.7928,Total infected,Screening 25%
64,30.0,12.024999999999977,Total infected,Screening 25%
65,31.0,12.241199999999964,Total infected,Screening 25%
66,32.0,12.445400000000006,Total infected,Screening 25%
67,33.0,12.681700000000035,Total infected,Screening 25%
68,34.0,12.917900000000031,Total infected,Screening 25%
69,35.0,13.06510000000003,Total infected,Screening 25%
70,1.0,1.0,Total infected,Screening 50%
71,2.0,1.211199999999991,Total infected,Screening 50%
72,3.0,1.4724999999999966,Total infected,Screening 50%
73,4.0,1.7457999999999743,Total infected,Screening 50%
74,5.0,2.088099999999997,Total infected,Screening 50%
75,6.0,2.5304999999999893,Total infected,Screening 50%
76,7.0,2.829900000000009,Total infected,Screening 50%
77,8.0,3.0560999999999865,Total infected,Screening 50%
78,9.0,3.4114000000000146,Total infected,Screening 50%
79,10.0,3.7238000000000113,Total infected,Screening 50%
80,11.0,4.005099999999999,Total infected,Screening 50%
81,12.0,4.240299999999991,Total infected,Screening 50%
82,13.0,4.469500000000011,Total infected,Screening 50%
83,14.0,4.663700000000006,Total infected,Screening 50%
84,15.0,4.788899999999984,Total infected,Screening 50%
85,16.0,4.969899999999967,Total infected,Screening 50%
86,17.0,5.126100000000008,Total infected,Screening 50%
87,18.0,5.237200000000001,Total infected,Screening 50%
88,19.0,5.34529999999998,Total infected,Screening 50%
89,20.0,5.468400000000003,Total infected,Screening 50%
90,21.0,5.551399999999973,Total infected,Screening 50%
91,22.0,5.61960000000002,Total infected,Screening 50%
92,23.0,5.695700000000016,Total infected,Screening 50%
93,24.0,5.773799999999994,Total infected,Screening 50%
94,25.0,5.840900000000005,Total infected,Screening 50%
95,26.0,5.9039000000000215,Total infected,Screening 50%
96,27.0,5.964000000000027,Total infected,Screening 50%
97,28.0,5.996000000000009,Total infected,Screening 50%
98,29.0,6.031000000000006,Total infected,Screening 50%
99,30.0,6.082999999999998,Total infected,Screening 50%
100,31.0,6.12609999999998,Total infected,Screening 50%
101,32.0,6.157199999999989,Total infected,Screening 50%
102,33.0,6.187199999999962,Total infected,Screening 50%
103,34.0,6.2272000000000105,Total infected,Screening 50%
104,35.0,6.251199999999983,Total infected,Screening 50%
105,1.0,1.0,Total infected,Screening 100%
106,2.0,1.2132000000000005,Total infected,Screening 100%
107,3.0,1.3914000000000044,Total infected,Screening 100%
108,4.0,1.508499999999998,Total infected,Screening 100%
109,5.0,1.604600000000005,Total infected,Screening 100%
110,6.0,1.6976999999999975,Total infected,Screening 100%
111,7.0,1.7537000000000376,Total infected,Screening 100%
112,8.0,1.7848000000000184,Total infected,Screening 100%
113,9.0,1.8448999999999671,Total infected,Screening 100%
114,10.0,1.8868999999999971,Total infected,Screening 100%
115,11.0,1.9098999999999933,Total infected,Screening 100%
116,12.0,1.9410000000000025,Total infected,Screening 100%
117,13.0,1.9630000000000223,Total infected,Screening 100%
118,14.0,1.9770000000000039,Total infected,Screening 100%
119,15.0,1.990000000000009,Total infected,Screening 100%
120,16.0,2.0010000000000048,Total infected,Screening 100%
121,17.0,2.0109999999999957,Total infected,Screening 100%
122,18.0,2.0180000000000007,Total infected,Screening 100%
123,19.0,2.0250000000000057,Total infected,Screening 100%
124,20.0,2.0360000000000014,Total infected,Screening 100%
