,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,1.0,Total infected,Without screening
1,2.0,1.2241999999999962,Total infected,Without screening
2,3.0,1.6275999999999726,Total infected,Without screening
3,4.0,2.156099999999981,Total infected,Without screening
4,5.0,2.9589999999999748,Total infected,Without screening
5,6.0,3.8579000000000008,Total infected,Without screening
6,7.0,4.532499999999999,Total infected,Without screening
7,8.0,5.015000000000015,Total infected,Without screening
8,9.0,5.890899999999988,Total infected,Without screening
9,10.0,7.0441000000000145,Total infected,Without screening
10,11.0,8.290300000000002,Total infected,Without screening
11,12.0,9.79079999999999,Total infected,Without screening
12,13.0,11.472499999999997,Total infected,Without screening
13,14.0,12.6036,Total infected,Without screening
14,15.0,13.409400000000005,Total infected,Without screening
15,16.0,14.698699999999974,Total infected,Without screening
16,17.0,16.238200000000006,Total infected,Without screening
17,18.0,17.963900000000024,Total infected,Without screening
18,19.0,19.847800000000007,Total infected,Without screening
19,20.0,22.02800000000002,Total infected,Without screening
20,21.0,23.529500000000013,Total infected,Without screening
21,22.0,24.587500000000006,Total infected,Without screening
22,23.0,26.206199999999995,Total infected,Without screening
23,24.0,28.15010000000001,Total infected,Without screening
24,25.0,30.373400000000004,Total infected,Without screening
25,26.0,32.8989,Total infected,Without screening
26,27.0,35.49449999999999,Total infected,Without screening
27,28.0,37.41739999999999,Total infected,Without screening
28,29.0,38.81880000000001,Total infected,Without screening
29,30.0,40.921899999999994,Total infected,Without screening
30,31.0,43.401399999999995,Total infected,Without screening
31,32.0,46.105199999999996,Total infected,Without screening
32,33.0,49.048100000000005,Total infected,Without screening
33,34.0,52.36340000000001,Total infected,Without screening
34,35.0,54.63669999999999,Total infected,Without screening
35,1.0,1.0,Total infected,Screening 25%
36,2.0,1.243300000000005,Total infected,Screening 25%
37,3.0,1.646600000000035,Total infected,Screening 25%
38,4.0,2.175200000000018,Total infected,Screening 25%
39,5.0,2.924900000000008,Total infected,Screening 25%
40,6.0,3.7456999999999994,Total infected,Screening 25%
41,7.0,4.3533999999999935,Total infected,Screening 25%
42,8.0,4.7818000000000325,Total infected,Screening 25%
43,9.0,5.505500000000012,Total infected,Screening 25%
44,10.0,6.531599999999997,Total infected,Screening 25%
45,11.0,7.586600000000004,Total infected,Screening 25%
46,12.0,8.685699999999997,Total infected,Screening 25%
47,13.0,9.937900000000013,Total infected,Screening 25%
48,14.0,10.841800000000006,Total infected,Screening 25%
49,15.0,11.44149999999999,Total infected,Screening 25%
50,16.0,12.433500000000038,Total infected,Screening 25%
51,17.0,13.57159999999999,Total infected,Screening 25%
52,18.0,14.709799999999973,Total infected,Screening 25%
53,19.0,15.968999999999994,Total infected,Screening 25%
54,20.0,17.325400000000002,Total infected,Screening 25%
55,21.0,18.2603,Total infected,Screening 25%
56,22.0,18.951899999999995,Total infected,Screening 25%
57,23.0,19.958,Total infected,Screening 25%
58,24.0,21.172199999999975,Total infected,Screening 25%
59,25.0,22.469499999999982,Total infected,Screening 25%
60,26.0,23.82390000000001,Total infected,Screening 25%
61,27.0,25.194199999999995,Total infected,Screening 25%
62,28.0,26.2312,Total infected,Screening 25%
63,29.0,26.964,Total infected,Screening 25%
64,30.0,28.042100000000005,Total infected,Screening 25%
65,31.0,29.329300000000018,Total infected,Screening 25%
66,32.0,30.591700000000003,Total infected,Screening 25%
67,33.0,31.94290000000001,Total infected,Screening 25%
68,34.0,33.33620000000002,Total infected,Screening 25%
69,35.0,34.386300000000034,Total infected,Screening 25%
70,1.0,1.0,Total infected,Screening 50%
71,2.0,1.2012,Total infected,Screening 50%
72,3.0,1.6066000000000145,Total infected,Screening 50%
73,4.0,2.170199999999994,Total infected,Screening 50%
74,5.0,2.832899999999995,Total infected,Screening 50%
75,6.0,3.5586000000000126,Total infected,Screening 50%
76,7.0,4.139200000000017,Total infected,Screening 50%
77,8.0,4.527599999999978,Total infected,Screening 50%
78,9.0,5.2172999999999945,Total infected,Screening 50%
79,10.0,6.0771000000000015,Total infected,Screening 50%
80,11.0,6.97890000000001,Total infected,Screening 50%
81,12.0,7.871900000000011,Total infected,Screening 50%
82,13.0,8.799800000000005,Total infected,Screening 50%
83,14.0,9.45150000000001,Total infected,Screening 50%
84,15.0,9.935900000000004,Total infected,Screening 50%
85,16.0,10.640600000000035,Total infected,Screening 50%
86,17.0,11.447499999999991,Total infected,Screening 50%
87,18.0,12.304399999999987,Total infected,Screening 50%
88,19.0,13.121200000000016,Total infected,Screening 50%
89,20.0,14.009100000000018,Total infected,Screening 50%
90,21.0,14.67070000000001,Total infected,Screening 50%
91,22.0,15.105099999999993,Total infected,Screening 50%
92,23.0,15.77370000000002,Total infected,Screening 50%
93,24.0,16.525599999999997,Total infected,Screening 50%
94,25.0,17.340400000000017,Total infected,Screening 50%
95,26.0,18.180200000000013,Total infected,Screening 50%
96,27.0,18.953899999999976,Total infected,Screening 50%
97,28.0,19.546599999999984,Total infected,Screening 50%
98,29.0,19.960099999999983,Total infected,Screening 50%
99,30.0,20.526500000000027,Total infected,Screening 50%
100,31.0,21.21519999999998,Total infected,Screening 50%
101,32.0,21.885899999999992,Total infected,Screening 50%
102,33.0,22.55850000000001,Total infected,Screening 50%
103,34.0,23.281299999999987,Total infected,Screening 50%
104,35.0,23.783799999999985,Total infected,Screening 50%
105,1.0,1.0,Total infected,Screening 100%
106,2.0,1.2241999999999962,Total infected,Screening 100%
107,3.0,1.676700000000011,Total infected,Screening 100%
108,4.0,2.1821999999999946,Total infected,Screening 100%
109,5.0,2.8006999999999778,Total infected,Screening 100%
110,6.0,3.4563999999999737,Total infected,Screening 100%
111,7.0,3.939899999999966,Total infected,Screening 100%
112,8.0,4.304200000000009,Total infected,Screening 100%
113,9.0,4.872899999999987,Total infected,Screening 100%
114,10.0,5.5496000000000265,Total infected,Screening 100%
115,11.0,6.235299999999995,Total infected,Screening 100%
116,12.0,6.867800000000017,Total infected,Screening 100%
117,13.0,7.457400000000007,Total infected,Screening 100%
118,14.0,7.8788000000000125,Total infected,Screening 100%
119,15.0,8.22520000000003,Total infected,Screening 100%
120,16.0,8.644699999999972,Total infected,Screening 100%
121,17.0,9.133200000000016,Total infected,Screening 100%
122,18.0,9.586500000000001,Total infected,Screening 100%
123,19.0,10.032999999999987,Total infected,Screening 100%
124,20.0,10.462400000000002,Total infected,Screening 100%
125,21.0,10.7637,Total infected,Screening 100%
