,day,agents,type,type_of_screening_pretty,group
0,0.0,240.0,Susceptible,Screening 25%,Susceptible
1,1.0,237.8742,Susceptible,Screening 25%,Susceptible
2,2.0,236.6577,Susceptible,Screening 25%,Susceptible
3,3.0,235.1652,Susceptible,Screening 25%,Susceptible
4,4.0,233.9022,Susceptible,Screening 25%,Susceptible
5,5.0,232.5125,Susceptible,Screening 25%,Susceptible
6,6.0,232.5125,Susceptible,Screening 25%,Susceptible
7,7.0,232.5125,Susceptible,Screening 25%,Susceptible
8,8.0,230.3307,Susceptible,Screening 25%,Susceptible
9,9.0,228.2032,Susceptible,Screening 25%,Susceptible
10,10.0,226.0203,Susceptible,Screening 25%,Susceptible
11,11.0,224.5983,Susceptible,Screening 25%,Susceptible
12,12.0,222.979,Susceptible,Screening 25%,Susceptible
13,13.0,222.979,Susceptible,Screening 25%,Susceptible
14,14.0,222.979,Susceptible,Screening 25%,Susceptible
15,15.0,221.0123,Susceptible,Screening 25%,Susceptible
16,16.0,219.3477,Susceptible,Screening 25%,Susceptible
17,17.0,217.8438,Susceptible,Screening 25%,Susceptible
18,18.0,216.3947,Susceptible,Screening 25%,Susceptible
19,19.0,214.7975,Susceptible,Screening 25%,Susceptible
20,20.0,214.7975,Susceptible,Screening 25%,Susceptible
21,21.0,214.7975,Susceptible,Screening 25%,Susceptible
22,22.0,213.1999,Susceptible,Screening 25%,Susceptible
23,23.0,211.7434,Susceptible,Screening 25%,Susceptible
24,24.0,210.2553,Susceptible,Screening 25%,Susceptible
25,25.0,208.711,Susceptible,Screening 25%,Susceptible
26,26.0,207.1715,Susceptible,Screening 25%,Susceptible
27,27.0,207.1715,Susceptible,Screening 25%,Susceptible
28,28.0,207.1715,Susceptible,Screening 25%,Susceptible
29,29.0,205.3517,Susceptible,Screening 25%,Susceptible
30,30.0,203.7825,Susceptible,Screening 25%,Susceptible
31,31.0,202.31,Susceptible,Screening 25%,Susceptible
32,32.0,200.8341,Susceptible,Screening 25%,Susceptible
33,33.0,199.2619,Susceptible,Screening 25%,Susceptible
34,34.0,199.2619,Susceptible,Screening 25%,Susceptible
35,35.0,199.2619,Susceptible,Screening 25%,Susceptible
36,0.0,0.0,Susceptible in quarantine,Screening 25%,Susceptible
37,1.0,0.3487,Susceptible in quarantine,Screening 25%,Susceptible
38,2.0,0.7177,Susceptible in quarantine,Screening 25%,Susceptible
39,3.0,1.2546,Susceptible in quarantine,Screening 25%,Susceptible
40,4.0,1.387,Susceptible in quarantine,Screening 25%,Susceptible
41,5.0,1.5342,Susceptible in quarantine,Screening 25%,Susceptible
