,day,agents,type,type_of_screening_pretty
0,1.0,0.9816,Infected,Screening 25%
1,2.0,1.0514,Infected,Screening 25%
2,3.0,1.2386,Infected,Screening 25%
3,4.0,1.5729,Infected,Screening 25%
4,5.0,2.0701,Infected,Screening 25%
5,6.0,2.6093,Infected,Screening 25%
6,7.0,2.8515,Infected,Screening 25%
7,8.0,2.6457,Infected,Screening 25%
8,9.0,2.7171,Infected,Screening 25%
9,10.0,2.8688,Infected,Screening 25%
10,11.0,3.3367,Infected,Screening 25%
11,12.0,3.8148,Infected,Screening 25%
12,13.0,4.4638,Infected,Screening 25%
13,14.0,4.7117,Infected,Screening 25%
14,15.0,4.1782,Infected,Screening 25%
15,16.0,4.0367,Infected,Screening 25%
16,17.0,3.8675,Infected,Screening 25%
17,18.0,4.2763,Infected,Screening 25%
18,19.0,4.7187,Infected,Screening 25%
19,20.0,5.312,Infected,Screening 25%
20,21.0,5.4858,Infected,Screening 25%
21,22.0,4.9163,Infected,Screening 25%
22,23.0,4.629,Infected,Screening 25%
23,24.0,4.4044,Infected,Screening 25%
24,25.0,4.7975,Infected,Screening 25%
25,26.0,5.2085,Infected,Screening 25%
26,27.0,5.7551,Infected,Screening 25%
27,28.0,5.8826,Infected,Screening 25%
28,29.0,5.2356,Infected,Screening 25%
29,30.0,4.996,Infected,Screening 25%
30,31.0,4.7174,Infected,Screening 25%
31,32.0,5.0437,Infected,Screening 25%
32,33.0,5.4715,Infected,Screening 25%
33,34.0,6.047,Infected,Screening 25%
34,35.0,6.1892,Infected,Screening 25%
35,1.0,0.0184,Infected in quarantine,Screening 25%
36,2.0,0.044,Infected in quarantine,Screening 25%
37,3.0,0.0991,Infected in quarantine,Screening 25%
38,4.0,0.1178,Infected in quarantine,Screening 25%
39,5.0,0.1435,Infected in quarantine,Screening 25%
40,6.0,0.1388,Infected in quarantine,Screening 25%
41,7.0,0.1341,Infected in quarantine,Screening 25%
42,8.0,0.364,Infected in quarantine,Screening 25%
43,9.0,0.6293,Infected in quarantine,Screening 25%
44,10.0,1.019,Infected in quarantine,Screening 25%
45,11.0,1.05,Infected in quarantine,Screening 25%
46,12.0,1.0897,Infected in quarantine,Screening 25%
47,13.0,1.0067,Infected in quarantine,Screening 25%
48,14.0,0.9123,Infected in quarantine,Screening 25%
49,15.0,1.3023,Infected in quarantine,Screening 25%
50,16.0,1.6814,Infected in quarantine,Screening 25%
51,17.0,2.1538,Infected in quarantine,Screening 25%
52,18.0,2.0691,Infected in quarantine,Screening 25%
53,19.0,1.983,Infected in quarantine,Screening 25%
54,20.0,1.7825,Infected in quarantine,Screening 25%
55,21.0,1.6089,Infected in quarantine,Screening 25%
56,22.0,1.9102,Infected in quarantine,Screening 25%
57,23.0,2.1562,Infected in quarantine,Screening 25%
58,24.0,2.4845,Infected in quarantine,Screening 25%
59,25.0,2.346,Infected in quarantine,Screening 25%
60,26.0,2.2666,Infected in quarantine,Screening 25%
61,27.0,2.0838,Infected in quarantine,Screening 25%
62,28.0,1.8719,Infected in quarantine,Screening 25%
63,29.0,2.1128,Infected in quarantine,Screening 25%
64,30.0,2.2953,Infected in quarantine,Screening 25%
65,31.0,2.6506,Infected in quarantine,Screening 25%
66,32.0,2.5115,Infected in quarantine,Screening 25%
67,33.0,2.3604,Infected in quarantine,Screening 25%
68,34.0,2.1248,Infected in quarantine,Screening 25%
69,35.0,1.9236,Infected in quarantine,Screening 25%
70,1.0,0.9766,Infected,Screening 50%
71,2.0,1.0084,Infected,Screening 50%
72,3.0,1.1638,Infected,Screening 50%
73,4.0,1.4434,Infected,Screening 50%
74,5.0,1.7327,Infected,Screening 50%
75,6.0,2.1965,Infected,Screening 50%
76,7.0,2.4691,Infected,Screening 50%
77,8.0,2.2092,Infected,Screening 50%
78,9.0,2.2005,Infected,Screening 50%
79,10.0,1.9963,Infected,Screening 50%
80,11.0,2.1862,Infected,Screening 50%
81,12.0,2.3227,Infected,Screening 50%
82,13.0,2.7708,Infected,Screening 50%
83,14.0,2.9673,Infected,Screening 50%
84,15.0,2.5629,Infected,Screening 50%
85,16.0,2.4638,Infected,Screening 50%
86,17.0,2.1745,Infected,Screening 50%
87,18.0,2.3483,Infected,Screening 50%
88,19.0,2.4575,Infected,Screening 50%
89,20.0,2.8672,Infected,Screening 50%
90,21.0,3.0297,Infected,Screening 50%
91,22.0,2.6169,Infected,Screening 50%
92,23.0,2.4284,Infected,Screening 50%
93,24.0,2.0537,Infected,Screening 50%
94,25.0,2.1198,Infected,Screening 50%
95,26.0,2.2362,Infected,Screening 50%
96,27.0,2.5753,Infected,Screening 50%
97,28.0,2.7137,Infected,Screening 50%
98,29.0,2.3317,Infected,Screening 50%
99,30.0,2.1802,Infected,Screening 50%
100,31.0,1.9022,Infected,Screening 50%
101,32.0,1.9746,Infected,Screening 50%
102,33.0,2.0834,Infected,Screening 50%
103,34.0,2.3951,Infected,Screening 50%
104,35.0,2.4685,Infected,Screening 50%
105,1.0,0.0234,Infected in quarantine,Screening 50%
106,2.0,0.0524,Infected in quarantine,Screening 50%
107,3.0,0.1625,Infected in quarantine,Screening 50%
108,4.0,0.2399,Infected in quarantine,Screening 50%
109,5.0,0.3701,Infected in quarantine,Screening 50%
110,6.0,0.361,Infected in quarantine,Screening 50%
111,7.0,0.3363,Infected in quarantine,Screening 50%
112,8.0,0.6236,Infected in quarantine,Screening 50%
113,9.0,0.9339,Infected in quarantine,Screening 50%
114,10.0,1.5395,Infected in quarantine,Screening 50%
115,11.0,1.7354,Infected in quarantine,Screening 50%
116,12.0,1.8852,Infected in quarantine,Screening 50%
117,13.0,1.7207,Infected in quarantine,Screening 50%
118,14.0,1.5672,Infected in quarantine,Screening 50%
119,15.0,1.8262,Infected in quarantine,Screening 50%
120,16.0,2.0407,Infected in quarantine,Screening 50%
121,17.0,2.4655,Infected in quarantine,Screening 50%
122,18.0,2.4755,Infected in quarantine,Screening 50%
123,19.0,2.4811,Infected in quarantine,Screening 50%
124,20.0,2.2856,Infected in quarantine,Screening 50%
125,21.0,2.0935,Infected in quarantine,Screening 50%
126,22.0,2.1895,Infected in quarantine,Screening 50%
127,23.0,2.2666,Infected in quarantine,Screening 50%
128,24.0,2.5549,Infected in quarantine,Screening 50%
129,25.0,2.5642,Infected in quarantine,Screening 50%
130,26.0,2.5449,Infected in quarantine,Screening 50%
131,27.0,2.319,Infected in quarantine,Screening 50%
132,28.0,2.0891,Infected in quarantine,Screening 50%
133,29.0,2.1615,Infected in quarantine,Screening 50%
134,30.0,2.2105,Infected in quarantine,Screening 50%
135,31.0,2.4264,Infected in quarantine,Screening 50%
136,32.0,2.4094,Infected in quarantine,Screening 50%
137,33.0,2.31,Infected in quarantine,Screening 50%
138,34.0,2.1031,Infected in quarantine,Screening 50%
139,35.0,1.8999,Infected in quarantine,Screening 50%
140,1.0,0.9473,Infected,Screening 100%
141,2.0,0.951,Infected,Screening 100%
142,3.0,1.0197,Infected,Screening 100%
143,4.0,1.1892,Infected,Screening 100%
144,5.0,1.3537,Infected,Screening 100%
145,6.0,1.7554,Infected,Screening 100%
146,7.0,1.972,Infected,Screening 100%
147,8.0,1.673,Infected,Screening 100%
148,9.0,1.5175,Infected,Screening 100%
149,10.0,1.0744,Infected,Screening 100%
150,11.0,1.0961,Infected,Screening 100%
151,12.0,1.1201,Infected,Screening 100%
152,13.0,1.349,Infected,Screening 100%
153,14.0,1.4608,Infected,Screening 100%
154,15.0,1.1865,Infected,Screening 100%
155,16.0,1.0164,Infected,Screening 100%
156,17.0,0.7751,Infected,Screening 100%
157,18.0,0.7881,Infected,Screening 100%
158,19.0,0.7795,Infected,Screening 100%
159,20.0,0.964,Infected,Screening 100%
160,21.0,1.0514,Infected,Screening 100%
161,22.0,0.8435,Infected,Screening 100%
162,23.0,0.719,Infected,Screening 100%
163,24.0,0.5168,Infected,Screening 100%
164,25.0,0.5382,Infected,Screening 100%
165,26.0,0.5632,Infected,Screening 100%
166,27.0,0.6967,Infected,Screening 100%
167,28.0,0.7404,Infected,Screening 100%
