,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,1.0,Total infected,Without screening
1,2.0,1.2522000000000162,Total infected,Without screening
2,3.0,1.6676999999999964,Total infected,Without screening
3,4.0,2.3403999999999883,Total infected,Without screening
4,5.0,3.1311000000000035,Total infected,Without screening
5,6.0,4.0911000000000115,Total infected,Without screening
6,7.0,4.770700000000005,Total infected,Without screening
7,8.0,5.272300000000001,Total infected,Without screening
8,9.0,6.185200000000009,Total infected,Without screening
9,10.0,7.261200000000002,Total infected,Without screening
10,11.0,8.543599999999998,Total infected,Without screening
11,12.0,9.997000000000014,Total infected,Without screening
12,13.0,11.5856,Total infected,Without screening
13,14.0,12.7637,Total infected,Without screening
14,15.0,13.595499999999987,Total infected,Without screening
15,16.0,14.820799999999991,Total infected,Without screening
16,17.0,16.289299999999997,Total infected,Without screening
17,18.0,17.913899999999984,Total infected,Without screening
18,19.0,19.657700000000006,Total infected,Without screening
19,20.0,21.703699999999998,Total infected,Without screening
20,21.0,23.143200000000007,Total infected,Without screening
21,22.0,24.1772,Total infected,Without screening
22,23.0,25.6456,Total infected,Without screening
23,24.0,27.45750000000001,Total infected,Without screening
24,25.0,29.4675,Total infected,Without screening
25,26.0,31.726799999999997,Total infected,Without screening
26,27.0,34.0471,Total infected,Without screening
27,28.0,35.805800000000005,Total infected,Without screening
28,29.0,36.994,Total infected,Without screening
29,30.0,38.86790000000002,Total infected,Without screening
30,31.0,41.06400000000002,Total infected,Without screening
31,32.0,43.574600000000004,Total infected,Without screening
32,33.0,46.202200000000005,Total infected,Without screening
33,34.0,48.96289999999999,Total infected,Without screening
34,35.0,50.992999999999995,Total infected,Without screening
35,1.0,1.0,Total infected,Screening 25%
36,2.0,1.2231999999999914,Total infected,Screening 25%
37,3.0,1.6435999999999922,Total infected,Screening 25%
38,4.0,2.2012,Total infected,Screening 25%
39,5.0,2.89700000000002,Total infected,Screening 25%
40,6.0,3.7157000000000266,Total infected,Screening 25%
41,7.0,4.297300000000035,Total infected,Screening 25%
42,8.0,4.694700000000012,Total infected,Screening 25%
43,9.0,5.413499999999999,Total infected,Screening 25%
44,10.0,6.328400000000016,Total infected,Screening 25%
45,11.0,7.394400000000019,Total infected,Screening 25%
46,12.0,8.490499999999969,Total infected,Screening 25%
47,13.0,9.670699999999982,Total infected,Screening 25%
48,14.0,10.54249999999999,Total infected,Screening 25%
49,15.0,11.140199999999993,Total infected,Screening 25%
50,16.0,11.95999999999998,Total infected,Screening 25%
51,17.0,12.988999999999976,Total infected,Screening 25%
52,18.0,14.074100000000016,Total infected,Screening 25%
53,19.0,15.203300000000013,Total infected,Screening 25%
54,20.0,16.422399999999982,Total infected,Screening 25%
55,21.0,17.294399999999996,Total infected,Screening 25%
56,22.0,17.929900000000032,Total infected,Screening 25%
57,23.0,18.814900000000023,Total infected,Screening 25%
58,24.0,19.823799999999977,Total infected,Screening 25%
59,25.0,21.010999999999967,Total infected,Screening 25%
60,26.0,22.172199999999975,Total infected,Screening 25%
61,27.0,23.39439999999999,Total infected,Screening 25%
62,28.0,24.20919999999998,Total infected,Screening 25%
63,29.0,24.852799999999974,Total infected,Screening 25%
64,30.0,25.69670000000002,Total infected,Screening 25%
65,31.0,26.719700000000017,Total infected,Screening 25%
66,32.0,27.827900000000028,Total infected,Screening 25%
67,33.0,28.918900000000008,Total infected,Screening 25%
68,34.0,30.0171,Total infected,Screening 25%
69,35.0,30.785800000000023,Total infected,Screening 25%
70,1.0,1.0,Total infected,Screening 50%
71,2.0,1.2171999999999912,Total infected,Screening 50%
72,3.0,1.6015999999999906,Total infected,Screening 50%
73,4.0,2.1792000000000087,Total infected,Screening 50%
74,5.0,2.8489000000000146,Total infected,Screening 50%
75,6.0,3.604600000000005,Total infected,Screening 50%
76,7.0,4.1351999999999975,Total infected,Screening 50%
77,8.0,4.552600000000012,Total infected,Screening 50%
78,9.0,5.196200000000005,Total infected,Screening 50%
79,10.0,6.015999999999991,Total infected,Screening 50%
80,11.0,7.0230999999999995,Total infected,Screening 50%
81,12.0,8.043000000000006,Total infected,Screening 50%
82,13.0,8.989000000000004,Total infected,Screening 50%
83,14.0,9.666599999999988,Total infected,Screening 50%
84,15.0,10.159199999999998,Total infected,Screening 50%
85,16.0,10.881900000000002,Total infected,Screening 50%
86,17.0,11.713799999999992,Total infected,Screening 50%
87,18.0,12.632700000000028,Total infected,Screening 50%
88,19.0,13.507500000000022,Total infected,Screening 50%
89,20.0,14.415400000000034,Total infected,Screening 50%
90,21.0,15.033100000000019,Total infected,Screening 50%
91,22.0,15.47059999999999,Total infected,Screening 50%
92,23.0,16.05000000000001,Total infected,Screening 50%
93,24.0,16.788900000000012,Total infected,Screening 50%
94,25.0,17.582599999999957,Total infected,Screening 50%
95,26.0,18.34639999999999,Total infected,Screening 50%
96,27.0,19.1062,Total infected,Screening 50%
97,28.0,19.650699999999972,Total infected,Screening 50%
98,29.0,20.005999999999972,Total infected,Screening 50%
99,30.0,20.4914,Total infected,Screening 50%
100,31.0,21.072099999999978,Total infected,Screening 50%
101,32.0,21.725599999999986,Total infected,Screening 50%
102,33.0,22.386400000000037,Total infected,Screening 50%
103,34.0,22.981000000000023,Total infected,Screening 50%
104,35.0,23.431500000000028,Total infected,Screening 50%
105,1.0,1.0,Total infected,Screening 100%
106,2.0,1.243300000000005,Total infected,Screening 100%
107,3.0,1.6347000000000094,Total infected,Screening 100%
108,4.0,2.2132000000000005,Total infected,Screening 100%
109,5.0,2.8037999999999954,Total infected,Screening 100%
110,6.0,3.4555000000000007,Total infected,Screening 100%
111,7.0,3.8918999999999926,Total infected,Screening 100%
112,8.0,4.24430000000001,Total infected,Screening 100%
113,9.0,4.789900000000017,Total infected,Screening 100%
114,10.0,5.4775000000000205,Total infected,Screening 100%
115,11.0,6.29030000000003,Total infected,Screening 100%
116,12.0,6.98599999999999,Total infected,Screening 100%
117,13.0,7.641600000000011,Total infected,Screening 100%
118,14.0,8.129099999999994,Total infected,Screening 100%
119,15.0,8.444400000000002,Total infected,Screening 100%
120,16.0,8.87579999999997,Total infected,Screening 100%
121,17.0,9.324400000000026,Total infected,Screening 100%
122,18.0,9.851799999999997,Total infected,Screening 100%
123,19.0,10.296400000000006,Total infected,Screening 100%
124,20.0,10.719700000000017,Total infected,Screening 100%
125,21.0,11.00800000000001,Total infected,Screening 100%
126,22.0,11.194199999999995,Total infected,Screening 100%
127,23.0,11.46550000000002,Total infected,Screening 100%
128,24.0,11.780699999999996,Total infected,Screening 100%
129,25.0,12.126200000000011,Total infected,Screening 100%
130,26.0,12.462499999999977,Total infected,Screening 100%
131,27.0,12.725799999999992,Total infected,Screening 100%
132,28.0,12.928999999999974,Total infected,Screening 100%
133,29.0,13.086099999999988,Total infected,Screening 100%
134,30.0,13.275300000000016,Total infected,Screening 100%
135,31.0,13.491499999999974,Total infected,Screening 100%
136,32.0,13.729799999999983,Total infected,Screening 100%
137,33.0,13.920899999999989,Total infected,Screening 100%
138,34.0,14.089099999999974,Total infected,Screening 100%
