,day,infected,type,stat,type_pretty
0,0.0,0.0,infected,mean,0%
1,1.0,0.0,infected,mean,0%
2,2.0,0.020699999999999996,infected,mean,0%
3,3.0,0.03790000000000002,infected,mean,0%
4,4.0,0.018399999999999972,infected,mean,0%
5,5.0,0.014599999999999946,infected,mean,0%
6,6.0,0.2157,infected,mean,0%
7,7.0,0.13559999999999994,infected,mean,0%
8,8.0,-0.0011999999999999789,infected,mean,0%
9,9.0,0.13209999999999988,infected,mean,0%
10,10.0,0.16190000000000015,infected,mean,0%
11,11.0,0.34019999999999984,infected,mean,0%
12,12.0,0.24940000000000007,infected,mean,0%
13,13.0,0.40859999999999985,infected,mean,0%
14,14.0,0.25439999999999996,infected,mean,0%
15,15.0,0.022800000000000153,infected,mean,0%
16,16.0,0.08829999999999982,infected,mean,0%
17,17.0,0.0524,infected,mean,0%
18,18.0,-0.11290000000000022,infected,mean,0%
19,19.0,0.11050000000000004,infected,mean,0%
20,20.0,0.14720000000000066,infected,mean,0%
21,21.0,0.39230000000000054,infected,mean,0%
22,22.0,0.1855,infected,mean,0%
23,23.0,0.23070000000000013,infected,mean,0%
24,24.0,0.12840000000000007,infected,mean,0%
25,25.0,0.32160000000000055,infected,mean,0%
26,26.0,0.2907000000000002,infected,mean,0%
27,27.0,-0.2859999999999996,infected,mean,0%
28,28.0,-0.30020000000000024,infected,mean,0%
29,29.0,-0.19410000000000016,infected,mean,0%
30,30.0,-0.15900000000000025,infected,mean,0%
31,31.0,-0.08530000000000015,infected,mean,0%
32,32.0,-0.13900000000000023,infected,mean,0%
33,33.0,-0.0029000000000003467,infected,mean,0%
34,34.0,0.26979999999999915,infected,mean,0%
35,35.0,0.42189999999999994,infected,mean,0%
36,36.0,0.020399999999999974,infected,mean,0%
37,37.0,-0.15059999999999985,infected,mean,0%
38,38.0,-0.11160000000000014,infected,mean,0%
39,39.0,-0.0878000000000001,infected,mean,0%
40,40.0,-0.2654000000000001,infected,mean,0%
41,41.0,-0.3852000000000002,infected,mean,0%
42,42.0,-1.2181999999999995,infected,mean,0%
43,43.0,-0.5681,infected,mean,0%
44,44.0,-0.6347,infected,mean,0%
45,45.0,-0.7953000000000001,infected,mean,0%
46,46.0,-0.7534000000000001,infected,mean,0%
47,47.0,-0.7932999999999999,infected,mean,0%
48,48.0,-0.484,infected,mean,0%
49,49.0,-0.8426999999999998,infected,mean,0%
50,50.0,-0.3043,infected,mean,0%
51,51.0,-0.38850000000000007,infected,mean,0%
52,52.0,-0.3144,infected,mean,0%
53,53.0,-0.3557000000000001,infected,mean,0%
54,54.0,-0.5751,infected,mean,0%
55,55.0,-0.6241000000000003,infected,mean,0%
56,56.0,-0.7369999999999997,infected,mean,0%
57,57.0,-0.133,infected,mean,0%
58,58.0,-0.23289999999999988,infected,mean,0%
59,59.0,-0.11209999999999987,infected,mean,0%
60,60.0,-0.2755000000000001,infected,mean,0%
61,0.0,0.0,infected,mean,10%
62,1.0,0.0,infected,mean,10%
63,2.0,0.0087,infected,mean,10%
64,3.0,-0.015600000000000003,infected,mean,10%
65,4.0,0.011899999999999966,infected,mean,10%
