,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.0001683333333333555,Total infected,0%
2,3.0,0.0007995833333333498,Total infected,0%
3,4.0,0.0015995833333333801,Total infected,0%
4,5.0,0.0032408333333332705,Total infected,0%
5,6.0,0.006481250000000097,Total infected,0%
6,7.0,0.008754166666666664,Total infected,0%
7,8.0,0.010605833333333337,Total infected,0%
8,9.0,0.015867083333333316,Total infected,0%
9,10.0,0.02335833333333331,Total infected,0%
10,11.0,0.033417499999999954,Total infected,0%
11,12.0,0.047137916666666634,Total infected,0%
12,13.0,0.06477291666666668,Total infected,0%
13,14.0,0.07697833333333329,Total infected,0%
14,15.0,0.08602708333333335,Total infected,0%
15,16.0,0.10294624999999999,Total infected,0%
16,17.0,0.12415833333333334,Total infected,0%
17,18.0,0.14840041666666673,Total infected,0%
18,19.0,0.17971374999999992,Total infected,0%
19,20.0,0.21426750000000006,Total infected,0%
20,21.0,0.23766833333333334,Total infected,0%
21,22.0,0.2569025,Total infected,0%
22,23.0,0.2858583333333333,Total infected,0%
23,24.0,0.32117000000000007,Total infected,0%
24,25.0,0.3612375,Total infected,0%
25,26.0,0.4063975,Total infected,0%
26,27.0,0.4533670833333333,Total infected,0%
27,28.0,0.486995,Total infected,0%
28,29.0,0.51069,Total infected,0%
29,30.0,0.54705375,Total infected,0%
30,31.0,0.58556375,Total infected,0%
31,32.0,0.6250841666666667,Total infected,0%
32,33.0,0.6662879166666666,Total infected,0%
33,34.0,0.7077441666666666,Total infected,0%
34,35.0,0.7342591666666666,Total infected,0%
35,36.0,0.7548820833333333,Total infected,0%
36,37.0,0.7804712500000001,Total infected,0%
37,38.0,0.8057241666666667,Total infected,0%
38,39.0,0.8303033333333334,Total infected,0%
39,40.0,0.85496625,Total infected,0%
40,41.0,0.8774833333333334,Total infected,0%
41,42.0,0.8925083333333333,Total infected,0%
42,43.0,0.90395625,Total infected,0%
43,44.0,0.9166245833333334,Total infected,0%
44,45.0,0.9298820833333333,Total infected,0%
45,46.0,0.9406141666666666,Total infected,0%
46,47.0,0.951305,Total infected,0%
47,48.0,0.9599329166666667,Total infected,0%
48,49.0,0.965825,Total infected,0%
49,50.0,0.9704545833333333,Total infected,0%
50,51.0,0.97487375,Total infected,0%
51,52.0,0.9783670833333333,Total infected,0%
52,53.0,0.9821545833333333,Total infected,0%
53,54.0,0.9854379166666667,Total infected,0%
54,55.0,0.9884679166666667,Total infected,0%
55,56.0,0.9904883333333333,Total infected,0%
56,57.0,0.9916666666666667,Total infected,0%
57,58.0,0.9928029166666666,Total infected,0%
58,59.0,0.9935183333333334,Total infected,0%
59,60.0,0.9946966666666667,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.00023425925925927253,Total infected,10%
62,3.0,0.0008416666666667118,Total infected,10%
63,4.0,0.0020578703703703935,Total infected,10%
64,5.0,0.003974999999999979,Total infected,10%
65,6.0,0.00678055555555551,Total infected,10%
66,7.0,0.0089319444444445,Total infected,10%
67,8.0,0.010708796296296256,Total infected,10%
68,9.0,0.014450000000000074,Total infected,10%
69,10.0,0.019734259259259354,Total infected,10%
70,11.0,0.02801157407407407,Total infected,10%
71,12.0,0.03778518518518515,Total infected,10%
72,13.0,0.04919537037037029,Total infected,10%
73,14.0,0.05826759259259262,Total infected,10%
74,15.0,0.0642069444444444,Total infected,10%
75,16.0,0.0763189814814814,Total infected,10%
76,17.0,0.09217175925925923,Total infected,10%
77,18.0,0.11228009259259258,Total infected,10%
78,19.0,0.13617685185185183,Total infected,10%
79,20.0,0.1619902777777778,Total infected,10%
80,21.0,0.1804620370370371,Total infected,10%
81,22.0,0.19383657407407404,Total infected,10%
82,23.0,0.21548842592592596,Total infected,10%
83,24.0,0.2446689814814815,Total infected,10%
84,25.0,0.27637500000000004,Total infected,10%
85,26.0,0.31247685185185187,Total infected,10%
86,27.0,0.3512907407407407,Total infected,10%
87,28.0,0.3766833333333334,Total infected,10%
88,29.0,0.39763333333333334,Total infected,10%
89,30.0,0.4270949074074074,Total infected,10%
90,31.0,0.46394537037037037,Total infected,10%
91,32.0,0.5021046296296297,Total infected,10%
92,33.0,0.5417601851851851,Total infected,10%
93,34.0,0.5814162037037037,Total infected,10%
94,35.0,0.6099888888888889,Total infected,10%
95,36.0,0.6287875,Total infected,10%
96,37.0,0.6564254629629629,Total infected,10%
97,38.0,0.6859800925925925,Total infected,10%
98,39.0,0.716563888888889,Total infected,10%
99,40.0,0.7453703703703703,Total infected,10%
100,41.0,0.7742703703703704,Total infected,10%
101,42.0,0.794098148148148,Total infected,10%
102,43.0,0.8088759259259258,Total infected,10%
103,44.0,0.8263189814814815,Total infected,10%
104,45.0,0.8442291666666667,Total infected,10%
105,46.0,0.8594277777777778,Total infected,10%
106,47.0,0.8747194444444445,Total infected,10%
107,48.0,0.8888421296296296,Total infected,10%
108,49.0,0.9000185185185186,Total infected,10%
109,50.0,0.9077347222222222,Total infected,10%
110,51.0,0.9172277777777778,Total infected,10%
111,52.0,0.926112962962963,Total infected,10%
112,53.0,0.9346236111111111,Total infected,10%
113,54.0,0.9445379629629629,Total infected,10%
114,55.0,0.9513657407407408,Total infected,10%
115,56.0,0.9566032407407408,Total infected,10%
116,57.0,0.9605782407407408,Total infected,10%
117,58.0,0.9650675925925926,Total infected,10%
118,59.0,0.9689018518518518,Total infected,10%
119,60.0,0.9734379629629629,Total infected,10%
120,1.0,0.0,Total infected,40%
121,2.0,0.0003506944444444413,Total infected,40%
122,3.0,0.0009819444444444751,Total infected,40%
123,4.0,0.002034027777777799,Total infected,40%
124,5.0,0.004209027777777763,Total infected,40%
125,6.0,0.006593750000000003,Total infected,40%
126,7.0,0.008557638888888953,Total infected,40%
127,8.0,0.010030555555555567,Total infected,40%
128,9.0,0.013888888888888888,Total infected,40%
129,10.0,0.01809791666666665,Total infected,40%
130,11.0,0.025883333333333407,Total infected,40%
131,12.0,0.03444166666666663,Total infected,40%
132,13.0,0.04271874999999999,Total infected,40%
133,14.0,0.048049999999999926,Total infected,40%
134,15.0,0.052890277777777724,Total infected,40%
135,16.0,0.06151805555555553,Total infected,40%
136,17.0,0.06972500000000004,Total infected,40%
137,18.0,0.08186041666666671,Total infected,40%
138,19.0,0.09532847222222213,Total infected,40%
139,20.0,0.11083055555555552,Total infected,40%
140,21.0,0.12261527777777775,Total infected,40%
141,22.0,0.1299805555555555,Total infected,40%
142,23.0,0.14309791666666674,Total infected,40%
143,24.0,0.15796875000000002,Total infected,40%
