,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.0001683333333333555,Total infected,0%
2,3.0,0.0009679166666667053,Total infected,0%
3,4.0,0.002567499999999967,Total infected,0%
4,5.0,0.005008333333333326,Total infected,0%
5,6.0,0.008712500000000152,Total infected,0%
6,7.0,0.011447916666666676,Total infected,0%
7,8.0,0.014352083333333354,Total infected,0%
8,9.0,0.019234166666666632,Total infected,0%
9,10.0,0.02782000000000006,Total infected,0%
10,11.0,0.039310000000000046,Total infected,0%
11,12.0,0.055050416666666636,Total infected,0%
12,13.0,0.07478916666666666,Total infected,0%
13,14.0,0.08821541666666673,Total infected,0%
14,15.0,0.09789583333333324,Total infected,0%
15,16.0,0.11565666666666666,Total infected,0%
16,17.0,0.13771041666666667,Total infected,0%
17,18.0,0.16540416666666669,Total infected,0%
18,19.0,0.19709625,Total infected,0%
19,20.0,0.2354795833333334,Total infected,0%
20,21.0,0.26199458333333336,Total infected,0%
21,22.0,0.28144,Total infected,0%
22,23.0,0.30963791666666673,Total infected,0%
23,24.0,0.34032000000000007,Total infected,0%
24,25.0,0.37840916666666674,Total infected,0%
25,26.0,0.41822416666666673,Total infected,0%
26,27.0,0.457155,Total infected,0%
27,28.0,0.48771083333333337,Total infected,0%
28,29.0,0.5079966666666667,Total infected,0%
29,30.0,0.5364904166666666,Total infected,0%
30,31.0,0.5679712499999999,Total infected,0%
31,32.0,0.5982325,Total infected,0%
32,33.0,0.6259683333333332,Total infected,0%
33,34.0,0.6546299999999999,Total infected,0%
34,35.0,0.6752945833333333,Total infected,0%
35,36.0,0.68863625,Total infected,0%
36,37.0,0.7048820833333332,Total infected,0%
37,38.0,0.7208758333333333,Total infected,0%
38,39.0,0.7380891666666667,Total infected,0%
39,40.0,0.7532408333333332,Total infected,0%
40,41.0,0.7696970833333334,Total infected,0%
41,42.0,0.7800925,Total infected,0%
42,43.0,0.7885941666666666,Total infected,0%
43,44.0,0.7965908333333334,Total infected,0%
44,45.0,0.8045875,Total infected,0%
45,46.0,0.8117429166666666,Total infected,0%
46,47.0,0.8194866666666667,Total infected,0%
47,48.0,0.8269779166666666,Total infected,0%
48,49.0,0.83223875,Total infected,0%
49,50.0,0.8361529166666667,Total infected,0%
50,51.0,0.8410354166666667,Total infected,0%
51,52.0,0.8467170833333333,Total infected,0%
52,53.0,0.8520204166666667,Total infected,0%
53,54.0,0.8583333333333333,Total infected,0%
54,55.0,0.8639304166666667,Total infected,0%
55,56.0,0.8678454166666667,Total infected,0%
56,57.0,0.8710441666666667,Total infected,0%
57,58.0,0.87441125,Total infected,0%
58,59.0,0.8770204166666667,Total infected,0%
59,60.0,0.88051375,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.00042083333333322426,Total infected,10%
62,3.0,0.0013092592592593001,Total infected,10%
63,4.0,0.003273611111111097,Total infected,10%
64,5.0,0.005471296296296341,Total infected,10%
65,6.0,0.00944629629629632,Total infected,10%
66,7.0,0.012205092592592618,Total infected,10%
67,8.0,0.015104629629629593,Total infected,10%
68,9.0,0.02038935185185185,Total infected,10%
69,10.0,0.027871296296296373,Total infected,10%
70,11.0,0.039468981481481424,Total infected,10%
71,12.0,0.05363842592592597,Total infected,10%
72,13.0,0.06935092592592598,Total infected,10%
73,14.0,0.08048055555555546,Total infected,10%
74,15.0,0.08875833333333343,Total infected,10%
75,16.0,0.10245972222222227,Total infected,10%
76,17.0,0.12153981481481482,Total infected,10%
77,18.0,0.14136805555555548,Total infected,10%
78,19.0,0.16591805555555558,Total infected,10%
79,20.0,0.19318148148148154,Total infected,10%
80,21.0,0.21258888888888883,Total infected,10%
81,22.0,0.2271791666666666,Total infected,10%
82,23.0,0.24752129629629624,Total infected,10%
83,24.0,0.27258703703703696,Total infected,10%
84,25.0,0.3000837962962962,Total infected,10%
85,26.0,0.3290782407407408,Total infected,10%
86,27.0,0.3585393518518519,Total infected,10%
87,28.0,0.3800976851851852,Total infected,10%
88,29.0,0.39487453703703707,Total infected,10%
89,30.0,0.41662037037037036,Total infected,10%
90,31.0,0.4405162037037037,Total infected,10%
91,32.0,0.46721851851851853,Total infected,10%
92,33.0,0.49518333333333336,Total infected,10%
93,34.0,0.522400462962963,Total infected,10%
94,35.0,0.5421342592592593,Total infected,10%
95,36.0,0.5557430555555555,Total infected,10%
96,37.0,0.5719226851851853,Total infected,10%
97,38.0,0.5913300925925926,Total infected,10%
98,39.0,0.6119523148148147,Total infected,10%
99,40.0,0.632014351851852,Total infected,10%
100,41.0,0.6525439814814815,Total infected,10%
101,42.0,0.6681162037037036,Total infected,10%
102,43.0,0.679012962962963,Total infected,10%
103,44.0,0.6916851851851852,Total infected,10%
104,45.0,0.7066499999999999,Total infected,10%
105,46.0,0.7204925925925926,Total infected,10%
106,47.0,0.7346152777777777,Total infected,10%
107,48.0,0.7490180555555556,Total infected,10%
108,49.0,0.7595402777777778,Total infected,10%
109,50.0,0.7660398148148148,Total infected,10%
110,51.0,0.7739430555555555,Total infected,10%
111,52.0,0.783062037037037,Total infected,10%
112,53.0,0.7919939814814815,Total infected,10%
113,54.0,0.7997101851851852,Total infected,10%
114,55.0,0.8088291666666666,Total infected,10%
115,56.0,0.8161236111111111,Total infected,10%
116,57.0,0.8205662037037037,Total infected,10%
117,58.0,0.825336574074074,Total infected,10%
118,59.0,0.8319305555555556,Total infected,10%
119,60.0,0.8377296296296296,Total infected,10%
120,1.0,0.0,Total infected,40%
121,2.0,0.0003506944444444413,Total infected,40%
122,3.0,0.0013326388888889164,Total infected,40%
123,4.0,0.002104166666666648,Total infected,40%
124,5.0,0.003788194444444473,Total infected,40%
125,6.0,0.006032638888888818,Total infected,40%
126,7.0,0.008136805555555663,Total infected,40%
127,8.0,0.010451388888889055,Total infected,40%
128,9.0,0.014661111111111088,Total infected,40%
129,10.0,0.020202083333333495,Total infected,40%
130,11.0,0.026234722222222118,Total infected,40%
131,12.0,0.03338958333333311,Total infected,40%
132,13.0,0.04187708333333341,Total infected,40%
133,14.0,0.04826041666666687,Total infected,40%
134,15.0,0.05317013888888885,Total infected,40%
135,16.0,0.06123680555555566,Total infected,40%
136,17.0,0.06972500000000004,Total infected,40%
137,18.0,0.07968611111111103,Total infected,40%
138,19.0,0.09126041666666652,Total infected,40%
139,20.0,0.1047979166666667,Total infected,40%
140,21.0,0.11377638888888894,Total infected,40%
141,22.0,0.1213527777777778,Total infected,40%
142,23.0,0.13327777777777783,Total infected,40%
143,24.0,0.1462548611111112,Total infected,40%
