,day,cumulative_infected,type,type_pretty
0,1.0,0.0,Total infected,0%
1,2.0,0.00021041666666666477,Total infected,0%
2,3.0,0.0008416666666666591,Total infected,0%
3,4.0,0.0019358333333332923,Total infected,0%
4,5.0,0.0044612500000000685,Total infected,0%
5,6.0,0.008249166666666596,Total infected,0%
6,7.0,0.010984583333333475,Total infected,0%
7,8.0,0.013215000000000051,Total infected,0%
8,9.0,0.018687083333333375,Total infected,0%
9,10.0,0.02697833333333328,Total infected,0%
10,11.0,0.03922583333333331,Total infected,0%
11,12.0,0.054461250000000065,Total infected,0%
12,13.0,0.07403208333333329,Total infected,0%
13,14.0,0.08749958333333333,Total infected,0%
14,15.0,0.09793791666666667,Total infected,0%
15,16.0,0.11498333333333335,Total infected,0%
16,17.0,0.13728958333333346,Total infected,0%
17,18.0,0.16418333333333332,Total infected,0%
18,19.0,0.1961283333333333,Total infected,0%
19,20.0,0.22996625000000012,Total infected,0%
20,21.0,0.25374583333333334,Total infected,0%
21,22.0,0.27205375000000004,Total infected,0%
22,23.0,0.29886375000000004,Total infected,0%
23,24.0,0.3305554166666668,Total infected,0%
24,25.0,0.3651516666666667,Total infected,0%
25,26.0,0.4015995833333334,Total infected,0%
26,27.0,0.43821541666666664,Total infected,0%
27,28.0,0.46624625000000003,Total infected,0%
28,29.0,0.48463791666666667,Total infected,0%
29,30.0,0.5111954166666667,Total infected,0%
30,31.0,0.5380891666666667,Total infected,0%
31,32.0,0.5676770833333333,Total infected,0%
32,33.0,0.5972641666666667,Total infected,0%
33,34.0,0.62794625,Total infected,0%
34,35.0,0.6487795833333333,Total infected,0%
35,36.0,0.66439375,Total infected,0%
36,37.0,0.6828704166666667,Total infected,0%
37,38.0,0.7004629166666666,Total infected,0%
38,39.0,0.7196545833333334,Total infected,0%
39,40.0,0.7392679166666666,Total infected,0%
40,41.0,0.75677625,Total infected,0%
41,42.0,0.7701600000000001,Total infected,0%
42,43.0,0.7794195833333333,Total infected,0%
43,44.0,0.7912462499999999,Total infected,0%
44,45.0,0.8023145833333333,Total infected,0%
45,46.0,0.8124583333333334,Total infected,0%
46,47.0,0.8238216666666667,Total infected,0%
47,48.0,0.83308125,Total infected,0%
48,49.0,0.8398570833333333,Total infected,0%
49,50.0,0.8451599999999999,Total infected,0%
50,51.0,0.8512204166666667,Total infected,0%
51,52.0,0.8567337500000001,Total infected,0%
52,53.0,0.86216375,Total infected,0%
53,54.0,0.8683920833333333,Total infected,0%
54,55.0,0.8736529166666667,Total infected,0%
55,56.0,0.8781141666666666,Total infected,0%
56,57.0,0.881145,Total infected,0%
57,58.0,0.8841333333333333,Total infected,0%
58,59.0,0.8877945833333333,Total infected,0%
59,60.0,0.8908670833333333,Total infected,0%
60,1.0,0.0,Total infected,10%
61,2.0,0.00018703703703706168,Total infected,10%
62,3.0,0.0007481481481482467,Total infected,10%
63,4.0,0.0021976851851852443,Total infected,10%
64,5.0,0.0040685185185184445,Total infected,10%
65,6.0,0.007529166666666603,Total infected,10%
66,7.0,0.010194444444444568,Total infected,10%
67,8.0,0.012860185185185247,Total infected,10%
68,9.0,0.017256481481481428,Total infected,10%
69,10.0,0.023709259259259333,Total infected,10%
70,11.0,0.03376388888888879,Total infected,10%
71,12.0,0.04531435185185176,Total infected,10%
72,13.0,0.05943657407407409,Total infected,10%
73,14.0,0.06972499999999997,Total infected,10%
74,15.0,0.07734722222222219,Total infected,10%
75,16.0,0.09282638888888901,Total infected,10%
76,17.0,0.11101712962962967,Total infected,10%
77,18.0,0.13173379629629628,Total infected,10%
78,19.0,0.155724074074074,Total infected,10%
79,20.0,0.18055555555555555,Total infected,10%
80,21.0,0.19977546296296295,Total infected,10%
81,22.0,0.21506712962962962,Total infected,10%
82,23.0,0.23578379629629634,Total infected,10%
83,24.0,0.26005416666666675,Total infected,10%
84,25.0,0.2883462962962962,Total infected,10%
85,26.0,0.3169662037037038,Total infected,10%
86,27.0,0.3478300925925925,Total infected,10%
87,28.0,0.37121250000000006,Total infected,10%
88,29.0,0.38809398148148155,Total infected,10%
89,30.0,0.41185000000000005,Total infected,10%
90,31.0,0.43939398148148145,Total infected,10%
91,32.0,0.46745231481481475,Total infected,10%
92,33.0,0.49869027777777786,Total infected,10%
93,34.0,0.5288527777777777,Total infected,10%
94,35.0,0.5507856481481481,Total infected,10%
95,36.0,0.5662180555555556,Total infected,10%
96,37.0,0.586139351851852,Total infected,10%
97,38.0,0.6072296296296296,Total infected,10%
98,39.0,0.6296763888888889,Total infected,10%
99,40.0,0.6514685185185185,Total infected,10%
100,41.0,0.6720912037037037,Total infected,10%
101,42.0,0.6880842592592592,Total infected,10%
102,43.0,0.699448611111111,Total infected,10%
103,44.0,0.7132902777777778,Total infected,10%
104,45.0,0.7283018518518518,Total infected,10%
105,46.0,0.7420037037037038,Total infected,10%
106,47.0,0.754536574074074,Total infected,10%
107,48.0,0.7681916666666666,Total infected,10%
108,49.0,0.7779180555555556,Total infected,10%
109,50.0,0.7851199074074073,Total infected,10%
110,51.0,0.7937708333333333,Total infected,10%
111,52.0,0.8018611111111111,Total infected,10%
112,53.0,0.8105125,Total infected,10%
113,54.0,0.8190236111111111,Total infected,10%
114,55.0,0.8279555555555556,Total infected,10%
115,56.0,0.8342217592592592,Total infected,10%
116,57.0,0.8390851851851852,Total infected,10%
117,58.0,0.8439490740740742,Total infected,10%
118,59.0,0.8502620370370371,Total infected,10%
119,60.0,0.856387962962963,Total infected,10%
120,1.0,0.0,Total infected,40%
121,2.0,7.013888888884878e-05,Total infected,40%
122,3.0,0.0005618055555554551,Total infected,40%
123,4.0,0.0011923611111112188,Total infected,40%
124,5.0,0.001893749999999904,Total infected,40%
125,6.0,0.0031562499999999716,Total infected,40%
126,7.0,0.004769444444444481,Total infected,40%
127,8.0,0.006032638888888818,Total infected,40%
128,9.0,0.008487499999999907,Total infected,40%
129,10.0,0.012486111111111123,Total infected,40%
130,11.0,0.01767708333333336,Total infected,40%
131,12.0,0.023779166666666757,Total infected,40%
132,13.0,0.030163194444444485,Total infected,40%
