,day,cumulative_infected,type,type_of_screening_pretty
0,1.0,0.0,Total infected,Without screening
1,2.0,0.07699999999999818,Total infected,Without screening
2,3.0,0.2061999999999955,Total infected,Without screening
3,4.0,0.3942999999999586,Total infected,Without screening
4,5.0,0.6977999999999724,Total infected,Without screening
5,6.0,1.1061000000000263,Total infected,Without screening
6,7.0,1.4564000000000021,Total infected,Without screening
7,8.0,1.81280000000001,Total infected,Without screening
8,9.0,2.3964,Total infected,Without screening
9,10.0,3.1651999999999987,Total infected,Without screening
10,11.0,4.22229999999999,Total infected,Without screening
11,12.0,5.499500000000012,Total infected,Without screening
12,13.0,7.02800000000002,Total infected,Without screening
13,14.0,8.271199999999993,Total infected,Without screening
14,15.0,9.161099999999976,Total infected,Without screening
15,16.0,10.568600000000032,Total infected,Without screening
16,17.0,12.399400000000014,Total infected,Without screening
17,18.0,14.581600000000037,Total infected,Without screening
18,19.0,17.125200000000007,Total infected,Without screening
19,20.0,20.060000000000002,Total infected,Without screening
20,21.0,22.201299999999947,Total infected,Without screening
21,22.0,23.828699999999998,Total infected,Without screening
22,23.0,26.163100000000014,Total infected,Without screening
23,24.0,29.064999999999998,Total infected,Without screening
24,25.0,32.23919999999998,Total infected,Without screening
25,26.0,35.813800000000015,Total infected,Without screening
26,27.0,39.63659999999999,Total infected,Without screening
27,28.0,42.43339999999998,Total infected,Without screening
28,29.0,44.46739999999997,Total infected,Without screening
29,30.0,47.36829999999998,Total infected,Without screening
30,31.0,50.800899999999984,Total infected,Without screening
31,32.0,54.54639999999998,Total infected,Without screening
32,33.0,58.52359999999999,Total infected,Without screening
33,34.0,62.71079999999998,Total infected,Without screening
34,35.0,65.6705,Total infected,Without screening
35,1.0,0.0,Total infected,Screening 25%
36,2.0,0.06030000000001223,Total infected,Screening 25%
37,3.0,0.1658000000000186,Total infected,Screening 25%
38,4.0,0.3416999999999746,Total infected,Screening 25%
39,5.0,0.6080000000000041,Total infected,Screening 25%
40,6.0,1.035000000000025,Total infected,Screening 25%
41,7.0,1.5327000000000055,Total infected,Screening 25%
42,8.0,1.854299999999995,Total infected,Screening 25%
43,9.0,2.3819999999999766,Total infected,Screening 25%
44,10.0,3.020099999999985,Total infected,Screening 25%
45,11.0,3.813999999999993,Total infected,Screening 25%
46,12.0,4.738799999999998,Total infected,Screening 25%
47,13.0,5.989900000000006,Total infected,Screening 25%
48,14.0,6.954700000000031,Total infected,Screening 25%
49,15.0,7.7286,Total infected,Screening 25%
50,16.0,8.60299999999998,Total infected,Screening 25%
51,17.0,9.678300000000007,Total infected,Screening 25%
52,18.0,11.045299999999997,Total infected,Screening 25%
53,19.0,12.437400000000025,Total infected,Screening 25%
54,20.0,14.256300000000039,Total infected,Screening 25%
55,21.0,15.673399999999987,Total infected,Screening 25%
56,22.0,16.768699999999995,Total infected,Screening 25%
57,23.0,17.954700000000003,Total infected,Screening 25%
58,24.0,19.18580000000003,Total infected,Screening 25%
59,25.0,20.713599999999985,Total infected,Screening 25%
60,26.0,22.432200000000023,Total infected,Screening 25%
61,27.0,24.426999999999992,Total infected,Screening 25%
62,28.0,25.844300000000004,Total infected,Screening 25%
63,29.0,26.85419999999999,Total infected,Screening 25%
64,30.0,28.080400000000026,Total infected,Screening 25%
65,31.0,29.306600000000003,Total infected,Screening 25%
66,32.0,30.638300000000015,Total infected,Screening 25%
67,33.0,32.085500000000025,Total infected,Screening 25%
68,34.0,33.82909999999998,Total infected,Screening 25%
69,35.0,35.23109999999997,Total infected,Screening 25%
70,1.0,0.0,Total infected,Screening 50%
71,2.0,0.06539999999998258,Total infected,Screening 50%
72,3.0,0.20599999999998886,Total infected,Screening 50%
73,4.0,0.3516999999999655,Total infected,Screening 50%
74,5.0,0.6682000000000414,Total infected,Screening 50%
75,6.0,1.050100000000043,Total infected,Screening 50%
76,7.0,1.366700000000037,Total infected,Screening 50%
77,8.0,1.758800000000008,Total infected,Screening 50%
78,9.0,2.085499999999996,Total infected,Screening 50%
79,10.0,2.5529000000000224,Total infected,Screening 50%
80,11.0,3.14560000000003,Total infected,Screening 50%
81,12.0,4.015200000000021,Total infected,Screening 50%
82,13.0,5.000099999999975,Total infected,Screening 50%
83,14.0,5.753600000000006,Total infected,Screening 50%
84,15.0,6.487300000000005,Total infected,Screening 50%
85,16.0,7.060300000000012,Total infected,Screening 50%
86,17.0,7.703499999999991,Total infected,Screening 50%
87,18.0,8.547799999999995,Total infected,Screening 50%
88,19.0,9.391899999999993,Total infected,Screening 50%
89,20.0,10.462200000000024,Total infected,Screening 50%
90,21.0,11.246200000000016,Total infected,Screening 50%
91,22.0,11.924699999999973,Total infected,Screening 50%
92,23.0,12.603000000000009,Total infected,Screening 50%
93,24.0,13.246199999999988,Total infected,Screening 50%
94,25.0,14.1909,Total infected,Screening 50%
95,26.0,15.105500000000006,Total infected,Screening 50%
96,27.0,16.01509999999999,Total infected,Screening 50%
97,28.0,16.899400000000014,Total infected,Screening 50%
98,29.0,17.527500000000032,Total infected,Screening 50%
99,30.0,18.170999999999992,Total infected,Screening 50%
