,day,new-infected,type,type_of_screening_pretty
0,1.0,0.0,New infected,Without screening
1,2.0,0.07699999999999818,New infected,Without screening
2,3.0,0.12919999999999732,New infected,Without screening
3,4.0,0.18809999999996307,New infected,Without screening
4,5.0,0.30350000000001387,New infected,Without screening
5,6.0,0.40830000000005384,New infected,Without screening
6,7.0,0.35029999999997585,New infected,Without screening
7,8.0,0.3564000000000078,New infected,Without screening
8,9.0,0.5835999999999899,New infected,Without screening
9,10.0,0.7687999999999988,New infected,Without screening
10,11.0,1.0570999999999913,New infected,Without screening
11,12.0,1.2772000000000219,New infected,Without screening
12,13.0,1.5285000000000082,New infected,Without screening
13,14.0,1.2431999999999732,New infected,Without screening
14,15.0,0.889899999999983,New infected,Without screening
15,16.0,1.4075000000000557,New infected,Without screening
16,17.0,1.8307999999999822,New infected,Without screening
17,18.0,2.182200000000023,New infected,Without screening
18,19.0,2.5435999999999694,New infected,Without screening
19,20.0,2.9347999999999956,New infected,Without screening
20,21.0,2.1412999999999442,New infected,Without screening
21,22.0,1.6274000000000513,New infected,Without screening
22,23.0,2.3344000000000165,New infected,Without screening
23,24.0,2.9018999999999835,New infected,Without screening
24,25.0,3.174199999999985,New infected,Without screening
25,26.0,3.574600000000032,New infected,Without screening
26,27.0,3.8227999999999724,New infected,Without screening
27,28.0,2.7967999999999904,New infected,Without screening
28,29.0,2.033999999999992,New infected,Without screening
29,30.0,2.900900000000007,New infected,Without screening
30,31.0,3.432600000000008,New infected,Without screening
31,32.0,3.7454999999999927,New infected,Without screening
32,33.0,3.9772000000000105,New infected,Without screening
33,34.0,4.18719999999999,New infected,Without screening
34,35.0,2.9597000000000264,New infected,Without screening
35,1.0,0.0,New infected,Screening 25%
36,2.0,0.08539999999999281,New infected,Screening 25%
37,3.0,0.15070000000002892,New infected,Screening 25%
38,4.0,0.20599999999998886,New infected,Screening 25%
39,5.0,0.3067000000000064,New infected,Screening 25%
40,6.0,0.4119999999999777,New infected,Screening 25%
41,7.0,0.39699999999999136,New infected,Screening 25%
42,8.0,0.3920999999999992,New infected,Screening 25%
43,9.0,0.5224000000000331,New infected,Screening 25%
44,10.0,0.8040999999999769,New infected,Screening 25%
45,11.0,1.050200000000018,New infected,Screening 25%
46,12.0,1.0904999999999916,New infected,Screening 25%
47,13.0,1.6280000000000143,New infected,Screening 25%
48,14.0,1.1558999999999457,New infected,Screening 25%
49,15.0,0.85420000000002,New infected,Screening 25%
50,16.0,1.3518000000000256,New infected,Screening 25%
51,17.0,1.6079999999999757,New infected,Screening 25%
52,18.0,2.070400000000035,New infected,Screening 25%
53,19.0,2.200999999999965,New infected,Screening 25%
54,20.0,2.401900000000012,New infected,Screening 25%
55,21.0,1.9448999999999899,New infected,Screening 25%
56,22.0,1.266300000000001,New infected,Screening 25%
57,23.0,2.0252000000000123,New infected,Screening 25%
58,24.0,2.4822999999999524,New infected,Screening 25%
59,25.0,2.43220000000008,New infected,Screening 25%
60,26.0,2.788899999999927,New infected,Screening 25%
61,27.0,2.9649000000000285,New infected,Screening 25%
62,28.0,1.9146000000000356,New infected,Screening 25%
63,29.0,1.5324999999999989,New infected,Screening 25%
64,30.0,2.261299999999977,New infected,Screening 25%
65,31.0,2.8492999999999427,New infected,Screening 25%
66,32.0,3.03520000000006,New infected,Screening 25%
67,33.0,3.236200000000025,New infected,Screening 25%
68,34.0,3.2963999999999487,New infected,Screening 25%
69,35.0,2.3670000000000186,New infected,Screening 25%
70,1.0,0.0,New infected,Screening 50%
71,2.0,0.07030000000000314,New infected,Screening 50%
72,3.0,0.12569999999999482,New infected,Screening 50%
73,4.0,0.2261000000000024,New infected,Screening 50%
74,5.0,0.3015000000000043,New infected,Screening 50%
75,6.0,0.43209999999999127,New infected,Screening 50%
76,7.0,0.432200000000023,New infected,Screening 50%
77,8.0,0.24129999999993856,New infected,Screening 50%
78,9.0,0.5728000000000293,New infected,Screening 50%
79,10.0,0.7235000000000298,New infected,Screening 50%
80,11.0,1.0201999999999884,New infected,Screening 50%
81,12.0,1.0603999999999871,New infected,Screening 50%
82,13.0,1.3967999999999847,New infected,Screening 50%
83,14.0,0.9949999999999761,New infected,Screening 50%
84,15.0,0.8091000000000292,New infected,Screening 50%
85,16.0,1.21610000000004,New infected,Screening 50%
86,17.0,1.4320999999999913,New infected,Screening 50%
87,18.0,1.7638000000000034,New infected,Screening 50%
88,19.0,2.1055999999999813,New infected,Screening 50%
89,20.0,1.904500000000013,New infected,Screening 50%
90,21.0,1.6029999999999802,New infected,Screening 50%
91,22.0,1.1406999999999812,New infected,Screening 50%
92,23.0,1.5527000000000442,New infected,Screening 50%
93,24.0,2.1105000000000302,New infected,Screening 50%
94,25.0,2.1509999999999536,New infected,Screening 50%
95,26.0,2.386799999999937,New infected,Screening 50%
96,27.0,2.572900000000061,New infected,Screening 50%
97,28.0,1.6984000000000208,New infected,Screening 50%
98,29.0,1.3518999999999437,New infected,Screening 50%
99,30.0,1.8894000000000517,New infected,Screening 50%
100,31.0,2.206099999999992,New infected,Screening 50%
101,32.0,2.301400000000001,New infected,Screening 50%
102,33.0,2.6129999999999995,New infected,Screening 50%
103,34.0,2.306600000000003,New infected,Screening 50%
104,35.0,1.8793999999999471,New infected,Screening 50%
105,1.0,0.0,New infected,Screening 100%
106,2.0,0.10049999999998249,New infected,Screening 100%
107,3.0,0.17080000000001405,New infected,Screening 100%
108,4.0,0.22110000000000696,New infected,Screening 100%
109,5.0,0.3265999999999849,New infected,Screening 100%
110,6.0,0.35180000000002565,New infected,Screening 100%
111,7.0,0.341700000000003,New infected,Screening 100%
112,8.0,0.3919999999999675,New infected,Screening 100%
113,9.0,0.617999999999995,New infected,Screening 100%
114,10.0,0.8042000000000087,New infected,Screening 100%
115,11.0,1.0200000000000102,New infected,Screening 100%
116,12.0,1.0704000000000349,New infected,Screening 100%
117,13.0,1.1810000000000116,New infected,Screening 100%
118,14.0,0.9044999999999561,New infected,Screening 100%
119,15.0,0.8742000000000019,New infected,Screening 100%
120,16.0,1.0703000000000316,New infected,Screening 100%
121,17.0,1.3719999999999573,New infected,Screening 100%
122,18.0,1.4521999999999764,New infected,Screening 100%
123,19.0,1.487400000000065,New infected,Screening 100%
124,20.0,1.5880999999999972,New infected,Screening 100%
125,21.0,1.0953999999999553,New infected,Screening 100%
126,22.0,0.7940000000000396,New infected,Screening 100%
127,23.0,1.1809000000000083,New infected,Screening 100%
128,24.0,1.532699999999977,New infected,Screening 100%
129,25.0,1.6280999999999892,New infected,Screening 100%
130,26.0,1.7487999999999886,New infected,Screening 100%
131,27.0,1.5124000000000422,New infected,Screening 100%
132,28.0,1.2713999999999999,New infected,Screening 100%
133,29.0,0.9949999999999477,New infected,Screening 100%
134,30.0,1.2664000000000044,New infected,Screening 100%
135,31.0,1.402000000000072,New infected,Screening 100%
