,day,infected,type,type_pretty
0,0.0,0.0,Infected,0%
1,1.0,0.0,Infected,0%
2,2.0,1.3788,Infected,0%
3,3.0,4.2143999999999995,Infected,0%
4,4.0,9.1164,Infected,0%
5,5.0,16.7695,Infected,0%
6,6.0,27.402800000000003,Infected,0%
7,7.0,34.202400000000004,Infected,0%
8,8.0,38.0921,Infected,0%
9,9.0,49.35670000000001,Infected,0%
10,10.0,64.2887,Infected,0%
11,11.0,79.54509999999999,Infected,0%
12,12.0,92.9439,Infected,0%
13,13.0,103.99190000000002,Infected,0%
14,14.0,106.51100000000001,Infected,0%
15,15.0,104.519,Infected,0%
16,16.0,103.71130000000001,Infected,0%
17,17.0,102.1102,Infected,0%
18,18.0,98.7735,Infected,0%
19,19.0,94.2907,Infected,0%
20,20.0,88.38069999999999,Infected,0%
21,21.0,81.65129999999999,Infected,0%
22,22.0,74.4108,Infected,0%
23,23.0,67.5851,Infected,0%
24,24.0,61.104299999999995,Infected,0%
25,25.0,54.83160000000001,Infected,0%
26,26.0,49.158300000000004,Infected,0%
27,27.0,43.8718,Infected,0%
28,28.0,39.028099999999995,Infected,0%
29,29.0,34.5091,Infected,0%
30,30.0,30.2125,Infected,0%
31,31.0,26.711399999999998,Infected,0%
32,32.0,23.5992,Infected,0%
33,33.0,20.8538,Infected,0%
34,34.0,18.4169,Infected,0%
35,35.0,16.2105,Infected,0%
36,36.0,14.2044,Infected,0%
37,37.0,12.523000000000001,Infected,0%
38,38.0,10.8898,Infected,0%
39,39.0,9.575199999999999,Infected,0%
40,40.0,8.4308,Infected,0%
41,41.0,7.4609000000000005,Infected,0%
42,42.0,6.5569999999999995,Infected,0%
43,43.0,5.6833,Infected,0%
44,44.0,4.9659,Infected,0%
45,45.0,4.3607,Infected,0%
46,46.0,3.8857999999999997,Infected,0%
47,47.0,3.4629,Infected,0%
48,48.0,3.0882,Infected,0%
49,49.0,2.7475,Infected,0%
50,50.0,2.4229000000000003,Infected,0%
51,51.0,2.1844,Infected,0%
52,52.0,1.9259,Infected,0%
53,53.0,1.7756,Infected,0%
54,54.0,1.5891000000000002,Infected,0%
55,55.0,1.4228,Infected,0%
56,56.0,1.3106,Infected,0%
57,57.0,1.2184,Infected,0%
58,58.0,1.1061,Infected,0%
59,59.0,1.0099,Infected,0%
60,60.0,0.9097,Infected,0%
61,0.0,0.0,Infected,10%
62,1.0,0.0,Infected,10%
63,2.0,1.2104000000000001,Infected,10%
64,3.0,3.6332,Infected,10%
65,4.0,7.5451,Infected,10%
66,5.0,13.956,Infected,10%
67,6.0,22.8317,Infected,10%
68,7.0,28.346799999999998,Infected,10%
69,8.0,31.8277,Infected,10%
70,9.0,41.1242,Infected,10%
71,10.0,53.449,Infected,10%
72,11.0,66.3748,Infected,10%
73,12.0,78.52499999999999,Infected,10%
74,13.0,88.35270000000001,Infected,10%
75,14.0,91.8357,Infected,10%
76,15.0,90.9999,Infected,10%
77,16.0,92.066,Infected,10%
78,17.0,92.45309999999998,Infected,10%
79,18.0,91.58529999999999,Infected,10%
80,19.0,89.46700000000001,Infected,10%
81,20.0,86.1522,Infected,10%
82,21.0,80.7114,Infected,10%
83,22.0,74.48100000000001,Infected,10%
84,23.0,68.8015,Infected,10%
85,24.0,63.034099999999995,Infected,10%
86,25.0,57.5852,Infected,10%
87,26.0,52.4629,Infected,10%
88,27.0,47.69540000000001,Infected,10%
89,28.0,42.741400000000006,Infected,10%
90,29.0,37.969899999999996,Infected,10%
91,30.0,33.795700000000004,Infected,10%
92,31.0,29.831699999999998,Infected,10%
93,32.0,26.515000000000004,Infected,10%
94,33.0,23.6994,Infected,10%
95,34.0,21.100099999999998,Infected,10%
96,35.0,18.615199999999998,Infected,10%
97,36.0,16.3287,Infected,10%
98,37.0,14.2746,Infected,10%
99,38.0,12.5551,Infected,10%
100,39.0,11.1182,Infected,10%
101,40.0,9.769499999999999,Infected,10%
102,41.0,8.5892,Infected,10%
103,42.0,7.5431,Infected,10%
104,43.0,6.6413,Infected,10%
105,44.0,5.8537,Infected,10%
106,45.0,5.1784,Infected,10%
107,46.0,4.5851,Infected,10%
108,47.0,4.0601,Infected,10%
109,48.0,3.6733,Infected,10%
110,49.0,3.2865999999999995,Infected,10%
111,50.0,2.9318000000000004,Infected,10%
112,51.0,2.5951999999999997,Infected,10%
113,52.0,2.3005999999999998,Infected,10%
114,53.0,2.0520999999999994,Infected,10%
115,54.0,1.8537000000000001,Infected,10%
116,55.0,1.6713,Infected,10%
117,56.0,1.5169000000000001,Infected,10%
118,57.0,1.3546,Infected,10%
119,58.0,1.2585000000000002,Infected,10%
120,59.0,1.1281,Infected,10%
121,60.0,1.0601,Infected,10%
122,0.0,0.0,Infected,40%
123,1.0,0.0,Infected,40%
124,2.0,0.9218999999999999,Infected,40%
125,3.0,2.7153999999999994,Infected,40%
126,4.0,5.196300000000001,Infected,40%
127,5.0,8.6533,Infected,40%
128,6.0,12.966,Infected,40%
129,7.0,16.2566,Infected,40%
130,8.0,18.388799999999996,Infected,40%
131,9.0,23.082199999999997,Infected,40%
132,10.0,29.248499999999996,Infected,40%
133,11.0,36.168400000000005,Infected,40%
134,12.0,43.4829,Infected,40%
135,13.0,50.468900000000005,Infected,40%
136,14.0,53.0962,Infected,40%
137,15.0,53.278600000000004,Infected,40%
138,16.0,55.513200000000005,Infected,40%
139,17.0,58.404799999999994,Infected,40%
140,18.0,60.7715,Infected,40%
141,19.0,62.827600000000004,Infected,40%
