,day,final_infected,type_pretty
60,60,237,0%
121,60,255,0%
182,60,238,0%
243,60,227,0%
304,60,255,0%
365,60,237,0%
426,60,232,0%
487,60,245,0%
548,60,252,0%
609,60,247,0%
670,60,232,0%
731,60,242,0%
792,60,247,0%
853,60,255,0%
914,60,254,0%
975,60,244,0%
1036,60,263,0%
1097,60,233,0%
1158,60,246,0%
1219,60,244,0%
1280,60,239,0%
1341,60,259,0%
1402,60,249,0%
1463,60,248,0%
1524,60,257,0%
1585,60,239,0%
1646,60,243,0%
1707,60,250,0%
1768,60,229,0%
1829,60,237,0%
1890,60,237,0%
1951,60,234,0%
2012,60,243,0%
2073,60,255,0%
2134,60,236,0%
2195,60,251,0%
2256,60,245,0%
2317,60,215,0%
2378,60,253,0%
2439,60,252,0%
2500,60,240,0%
2561,60,254,0%
2622,60,245,0%
2683,60,246,0%
2744,60,260,0%
2805,60,242,0%
2866,60,260,0%
2927,60,265,0%
2988,60,235,0%
3049,60,257,0%
3110,60,233,0%
3171,60,249,0%
3232,60,250,0%
3293,60,242,0%
3354,60,253,0%
3415,60,246,0%
3476,60,227,0%
3537,60,253,0%
3598,60,245,0%
3659,60,227,0%
3720,60,231,0%
3781,60,251,0%
3842,60,244,0%
3903,60,241,0%
3964,60,253,0%
4025,60,250,0%
4086,60,241,0%
4147,60,258,0%
4208,60,242,0%
4269,60,237,0%
4330,60,241,0%
4391,60,240,0%
4452,60,234,0%
4513,60,240,0%
4574,60,241,0%
4635,60,259,0%
4696,60,263,0%
4757,60,231,0%
4818,60,238,0%
4879,60,243,0%
4940,60,248,0%
5001,60,245,0%
5062,60,255,0%
5123,60,247,0%
5184,60,248,0%
5245,60,250,0%
5306,60,228,0%
5367,60,257,0%
5428,60,245,0%
5489,60,238,0%
5550,60,248,0%
5611,60,224,0%
5672,60,249,0%
5733,60,216,0%
5794,60,242,0%
5855,60,232,0%
5916,60,244,0%
5977,60,245,0%
6038,60,237,0%
6099,60,249,0%
6160,60,235,0%
6221,60,230,0%
6282,60,238,0%
6343,60,228,0%
6404,60,237,0%
6465,60,251,0%
6526,60,227,0%
6587,60,235,0%
6648,60,244,0%
6709,60,242,0%
6770,60,237,0%
6831,60,245,0%
6892,60,251,0%
6953,60,253,0%
