,day,infected,type,type_pretty
0,0.0,0.0,Infected,0%
1,1.0,0.0,Infected,0%
2,2.0,1.4629,Infected,0%
3,3.0,4.298499999999999,Infected,0%
4,4.0,9.3608,Infected,0%
5,5.0,17.162300000000002,Infected,0%
6,6.0,27.605199999999996,Infected,0%
7,7.0,34.27649999999999,Infected,0%
8,8.0,37.9378,Infected,0%
9,9.0,43.1563,Infected,0%
10,10.0,48.6953,Infected,0%
11,11.0,54.729499999999994,Infected,0%
12,12.0,60.440900000000006,Infected,0%
13,13.0,65.1644,Infected,0%
14,14.0,66.0201,Infected,0%
15,15.0,64.5751,Infected,0%
16,16.0,61.655199999999994,Infected,0%
17,17.0,57.705400000000004,Infected,0%
18,18.0,53.70740000000001,Infected,0%
19,19.0,49.5531,Infected,0%
20,20.0,45.120200000000004,Infected,0%
21,21.0,40.4469,Infected,0%
22,22.0,30.2044,Infected,0%
23,23.0,27.6293,Infected,0%
24,24.0,25.2024,Infected,0%
25,25.0,23.186400000000003,Infected,0%
26,26.0,21.4288,Infected,0%
27,27.0,19.8397,Infected,0%
28,28.0,18.976,Infected,0%
29,29.0,12.4871,Infected,0%
30,30.0,13.3325,Infected,0%
31,31.0,14.7074,Infected,0%
32,32.0,16.248499999999996,Infected,0%
33,33.0,17.8938,Infected,0%
34,34.0,19.8677,Infected,0%
35,35.0,20.428800000000003,Infected,0%
36,36.0,19.7514,Infected,0%
37,37.0,19.7014,Infected,0%
38,38.0,19.7355,Infected,0%
39,39.0,19.9619,Infected,0%
40,40.0,20.108199999999997,Infected,0%
41,41.0,20.0541,Infected,0%
42,42.0,19.3989,Infected,0%
43,43.0,17.6392,Infected,0%
44,44.0,16.7956,Infected,0%
45,45.0,15.940000000000001,Infected,0%
46,46.0,15.3006,Infected,0%
47,47.0,14.607199999999999,Infected,0%
48,48.0,13.907900000000001,Infected,0%
49,49.0,13.1784,Infected,0%
50,50.0,10.783600000000002,Infected,0%
51,51.0,10.3727,Infected,0%
52,52.0,10.0701,Infected,0%
53,53.0,9.883799999999999,Infected,0%
54,54.0,9.6974,Infected,0%
55,55.0,9.591099999999999,Infected,0%
56,56.0,9.3186,Infected,0%
57,57.0,8.0601,Infected,0%
58,58.0,7.964,Infected,0%
59,59.0,7.8897,Infected,0%
60,60.0,7.8957999999999995,Infected,0%
61,0.0,0.0,Infected,10%
62,1.0,0.0,Infected,10%
63,2.0,1.2565,Infected,10%
64,3.0,3.7395,Infected,10%
65,4.0,7.969899999999999,Infected,10%
66,5.0,14.3907,Infected,10%
67,6.0,23.144299999999998,Infected,10%
68,7.0,28.7896,Infected,10%
69,8.0,32.1062,Infected,10%
70,9.0,36.1423,Infected,10%
71,10.0,41.50700000000001,Infected,10%
72,11.0,47.00989999999999,Infected,10%
73,12.0,52.3787,Infected,10%
74,13.0,57.56700000000001,Infected,10%
75,14.0,58.974000000000004,Infected,10%
76,15.0,57.8896,Infected,10%
77,16.0,55.7254,Infected,10%
78,17.0,52.92569999999999,Infected,10%
79,18.0,49.805600000000005,Infected,10%
80,19.0,46.6552,Infected,10%
81,20.0,43.2344,Infected,10%
82,21.0,39.483,Infected,10%
83,22.0,31.2864,Infected,10%
84,23.0,28.635199999999994,Infected,10%
85,24.0,26.1984,Infected,10%
86,25.0,24.1403,Infected,10%
87,26.0,22.432900000000004,Infected,10%
88,27.0,20.3727,Infected,10%
89,28.0,19.1102,Infected,10%
90,29.0,12.380699999999997,Infected,10%
91,30.0,12.883699999999997,Infected,10%
92,31.0,13.8036,Infected,10%
93,32.0,14.937899999999999,Infected,10%
94,33.0,16.2124,Infected,10%
95,34.0,17.6793,Infected,10%
96,35.0,18.2244,Infected,10%
97,36.0,17.026000000000003,Infected,10%
98,37.0,17.160300000000003,Infected,10%
99,38.0,17.402700000000003,Infected,10%
100,39.0,17.7014,Infected,10%
101,40.0,17.935700000000004,Infected,10%
102,41.0,18.228399999999997,Infected,10%
103,42.0,17.8717,Infected,10%
104,43.0,16.404700000000002,Infected,10%
105,44.0,15.977899999999998,Infected,10%
106,45.0,15.5109,Infected,10%
107,46.0,14.849599999999999,Infected,10%
108,47.0,14.310599999999999,Infected,10%
109,48.0,13.8476,Infected,10%
110,49.0,13.160299999999998,Infected,10%
111,50.0,11.168299999999997,Infected,10%
112,51.0,10.801499999999997,Infected,10%
113,52.0,10.4749,Infected,10%
114,53.0,10.366699999999998,Infected,10%
115,54.0,10.238400000000002,Infected,10%
116,55.0,10.040099999999999,Infected,10%
117,56.0,9.7075,Infected,10%
118,57.0,8.436900000000001,Infected,10%
119,58.0,8.212399999999999,Infected,10%
120,59.0,8.063999999999998,Infected,10%
121,60.0,8.062,Infected,10%
122,0.0,0.0,Infected,40%
123,1.0,0.0,Infected,40%
124,2.0,0.9178,Infected,40%
125,3.0,2.5008999999999997,Infected,40%
126,4.0,5.06,Infected,40%
127,5.0,8.503,Infected,40%
128,6.0,12.7835,Infected,40%
129,7.0,15.7414,Infected,40%
130,8.0,17.6553,Infected,40%
131,9.0,20.531100000000002,Infected,40%
132,10.0,24.0281,Infected,40%
133,11.0,28.184399999999997,Infected,40%
134,12.0,32.4508,Infected,40%
135,13.0,36.869600000000005,Infected,40%
136,14.0,38.511100000000006,Infected,40%
137,15.0,38.5371,Infected,40%
138,16.0,38.3728,Infected,40%
139,17.0,37.7113,Infected,40%
140,18.0,37.06420000000001,Infected,40%
141,19.0,36.2685,Infected,40%
142,20.0,35.3828,Infected,40%
