,day,values,values_type,type,type_pretty
0,0.0,1.4288999999999987,slope,Total infected derivative spline,0%
1,1.0,3.373750000000001,slope,Total infected derivative spline,0%
2,2.0,8.548000000000002,slope,Total infected derivative spline,0%
3,3.0,15.572099999999992,slope,Total infected derivative spline,0%
4,4.0,21.760549999999995,slope,Total infected derivative spline,0%
5,5.0,20.974999999999994,slope,Total infected derivative spline,0%
6,6.0,15.778649999999999,slope,Total infected derivative spline,0%
7,7.0,15.029150000000001,slope,Total infected derivative spline,0%
8,8.0,17.096100000000007,slope,Total infected derivative spline,0%
9,9.0,17.689250000000015,slope,Total infected derivative spline,0%
10,10.0,16.52404999999999,slope,Total infected derivative spline,0%
11,11.0,14.400850000000005,slope,Total infected derivative spline,0%
12,12.0,11.339650000000006,slope,Total infected derivative spline,0%
13,13.0,8.232399999999998,slope,Total infected derivative spline,0%
14,14.0,6.343800000000002,slope,Total infected derivative spline,0%
15,15.0,5.240549999999985,slope,Total infected derivative spline,0%
16,16.0,4.224400000000003,slope,Total infected derivative spline,0%
17,17.0,3.3086000000000126,slope,Total infected derivative spline,0%
18,18.0,2.7655500000000046,slope,Total infected derivative spline,0%
19,19.0,2.18334999999999,slope,Total infected derivative spline,0%
20,20.0,1.548099999999991,slope,Total infected derivative spline,0%
21,21.0,1.3286999999999978,slope,Total infected derivative spline,0%
22,22.0,1.4168499999999966,slope,Total infected derivative spline,0%
23,23.0,1.4989500000000078,slope,Total infected derivative spline,0%
24,24.0,1.5781000000000063,slope,Total infected derivative spline,0%
25,25.0,1.598150000000004,slope,Total infected derivative spline,0%
26,26.0,1.3817999999999984,slope,Total infected derivative spline,0%
27,27.0,1.0762,slope,Total infected derivative spline,0%
28,28.0,1.0391000000000048,slope,Total infected derivative spline,0%
29,29.0,1.1162499999999937,slope,Total infected derivative spline,0%
30,30.0,1.1372499999999945,slope,Total infected derivative spline,0%
31,31.0,1.1593500000000034,slope,Total infected derivative spline,0%
32,32.0,1.112250000000003,slope,Total infected derivative spline,0%
33,33.0,0.9308499999999924,slope,Total infected derivative spline,0%
34,34.0,0.7284999999999968,slope,Total infected derivative spline,0%
35,35.0,0.6993999999999971,slope,Total infected derivative spline,0%
36,36.0,0.6853000000000122,slope,Total infected derivative spline,0%
37,37.0,0.6463500000000124,slope,Total infected derivative spline,0%
38,38.0,0.6743999999999915,slope,Total infected derivative spline,0%
39,39.0,0.6352499999999992,slope,Total infected derivative spline,0%
40,40.0,0.5169500000000085,slope,Total infected derivative spline,0%
41,41.0,0.38674999999999216,slope,Total infected derivative spline,0%
42,42.0,0.3196999999999832,slope,Total infected derivative spline,0%
43,43.0,0.32560000000000855,slope,Total infected derivative spline,0%
44,44.0,0.323599999999999,slope,Total infected derivative spline,0%
45,45.0,0.30459999999999354,slope,Total infected derivative spline,0%
46,46.0,0.27155000000000484,slope,Total infected derivative spline,0%
47,47.0,0.24750000000000227,slope,Total infected derivative spline,0%
48,48.0,0.23345000000000482,slope,Total infected derivative spline,0%
49,49.0,0.1843499999999949,slope,Total infected derivative spline,0%
50,50.0,0.17234999999999445,slope,Total infected derivative spline,0%
51,51.0,0.16440000000000055,slope,Total infected derivative spline,0%
52,52.0,0.1703499999999991,slope,Total infected derivative spline,0%
53,53.0,0.19635000000000957,slope,Total infected derivative spline,0%
54,54.0,0.17535000000000878,slope,Total infected derivative spline,0%
55,55.0,0.12330000000000041,slope,Total infected derivative spline,0%
56,56.0,0.0952000000000055,slope,Total infected derivative spline,0%
57,57.0,0.11419999999999675,slope,Total infected derivative spline,0%
58,58.0,0.12224999999999397,slope,Total infected derivative spline,0%
59,59.0,0.11220000000000141,slope,Total infected derivative spline,0%
60,60.0,,slope,Total infected derivative spline,0%
61,0.0,,trend,Total infected derivative spline,0%
62,1.0,,trend,Total infected derivative spline,0%
63,2.0,,trend,Total infected derivative spline,0%
64,3.0,12.490992857142853,trend,Total infected derivative spline,0%
65,4.0,14.433885714285712,trend,Total infected derivative spline,0%
66,5.0,16.394221428571424,trend,Total infected derivative spline,0%
67,6.0,17.700114285714285,trend,Total infected derivative spline,0%
68,7.0,17.83610714285714,trend,Total infected derivative spline,0%
69,8.0,16.78472142857143,trend,Total infected derivative spline,0%
70,9.0,15.408242857142861,trend,Total infected derivative spline,0%
71,10.0,14.330207142857146,trend,Total infected derivative spline,0%
72,11.0,13.089442857142862,trend,Total infected derivative spline,0%
73,12.0,11.395792857142858,trend,Total infected derivative spline,0%
74,13.0,9.472242857142856,trend,Total infected derivative spline,0%
75,14.0,7.58432142857143,trend,Total infected derivative spline,0%
76,15.0,5.922135714285716,trend,Total infected derivative spline,0%
77,16.0,4.6140928571428566,trend,Total infected derivative spline,0%
78,17.0,3.6591928571428554,trend,Total infected derivative spline,0%
79,18.0,2.9427499999999975,trend,Total infected derivative spline,0%
80,19.0,2.3965071428571423,trend,Total infected derivative spline,0%
81,20.0,2.007157142857143,trend,Total infected derivative spline,0%
82,21.0,1.7599428571428561,trend,Total infected derivative spline,0%
83,22.0,1.5931714285714276,trend,Total infected derivative spline,0%
84,23.0,1.478664285714286,trend,Total infected derivative spline,0%
85,24.0,1.4112500000000014,trend,Total infected derivative spline,0%
86,25.0,1.369878571428574,trend,Total infected derivative spline,0%
87,26.0,1.326935714285716,trend,Total infected derivative spline,0%
88,27.0,1.2752642857142857,trend,Total infected derivative spline,0%
89,28.0,1.215442857142857,trend,Total infected derivative spline,0%
90,29.0,1.146028571428571,trend,Total infected derivative spline,0%
91,30.0,1.0816071428571417,trend,Total infected derivative spline,0%
92,31.0,1.0319357142857126,trend,Total infected derivative spline,0%
93,32.0,0.9834071428571401,trend,Total infected derivative spline,0%
94,33.0,0.9218428571428572,trend,Total infected derivative spline,0%
95,34.0,0.8517142857142882,trend,Total infected derivative spline,0%
96,35.0,0.782435714285715,trend,Total infected derivative spline,0%
97,36.0,0.7142928571428574,trend,Total infected derivative spline,0%
98,37.0,0.6551642857142882,trend,Total infected derivative spline,0%
99,38.0,0.6063428571428591,trend,Total infected derivative spline,0%
100,39.0,0.5520999999999998,trend,Total infected derivative spline,0%
101,40.0,0.500714285714285,trend,Total infected derivative spline,0%
102,41.0,0.4546071428571402,trend,Total infected derivative spline,0%
103,42.0,0.40177857142856915,trend,Total infected derivative spline,0%
104,43.0,0.3498214285714271,trend,Total infected derivative spline,0%
105,44.0,0.31132857142856907,trend,Total infected derivative spline,0%
106,45.0,0.2894285714285708,trend,Total infected derivative spline,0%
107,46.0,0.27009285714285824,trend,Total infected derivative spline,0%
108,47.0,0.24819999999999906,trend,Total infected derivative spline,0%
109,48.0,0.22545714285714216,trend,Total infected derivative spline,0%
110,49.0,0.20627857142857153,trend,Total infected derivative spline,0%
111,50.0,0.1955357142857151,trend,Total infected derivative spline,0%
112,51.0,0.18522857142857313,trend,Total infected derivative spline,0%
113,52.0,0.16949285714285825,trend,Total infected derivative spline,0%
114,53.0,0.15675714285714545,trend,Total infected derivative spline,0%
115,54.0,0.14845000000000297,trend,Total infected derivative spline,0%
116,55.0,0.14242857142857343,trend,Total infected derivative spline,0%
117,56.0,0.1341214285714309,trend,Total infected derivative spline,0%
118,57.0,,trend,Total infected derivative spline,0%
119,58.0,,trend,Total infected derivative spline,0%
120,59.0,,trend,Total infected derivative spline,0%
121,60.0,0.8301302874854841,trend,Total infected derivative spline,0%
122,0.0,0.942431399458479,seasonal,Total infected derivative spline,0%
123,1.0,1.0150568984300825,seasonal,Total infected derivative spline,0%
124,2.0,1.0991879725280982,seasonal,Total infected derivative spline,0%
125,3.0,1.1670962839618642,seasonal,Total infected derivative spline,0%
126,4.0,1.065401033237285,seasonal,Total infected derivative spline,0%
127,5.0,0.8806961248987071,seasonal,Total infected derivative spline,0%
128,6.0,0.8301302874854841,seasonal,Total infected derivative spline,0%
129,7.0,0.942431399458479,seasonal,Total infected derivative spline,0%
130,8.0,1.0150568984300825,seasonal,Total infected derivative spline,0%
131,9.0,1.0991879725280982,seasonal,Total infected derivative spline,0%
132,10.0,1.1670962839618642,seasonal,Total infected derivative spline,0%
133,11.0,1.065401033237285,seasonal,Total infected derivative spline,0%
134,12.0,0.8806961248987071,seasonal,Total infected derivative spline,0%
135,13.0,0.8301302874854841,seasonal,Total infected derivative spline,0%
136,14.0,0.942431399458479,seasonal,Total infected derivative spline,0%
137,15.0,1.0150568984300825,seasonal,Total infected derivative spline,0%
138,16.0,1.0991879725280982,seasonal,Total infected derivative spline,0%
139,17.0,1.1670962839618642,seasonal,Total infected derivative spline,0%
140,18.0,1.065401033237285,seasonal,Total infected derivative spline,0%
141,19.0,0.8806961248987071,seasonal,Total infected derivative spline,0%
142,20.0,0.8301302874854841,seasonal,Total infected derivative spline,0%
143,21.0,0.942431399458479,seasonal,Total infected derivative spline,0%
144,22.0,1.0150568984300825,seasonal,Total infected derivative spline,0%
145,23.0,1.0991879725280982,seasonal,Total infected derivative spline,0%
146,24.0,1.1670962839618642,seasonal,Total infected derivative spline,0%
147,25.0,1.065401033237285,seasonal,Total infected derivative spline,0%
148,26.0,0.8806961248987071,seasonal,Total infected derivative spline,0%
149,27.0,0.8301302874854841,seasonal,Total infected derivative spline,0%
150,28.0,0.942431399458479,seasonal,Total infected derivative spline,0%
151,29.0,1.0150568984300825,seasonal,Total infected derivative spline,0%
152,30.0,1.0991879725280982,seasonal,Total infected derivative spline,0%
153,31.0,1.1670962839618642,seasonal,Total infected derivative spline,0%
154,32.0,1.065401033237285,seasonal,Total infected derivative spline,0%
155,33.0,0.8806961248987071,seasonal,Total infected derivative spline,0%
156,34.0,0.8301302874854841,seasonal,Total infected derivative spline,0%
157,35.0,0.942431399458479,seasonal,Total infected derivative spline,0%
158,36.0,1.0150568984300825,seasonal,Total infected derivative spline,0%
159,37.0,1.0991879725280982,seasonal,Total infected derivative spline,0%
160,38.0,1.1670962839618642,seasonal,Total infected derivative spline,0%
161,39.0,1.065401033237285,seasonal,Total infected derivative spline,0%
162,40.0,0.8806961248987071,seasonal,Total infected derivative spline,0%
163,41.0,0.8301302874854841,seasonal,Total infected derivative spline,0%
164,42.0,0.942431399458479,seasonal,Total infected derivative spline,0%
165,43.0,1.0150568984300825,seasonal,Total infected derivative spline,0%
166,44.0,1.0991879725280982,seasonal,Total infected derivative spline,0%
167,45.0,1.1670962839618642,seasonal,Total infected derivative spline,0%
168,46.0,1.065401033237285,seasonal,Total infected derivative spline,0%
169,47.0,0.8806961248987071,seasonal,Total infected derivative spline,0%
170,48.0,0.8301302874854841,seasonal,Total infected derivative spline,0%
171,49.0,0.942431399458479,seasonal,Total infected derivative spline,0%
172,50.0,1.0150568984300825,seasonal,Total infected derivative spline,0%
173,51.0,1.0991879725280982,seasonal,Total infected derivative spline,0%
174,52.0,1.1670962839618642,seasonal,Total infected derivative spline,0%
175,53.0,1.065401033237285,seasonal,Total infected derivative spline,0%
176,54.0,0.8806961248987071,seasonal,Total infected derivative spline,0%
177,55.0,0.8301302874854841,seasonal,Total infected derivative spline,0%
178,56.0,0.942431399458479,seasonal,Total infected derivative spline,0%
179,57.0,1.0150568984300825,seasonal,Total infected derivative spline,0%
180,58.0,1.0991879725280982,seasonal,Total infected derivative spline,0%
181,59.0,,seasonal,Total infected derivative spline,0%
182,60.0,,seasonal,Total infected derivative spline,0%
183,0.0,,resid,Total infected derivative spline,0%
184,1.0,1.134170263215477,resid,Total infected derivative spline,0%
185,2.0,1.2917543105441764,resid,Total infected derivative spline,0%
186,3.0,1.2008757066795426,resid,Total infected derivative spline,0%
187,4.0,1.012203155492861,resid,Total infected derivative spline,0%
188,5.0,1.0150515225950987,resid,Total infected derivative spline,0%
189,6.0,1.080769709754441,resid,Total infected derivative spline,0%
190,7.0,1.131008627445031,resid,Total infected derivative spline,0%
191,8.0,1.0490400397200366,resid,Total infected derivative spline,0%
192,9.0,0.942671286948252,resid,Total infected derivative spline,0%
193,10.0,0.9339894919992644,resid,Total infected derivative spline,0%
194,11.0,0.9868418396832996,resid,Total infected derivative spline,0%
195,12.0,1.0075961344613817,resid,Total infected derivative spline,0%
196,13.0,0.9389636201593538,resid,Total infected derivative spline,0%
197,14.0,0.9019621571009296,resid,Total infected derivative spline,0%
198,15.0,0.8225967669549189,resid,Total infected derivative spline,0%
199,16.0,0.8052328058611552,resid,Total infected derivative spline,0%
200,17.0,0.8551287719446625,resid,Total infected derivative spline,0%
201,18.0,0.8757729962153175,resid,Total infected derivative spline,0%
202,19.0,0.9094568709727887,resid,Total infected derivative spline,0%
203,20.0,0.9436514637744482,resid,Total infected derivative spline,0%
204,21.0,0.9986818933548163,resid,Total infected derivative spline,0%
205,22.0,1.017322376847877,resid,Total infected derivative spline,0%
206,23.0,0.9996058306219096,resid,Total infected derivative spline,0%
207,24.0,0.9774221834460094,resid,Total infected derivative spline,0%
208,25.0,0.958223251740488,resid,Total infected derivative spline,0%
209,26.0,1.0298560854914887,resid,Total infected derivative spline,0%
210,27.0,1.033513799051332,resid,Total infected derivative spline,0%
211,28.0,1.0358479521383184,resid,Total infected derivative spline,0%
212,29.0,1.0220919210701653,resid,Total infected derivative spline,0%
213,30.0,0.9690861120321383,resid,Total infected derivative spline,0%
214,31.0,0.9477847019323774,resid,Total infected derivative spline,0%
215,32.0,0.9712019349567401,resid,Total infected derivative spline,0%
216,33.0,1.0767892294537265,resid,Total infected derivative spline,0%
217,34.0,1.0180161722616998,resid,Total infected derivative spline,0%
218,35.0,0.9719124624070266,resid,Total infected derivative spline,0%
219,36.0,1.011876076525139,resid,Total infected derivative spline,0%
220,37.0,0.9858713372209799,resid,Total infected derivative spline,0%
221,38.0,0.9690483440333703,resid,Total infected derivative spline,0%
222,39.0,0.9659796598593822,resid,Total infected derivative spline,0%
223,40.0,0.9585386002211255,resid,Total infected derivative spline,0%
224,41.0,0.9876162792047141,resid,Total infected derivative spline,0%
225,42.0,1.0239980910931383,resid,Total infected derivative spline,0%
226,43.0,0.9574509410941573,resid,Total infected derivative spline,0%
227,44.0,0.8614498938947303,resid,Total infected derivative spline,0%
228,45.0,0.9359665165382363,resid,Total infected derivative spline,0%
229,46.0,1.175719696312457,resid,Total infected derivative spline,0%
230,47.0,1.0765712243873642,resid,Total infected derivative spline,0%
231,48.0,0.9352666496900264,resid,Total infected derivative spline,0%
232,49.0,0.874386510356756,resid,Total infected derivative spline,0%
233,50.0,0.9143632647391048,resid,Total infected derivative spline,0%
234,51.0,1.0732400730435332,resid,Total infected derivative spline,0%
235,52.0,1.1086959335934123,resid,Total infected derivative spline,0%
236,53.0,0.9829691159063293,resid,Total infected derivative spline,0%
237,54.0,0.8550519825839004,resid,Total infected derivative spline,0%
238,55.0,,resid,Total infected derivative spline,0%
239,56.0,,resid,Total infected derivative spline,0%
240,57.0,,resid,Total infected derivative spline,0%
