,day,slope,type,type_pretty,vaccine_efficacy,prevalence
0,0.0,0.07819999999998117,Total infected derivative,0%,Vaccine Efficacy 100%,Low
1,1.0,0.1803499999999758,Total infected derivative,0%,Vaccine Efficacy 100%,Low
2,2.0,0.49295000000000755,Total infected derivative,0%,Vaccine Efficacy 100%,Low
3,3.0,1.0190500000000213,Total infected derivative,0%,Vaccine Efficacy 100%,Low
4,4.0,1.7134499999999946,Total infected derivative,0%,Vaccine Efficacy 100%,Low
5,5.0,1.8456500000000062,Total infected derivative,0%,Vaccine Efficacy 100%,Low
6,6.0,1.397750000000002,Total infected derivative,0%,Vaccine Efficacy 100%,Low
7,7.0,2.334699999999998,Total infected derivative,0%,Vaccine Efficacy 100%,Low
8,8.0,4.2856000000000165,Total infected derivative,0%,Vaccine Efficacy 100%,Low
9,9.0,5.921850000000006,Total infected derivative,0%,Vaccine Efficacy 100%,Low
10,10.0,7.506049999999988,Total infected derivative,0%,Vaccine Efficacy 100%,Low
11,11.0,9.064099999999996,Total infected derivative,0%,Vaccine Efficacy 100%,Low
12,12.0,8.500949999999989,Total infected derivative,0%,Vaccine Efficacy 100%,Low
13,13.0,6.161349999999985,Total infected derivative,0%,Vaccine Efficacy 100%,Low
14,14.0,7.628300000000024,Total infected derivative,0%,Vaccine Efficacy 100%,Low
15,15.0,11.271550000000005,Total infected derivative,0%,Vaccine Efficacy 100%,Low
16,16.0,12.916799999999995,Total infected derivative,0%,Vaccine Efficacy 100%,Low
17,17.0,13.730450000000005,Total infected derivative,0%,Vaccine Efficacy 100%,Low
18,18.0,14.367750000000001,Total infected derivative,0%,Vaccine Efficacy 100%,Low
19,19.0,12.5,Total infected derivative,0%,Vaccine Efficacy 100%,Low
20,20.0,8.875749999999996,Total infected derivative,0%,Vaccine Efficacy 100%,Low
21,21.0,9.353700000000003,Total infected derivative,0%,Vaccine Efficacy 100%,Low
22,22.0,11.537099999999995,Total infected derivative,0%,Vaccine Efficacy 100%,Low
23,23.0,11.518050000000002,Total infected derivative,0%,Vaccine Efficacy 100%,Low
24,24.0,10.789549999999991,Total infected derivative,0%,Vaccine Efficacy 100%,Low
25,25.0,9.980949999999993,Total infected derivative,0%,Vaccine Efficacy 100%,Low
26,26.0,8.233500000000006,Total infected derivative,0%,Vaccine Efficacy 100%,Low
27,27.0,5.856750000000005,Total infected derivative,0%,Vaccine Efficacy 100%,Low
28,28.0,5.408799999999999,Total infected derivative,0%,Vaccine Efficacy 100%,Low
29,29.0,5.68634999999999,Total infected derivative,0%,Vaccine Efficacy 100%,Low
30,30.0,5.118250000000003,Total infected derivative,0%,Vaccine Efficacy 100%,Low
31,31.0,4.3186000000000035,Total infected derivative,0%,Vaccine Efficacy 100%,Low
32,32.0,3.6212000000000018,Total infected derivative,0%,Vaccine Efficacy 100%,Low
33,33.0,2.905850000000001,Total infected derivative,0%,Vaccine Efficacy 100%,Low
34,34.0,2.0751499999999936,Total infected derivative,0%,Vaccine Efficacy 100%,Low
35,35.0,1.7395000000000067,Total infected derivative,0%,Vaccine Efficacy 100%,Low
36,36.0,1.6142500000000126,Total infected derivative,0%,Vaccine Efficacy 100%,Low
37,37.0,1.3777499999999918,Total infected derivative,0%,Vaccine Efficacy 100%,Low
