,day,slope,type,type_pretty,vaccine_efficacy,prevalence
0,0.0,0.07809999999994943,Total infected derivative,0%,Vaccine Efficacy 100%,Low
1,1.0,0.15629999999998745,Total infected derivative,0%,Vaccine Efficacy 100%,Low
2,2.0,0.4389000000000465,Total infected derivative,0%,Vaccine Efficacy 100%,Low
3,3.0,0.9148500000000013,Total infected derivative,0%,Vaccine Efficacy 100%,Low
4,4.0,1.5351,Total infected derivative,0%,Vaccine Efficacy 100%,Low
5,5.0,1.701400000000035,Total infected derivative,0%,Vaccine Efficacy 100%,Low
6,6.0,1.298599999999965,Total infected derivative,0%,Vaccine Efficacy 100%,Low
7,7.0,2.1943999999999733,Total infected derivative,0%,Vaccine Efficacy 100%,Low
8,8.0,4.3677000000000135,Total infected derivative,0%,Vaccine Efficacy 100%,Low
9,9.0,6.172300000000007,Total infected derivative,0%,Vaccine Efficacy 100%,Low
10,10.0,7.885750000000002,Total infected derivative,0%,Vaccine Efficacy 100%,Low
11,11.0,9.955949999999987,Total infected derivative,0%,Vaccine Efficacy 100%,Low
12,12.0,9.438900000000004,Total infected derivative,0%,Vaccine Efficacy 100%,Low
13,13.0,6.801600000000008,Total infected derivative,0%,Vaccine Efficacy 100%,Low
14,14.0,8.632249999999985,Total infected derivative,0%,Vaccine Efficacy 100%,Low
15,15.0,12.903800000000004,Total infected derivative,0%,Vaccine Efficacy 100%,Low
16,16.0,14.853700000000003,Total infected derivative,0%,Vaccine Efficacy 100%,Low
17,17.0,15.503,Total infected derivative,0%,Vaccine Efficacy 100%,Low
18,18.0,15.76355000000001,Total infected derivative,0%,Vaccine Efficacy 100%,Low
19,19.0,13.718450000000004,Total infected derivative,0%,Vaccine Efficacy 100%,Low
20,20.0,9.860699999999994,Total infected derivative,0%,Vaccine Efficacy 100%,Low
21,21.0,9.836649999999992,Total infected derivative,0%,Vaccine Efficacy 100%,Low
22,22.0,11.5261,Total infected derivative,0%,Vaccine Efficacy 100%,Low
23,23.0,10.947900000000004,Total infected derivative,0%,Vaccine Efficacy 100%,Low
24,24.0,10.046050000000008,Total infected derivative,0%,Vaccine Efficacy 100%,Low
25,25.0,9.312600000000003,Total infected derivative,0%,Vaccine Efficacy 100%,Low
26,26.0,7.553149999999988,Total infected derivative,0%,Vaccine Efficacy 100%,Low
27,27.0,5.280599999999993,Total infected derivative,0%,Vaccine Efficacy 100%,Low
28,28.0,4.703400000000016,Total infected derivative,0%,Vaccine Efficacy 100%,Low
29,29.0,4.803600000000003,Total infected derivative,0%,Vaccine Efficacy 100%,Low
30,30.0,4.1632999999999925,Total infected derivative,0%,Vaccine Efficacy 100%,Low
31,31.0,3.513999999999996,Total infected derivative,0%,Vaccine Efficacy 100%,Low
32,32.0,3.0039999999999907,Total infected derivative,0%,Vaccine Efficacy 100%,Low
33,33.0,2.3637500000000102,Total infected derivative,0%,Vaccine Efficacy 100%,Low
34,34.0,1.7134500000000088,Total infected derivative,0%,Vaccine Efficacy 100%,Low
35,35.0,1.4037999999999897,Total infected derivative,0%,Vaccine Efficacy 100%,Low
36,36.0,1.1662999999999926,Total infected derivative,0%,Vaccine Efficacy 100%,Low
37,37.0,0.9027999999999992,Total infected derivative,0%,Vaccine Efficacy 100%,Low
38,38.0,0.8006000000000029,Total infected derivative,0%,Vaccine Efficacy 100%,Low
39,39.0,0.6864000000000061,Total infected derivative,0%,Vaccine Efficacy 100%,Low
40,40.0,0.5020000000000095,Total infected derivative,0%,Vaccine Efficacy 100%,Low
41,41.0,0.354699999999994,Total infected derivative,0%,Vaccine Efficacy 100%,Low
42,42.0,0.289599999999993,Total infected derivative,0%,Vaccine Efficacy 100%,Low
43,43.0,0.25849999999999795,Total infected derivative,0%,Vaccine Efficacy 100%,Low
44,44.0,0.19840000000000657,Total infected derivative,0%,Vaccine Efficacy 100%,Low
45,45.0,0.14230000000000587,Total infected derivative,0%,Vaccine Efficacy 100%,Low
46,46.0,0.09014999999999418,Total infected derivative,0%,Vaccine Efficacy 100%,Low
47,47.0,0.08214999999999861,Total infected derivative,0%,Vaccine Efficacy 100%,Low
48,48.0,0.058149999999997704,Total infected derivative,0%,Vaccine Efficacy 100%,Low
49,49.0,0.03810000000000002,Total infected derivative,0%,Vaccine Efficacy 100%,Low
50,50.0,0.036100000000004684,Total infected derivative,0%,Vaccine Efficacy 100%,Low
51,51.0,0.025050000000007344,Total infected derivative,0%,Vaccine Efficacy 100%,Low
52,52.0,0.015000000000000568,Total infected derivative,0%,Vaccine Efficacy 100%,Low
53,53.0,0.01099999999999568,Total infected derivative,0%,Vaccine Efficacy 100%,Low
54,54.0,0.012050000000002115,Total infected derivative,0%,Vaccine Efficacy 100%,Low
55,55.0,0.007049999999992451,Total infected derivative,0%,Vaccine Efficacy 100%,Low
56,56.0,0.003999999999990678,Total infected derivative,0%,Vaccine Efficacy 100%,Low
57,57.0,0.005000000000009663,Total infected derivative,0%,Vaccine Efficacy 100%,Low
58,58.0,0.0020000000000095497,Total infected derivative,0%,Vaccine Efficacy 100%,Low
59,59.0,0.0,Total infected derivative,0%,Vaccine Efficacy 100%,Low
60,60.0,,Total infected derivative,0%,Vaccine Efficacy 100%,Low
61,0.0,0.07619999999997162,Total infected derivative,10%,Vaccine Efficacy 100%,Low
62,1.0,0.167349999999999,Total infected derivative,10%,Vaccine Efficacy 100%,Low
63,2.0,0.4849500000000262,Total infected derivative,10%,Vaccine Efficacy 100%,Low
64,3.0,1.0090000000000146,Total infected derivative,10%,Vaccine Efficacy 100%,Low
65,4.0,1.6132499999999936,Total infected derivative,10%,Vaccine Efficacy 100%,Low
66,5.0,1.6623500000000035,Total infected derivative,10%,Vaccine Efficacy 100%,Low
67,6.0,1.2124000000000024,Total infected derivative,10%,Vaccine Efficacy 100%,Low
68,7.0,1.9568999999999903,Total infected derivative,10%,Vaccine Efficacy 100%,Low
69,8.0,3.776549999999986,Total infected derivative,10%,Vaccine Efficacy 100%,Low
70,9.0,5.163350000000008,Total infected derivative,10%,Vaccine Efficacy 100%,Low
71,10.0,6.266549999999995,Total infected derivative,10%,Vaccine Efficacy 100%,Low
72,11.0,7.764499999999984,Total infected derivative,10%,Vaccine Efficacy 100%,Low
73,12.0,7.365750000000006,Total infected derivative,10%,Vaccine Efficacy 100%,Low
74,13.0,5.198399999999992,Total infected derivative,10%,Vaccine Efficacy 100%,Low
75,14.0,6.718400000000003,Total infected derivative,10%,Vaccine Efficacy 100%,Low
76,15.0,10.274550000000005,Total infected derivative,10%,Vaccine Efficacy 100%,Low
77,16.0,11.771550000000005,Total infected derivative,10%,Vaccine Efficacy 100%,Low
78,17.0,12.424850000000006,Total infected derivative,10%,Vaccine Efficacy 100%,Low
79,18.0,13.031049999999993,Total infected derivative,10%,Vaccine Efficacy 100%,Low
80,19.0,11.404799999999994,Total infected derivative,10%,Vaccine Efficacy 100%,Low
81,20.0,8.12530000000001,Total infected derivative,10%,Vaccine Efficacy 100%,Low
82,21.0,8.568150000000003,Total infected derivative,10%,Vaccine Efficacy 100%,Low
83,22.0,10.398799999999994,Total infected derivative,10%,Vaccine Efficacy 100%,Low
84,23.0,10.239450000000005,Total infected derivative,10%,Vaccine Efficacy 100%,Low
85,24.0,9.525000000000006,Total infected derivative,10%,Vaccine Efficacy 100%,Low
86,25.0,8.639299999999992,Total infected derivative,10%,Vaccine Efficacy 100%,Low
87,26.0,7.0811999999999955,Total infected derivative,10%,Vaccine Efficacy 100%,Low
88,27.0,5.078149999999994,Total infected derivative,10%,Vaccine Efficacy 100%,Low
89,28.0,4.705399999999997,Total infected derivative,10%,Vaccine Efficacy 100%,Low
90,29.0,4.942900000000009,Total infected derivative,10%,Vaccine Efficacy 100%,Low
91,30.0,4.489000000000004,Total infected derivative,10%,Vaccine Efficacy 100%,Low
92,31.0,4.031049999999993,Total infected derivative,10%,Vaccine Efficacy 100%,Low
93,32.0,3.552049999999994,Total infected derivative,10%,Vaccine Efficacy 100%,Low
94,33.0,2.8507000000000033,Total infected derivative,10%,Vaccine Efficacy 100%,Low
95,34.0,2.012050000000002,Total infected derivative,10%,Vaccine Efficacy 100%,Low
96,35.0,1.683400000000006,Total infected derivative,10%,Vaccine Efficacy 100%,Low
97,36.0,1.6623500000000035,Total infected derivative,10%,Vaccine Efficacy 100%,Low
98,37.0,1.4619,Total infected derivative,10%,Vaccine Efficacy 100%,Low
99,38.0,1.2464499999999958,Total infected derivative,10%,Vaccine Efficacy 100%,Low
100,39.0,1.074150000000003,Total infected derivative,10%,Vaccine Efficacy 100%,Low
101,40.0,0.8837999999999937,Total infected derivative,10%,Vaccine Efficacy 100%,Low
102,41.0,0.6262499999999989,Total infected derivative,10%,Vaccine Efficacy 100%,Low
