,day,slope,type,type_pretty,vaccine_efficacy,prevalence
0,0.0,0.07810000000000628,Total infected derivative,0%,Vaccine Efficacy 100%,Low
1,1.0,0.11619999999999209,Total infected derivative,0%,Vaccine Efficacy 100%,Low
2,2.0,0.22450000000000614,Total infected derivative,0%,Vaccine Efficacy 100%,Low
3,3.0,0.3968500000000006,Total infected derivative,0%,Vaccine Efficacy 100%,Low
4,4.0,0.5951499999999896,Total infected derivative,0%,Vaccine Efficacy 100%,Low
5,5.0,0.6312000000000069,Total infected derivative,0%,Vaccine Efficacy 100%,Low
6,6.0,0.5471000000000004,Total infected derivative,0%,Vaccine Efficacy 100%,Low
7,7.0,0.7706000000000017,Total infected derivative,0%,Vaccine Efficacy 100%,Low
8,8.0,1.234499999999997,Total infected derivative,0%,Vaccine Efficacy 100%,Low
9,9.0,1.6893999999999778,Total infected derivative,0%,Vaccine Efficacy 100%,Low
10,10.0,2.1683500000000038,Total infected derivative,0%,Vaccine Efficacy 100%,Low
11,11.0,2.7064000000000306,Total infected derivative,0%,Vaccine Efficacy 100%,Low
12,12.0,2.5971999999999866,Total infected derivative,0%,Vaccine Efficacy 100%,Low
13,13.0,1.8867500000000064,Total infected derivative,0%,Vaccine Efficacy 100%,Low
14,14.0,1.9769000000000005,Total infected derivative,0%,Vaccine Efficacy 100%,Low
15,15.0,2.637299999999982,Total infected derivative,0%,Vaccine Efficacy 100%,Low
16,16.0,3.2334999999999923,Total infected derivative,0%,Vaccine Efficacy 100%,Low
17,17.0,3.809650000000005,Total infected derivative,0%,Vaccine Efficacy 100%,Low
18,18.0,4.2555000000000405,Total infected derivative,0%,Vaccine Efficacy 100%,Low
19,19.0,3.855649999999997,Total infected derivative,0%,Vaccine Efficacy 100%,Low
20,20.0,2.8286999999999836,Total infected derivative,0%,Vaccine Efficacy 100%,Low
21,21.0,2.869749999999982,Total infected derivative,0%,Vaccine Efficacy 100%,Low
22,22.0,3.599199999999996,Total infected derivative,0%,Vaccine Efficacy 100%,Low
23,23.0,4.0991499999999945,Total infected derivative,0%,Vaccine Efficacy 100%,Low
24,24.0,4.522000000000006,Total infected derivative,0%,Vaccine Efficacy 100%,Low
25,25.0,4.833650000000034,Total infected derivative,0%,Vaccine Efficacy 100%,Low
26,26.0,4.288600000000002,Total infected derivative,0%,Vaccine Efficacy 100%,Low
27,27.0,3.0811499999999796,Total infected derivative,0%,Vaccine Efficacy 100%,Low
28,28.0,2.957849999999979,Total infected derivative,0%,Vaccine Efficacy 100%,Low
29,29.0,3.5992500000000263,Total infected derivative,0%,Vaccine Efficacy 100%,Low
30,30.0,3.9009000000000214,Total infected derivative,0%,Vaccine Efficacy 100%,Low
31,31.0,4.052050000000008,Total infected derivative,0%,Vaccine Efficacy 100%,Low
32,32.0,4.190300000000022,Total infected derivative,0%,Vaccine Efficacy 100%,Low
33,33.0,3.6884499999999747,Total infected derivative,0%,Vaccine Efficacy 100%,Low
34,34.0,2.686349999999976,Total infected derivative,0%,Vaccine Efficacy 100%,Low
35,35.0,2.545050000000032,Total infected derivative,0%,Vaccine Efficacy 100%,Low
36,36.0,3.0370999999999952,Total infected derivative,0%,Vaccine Efficacy 100%,Low
37,37.0,3.2404999999999404,Total infected derivative,0%,Vaccine Efficacy 100%,Low
38,38.0,3.325649999999996,Total infected derivative,0%,Vaccine Efficacy 100%,Low
39,39.0,3.521050000000045,Total infected derivative,0%,Vaccine Efficacy 100%,Low
40,40.0,3.113250000000022,Total infected derivative,0%,Vaccine Efficacy 100%,Low
41,41.0,2.254449999999977,Total infected derivative,0%,Vaccine Efficacy 100%,Low
42,42.0,2.065049999999971,Total infected derivative,0%,Vaccine Efficacy 100%,Low
43,43.0,2.454950000000011,Total infected derivative,0%,Vaccine Efficacy 100%,Low
44,44.0,2.7726000000000113,Total infected derivative,0%,Vaccine Efficacy 100%,Low
45,45.0,2.901849999999996,Total infected derivative,0%,Vaccine Efficacy 100%,Low
46,46.0,2.882800000000003,Total infected derivative,0%,Vaccine Efficacy 100%,Low
47,47.0,2.434849999999983,Total infected derivative,0%,Vaccine Efficacy 100%,Low
48,48.0,1.778499999999994,Total infected derivative,0%,Vaccine Efficacy 100%,Low
49,49.0,1.6062000000000154,Total infected derivative,0%,Vaccine Efficacy 100%,Low
50,50.0,1.8607999999999976,Total infected derivative,0%,Vaccine Efficacy 100%,Low
51,51.0,2.074150000000003,Total infected derivative,0%,Vaccine Efficacy 100%,Low
52,52.0,2.1893499999999904,Total infected derivative,0%,Vaccine Efficacy 100%,Low
53,53.0,2.196450000000013,Total infected derivative,0%,Vaccine Efficacy 100%,Low
54,54.0,1.8987500000000068,Total infected derivative,0%,Vaccine Efficacy 100%,Low
55,55.0,1.4417999999999722,Total infected derivative,0%,Vaccine Efficacy 100%,Low
56,56.0,1.3527500000000146,Total infected derivative,0%,Vaccine Efficacy 100%,Low
57,57.0,1.5090000000000146,Total infected derivative,0%,Vaccine Efficacy 100%,Low
58,58.0,1.5319999999999823,Total infected derivative,0%,Vaccine Efficacy 100%,Low
59,59.0,1.5009999999999764,Total infected derivative,0%,Vaccine Efficacy 100%,Low
60,60.0,,Total infected derivative,0%,Vaccine Efficacy 100%,Low
61,0.0,0.07609999999999673,Total infected derivative,10%,Vaccine Efficacy 100%,Low
62,1.0,0.11324999999999363,Total infected derivative,10%,Vaccine Efficacy 100%,Low
63,2.0,0.2164500000000089,Total infected derivative,10%,Vaccine Efficacy 100%,Low
64,3.0,0.3727000000000089,Total infected derivative,10%,Vaccine Efficacy 100%,Low
65,4.0,0.5500999999999863,Total infected derivative,10%,Vaccine Efficacy 100%,Low
66,5.0,0.5842000000000098,Total infected derivative,10%,Vaccine Efficacy 100%,Low
67,6.0,0.46795000000000186,Total infected derivative,10%,Vaccine Efficacy 100%,Low
68,7.0,0.6222999999999956,Total infected derivative,10%,Vaccine Efficacy 100%,Low
69,8.0,1.1112500000000125,Total infected derivative,10%,Vaccine Efficacy 100%,Low
70,9.0,1.5159999999999911,Total infected derivative,10%,Vaccine Efficacy 100%,Low
71,10.0,1.8015999999999792,Total infected derivative,10%,Vaccine Efficacy 100%,Low
72,11.0,2.2364499999999623,Total infected derivative,10%,Vaccine Efficacy 100%,Low
73,12.0,2.1914500000000032,Total infected derivative,10%,Vaccine Efficacy 100%,Low
74,13.0,1.583250000000021,Total infected derivative,10%,Vaccine Efficacy 100%,Low
75,14.0,1.6773000000000309,Total infected derivative,10%,Vaccine Efficacy 100%,Low
76,15.0,2.254400000000061,Total infected derivative,10%,Vaccine Efficacy 100%,Low
77,16.0,2.7384500000000003,Total infected derivative,10%,Vaccine Efficacy 100%,Low
78,17.0,3.1242499999999893,Total infected derivative,10%,Vaccine Efficacy 100%,Low
79,18.0,3.371749999999963,Total infected derivative,10%,Vaccine Efficacy 100%,Low
80,19.0,3.0672500000000014,Total infected derivative,10%,Vaccine Efficacy 100%,Low
81,20.0,2.3115999999999985,Total infected derivative,10%,Vaccine Efficacy 100%,Low
82,21.0,2.343649999999954,Total infected derivative,10%,Vaccine Efficacy 100%,Low
83,22.0,2.9239000000000033,Total infected derivative,10%,Vaccine Efficacy 100%,Low
84,23.0,3.296600000000012,Total infected derivative,10%,Vaccine Efficacy 100%,Low
85,24.0,3.5381000000000142,Total infected derivative,10%,Vaccine Efficacy 100%,Low
86,25.0,3.7745000000000175,Total infected derivative,10%,Vaccine Efficacy 100%,Low
87,26.0,3.361649999999983,Total infected derivative,10%,Vaccine Efficacy 100%,Low
88,27.0,2.3898499999999814,Total infected derivative,10%,Vaccine Efficacy 100%,Low
89,28.0,2.3387500000000188,Total infected derivative,10%,Vaccine Efficacy 100%,Low
90,29.0,2.904750000000007,Total infected derivative,10%,Vaccine Efficacy 100%,Low
91,30.0,3.2133499999999913,Total infected derivative,10%,Vaccine Efficacy 100%,Low
92,31.0,3.4238,Total infected derivative,10%,Vaccine Efficacy 100%,Low
93,32.0,3.5671500000000123,Total infected derivative,10%,Vaccine Efficacy 100%,Low
94,33.0,3.154299999999992,Total infected derivative,10%,Vaccine Efficacy 100%,Low
95,34.0,2.306549999999987,Total infected derivative,10%,Vaccine Efficacy 100%,Low
96,35.0,2.17440000000002,Total infected derivative,10%,Vaccine Efficacy 100%,Low
97,36.0,2.528100000000009,Total infected derivative,10%,Vaccine Efficacy 100%,Low
98,37.0,2.7614999999999696,Total infected derivative,10%,Vaccine Efficacy 100%,Low
99,38.0,3.007000000000019,Total infected derivative,10%,Vaccine Efficacy 100%,Low
100,39.0,3.0932000000000244,Total infected derivative,10%,Vaccine Efficacy 100%,Low
101,40.0,2.6964499999999987,Total infected derivative,10%,Vaccine Efficacy 100%,Low
102,41.0,1.985849999999985,Total infected derivative,10%,Vaccine Efficacy 100%,Low
103,42.0,1.8736999999999853,Total infected derivative,10%,Vaccine Efficacy 100%,Low
104,43.0,2.254550000000009,Total infected derivative,10%,Vaccine Efficacy 100%,Low
105,44.0,2.424899999999994,Total infected derivative,10%,Vaccine Efficacy 100%,Low
106,45.0,2.5020999999999987,Total infected derivative,10%,Vaccine Efficacy 100%,Low
107,46.0,2.6001500000000135,Total infected derivative,10%,Vaccine Efficacy 100%,Low
108,47.0,2.254499999999979,Total infected derivative,10%,Vaccine Efficacy 100%,Low
109,48.0,1.663349999999994,Total infected derivative,10%,Vaccine Efficacy 100%,Low
110,49.0,1.6291499999999957,Total infected derivative,10%,Vaccine Efficacy 100%,Low
111,50.0,1.8747999999999934,Total infected derivative,10%,Vaccine Efficacy 100%,Low
112,51.0,2.0402500000000146,Total infected derivative,10%,Vaccine Efficacy 100%,Low
113,52.0,2.107100000000017,Total infected derivative,10%,Vaccine Efficacy 100%,Low
114,53.0,2.1071000000000026,Total infected derivative,10%,Vaccine Efficacy 100%,Low
115,54.0,1.8387499999999903,Total infected derivative,10%,Vaccine Efficacy 100%,Low
116,55.0,1.3978500000000196,Total infected derivative,10%,Vaccine Efficacy 100%,Low
117,56.0,1.3417499999999905,Total infected derivative,10%,Vaccine Efficacy 100%,Low
118,57.0,1.4729999999999848,Total infected derivative,10%,Vaccine Efficacy 100%,Low
119,58.0,1.5719999999999885,Total infected derivative,10%,Vaccine Efficacy 100%,Low
120,59.0,1.636999999999972,Total infected derivative,10%,Vaccine Efficacy 100%,Low
121,60.0,,Total infected derivative,10%,Vaccine Efficacy 100%,Low
122,0.0,0.04809999999997672,Total infected derivative,40%,Vaccine Efficacy 100%,Low
123,1.0,0.06315000000000737,Total infected derivative,40%,Vaccine Efficacy 100%,Low
124,2.0,0.1022000000000105,Total infected derivative,40%,Vaccine Efficacy 100%,Low
125,3.0,0.15629999999998745,Total infected derivative,40%,Vaccine Efficacy 100%,Low
126,4.0,0.22949999999997317,Total infected derivative,40%,Vaccine Efficacy 100%,Low
127,5.0,0.27154999999999063,Total infected derivative,40%,Vaccine Efficacy 100%,Low
128,6.0,0.24650000000002592,Total infected derivative,40%,Vaccine Efficacy 100%,Low
129,7.0,0.2765500000000145,Total infected derivative,40%,Vaccine Efficacy 100%,Low
130,8.0,0.40774999999999295,Total infected derivative,40%,Vaccine Efficacy 100%,Low
131,9.0,0.5711499999999887,Total infected derivative,40%,Vaccine Efficacy 100%,Low
132,10.0,0.7466000000000008,Total infected derivative,40%,Vaccine Efficacy 100%,Low
133,11.0,0.83269999999996,Total infected derivative,40%,Vaccine Efficacy 100%,Low
134,12.0,0.7644499999999823,Total infected derivative,40%,Vaccine Efficacy 100%,Low
135,13.0,0.5961500000000228,Total infected derivative,40%,Vaccine Efficacy 100%,Low
136,14.0,0.6593499999999892,Total infected derivative,40%,Vaccine Efficacy 100%,Low
137,15.0,0.8637500000000102,Total infected derivative,40%,Vaccine Efficacy 100%,Low
138,16.0,0.9769500000000164,Total infected derivative,40%,Vaccine Efficacy 100%,Low
139,17.0,1.1182000000000016,Total infected derivative,40%,Vaccine Efficacy 100%,Low
140,18.0,1.2705500000000143,Total infected derivative,40%,Vaccine Efficacy 100%,Low
141,19.0,1.1984500000000082,Total infected derivative,40%,Vaccine Efficacy 100%,Low
142,20.0,0.9207999999999856,Total infected derivative,40%,Vaccine Efficacy 100%,Low
143,21.0,0.9499500000000012,Total infected derivative,40%,Vaccine Efficacy 100%,Low
144,22.0,1.1854000000000156,Total infected derivative,40%,Vaccine Efficacy 100%,Low
145,23.0,1.375649999999979,Total infected derivative,40%,Vaccine Efficacy 100%,Low
146,24.0,1.5331000000000188,Total infected derivative,40%,Vaccine Efficacy 100%,Low
147,25.0,1.6273000000000195,Total infected derivative,40%,Vaccine Efficacy 100%,Low
148,26.0,1.439799999999991,Total infected derivative,40%,Vaccine Efficacy 100%,Low
149,27.0,1.0280500000000075,Total infected derivative,40%,Vaccine Efficacy 100%,Low
150,28.0,1.015100000000018,Total infected derivative,40%,Vaccine Efficacy 100%,Low
151,29.0,1.3355999999999995,Total infected derivative,40%,Vaccine Efficacy 100%,Low
152,30.0,1.5239499999999566,Total infected derivative,40%,Vaccine Efficacy 100%,Low
153,31.0,1.5951499999999896,Total infected derivative,40%,Vaccine Efficacy 100%,Low
154,32.0,1.702449999999999,Total infected derivative,40%,Vaccine Efficacy 100%,Low
155,33.0,1.5412500000000193,Total infected derivative,40%,Vaccine Efficacy 100%,Low
156,34.0,1.116250000000008,Total infected derivative,40%,Vaccine Efficacy 100%,Low
157,35.0,1.072100000000006,Total infected derivative,40%,Vaccine Efficacy 100%,Low
158,36.0,1.278550000000024,Total infected derivative,40%,Vaccine Efficacy 100%,Low
159,37.0,1.355649999999983,Total infected derivative,40%,Vaccine Efficacy 100%,Low
