day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456891	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	103	0	0	0	0	[]	0	0
1	123456891	178	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	103	0	0	0	9	[]	0	0
2	123456891	175	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	103	0	0	0	11	[]	0	1
3	123456891	170	14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	103	0	0	0	13	[]	0	2
4	123456891	164	17	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	103	0	0	0	16	[]	0	4
5	123456891	145	27	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	103	0	0	0	20	[]	0	7
6	123456891	141	19	22	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	146	103	0	0	0	24	[]	0	9
7	123456891	138	13	29	6	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	146	103	0	0	0	27	[]	0	10
8	123456891	112	37	30	7	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	146	103	0	0	0	34	[]	0	10
9	123456891	85	55	38	8	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	1	146	103	0	0	0	36	[]	0	10
10	123456891	52	65	57	12	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	1	146	103	0	0	0	40	[]	0	11
11	123456891	31	73	62	20	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	1	146	103	0	0	0	43	[]	0	12
12	123456891	23	61	72	28	0	0	0	0	0	0	1	0	0	0	1	1	0	7	2	0	1	2	146	103	0	0	0	43	[]	0	12
13	123456891	23	45	77	39	0	0	0	0	0	0	1	0	0	0	1	1	0	7	2	0	1	2	146	103	0	0	0	43	[]	0	11
14	123456891	23	31	82	48	0	0	0	0	0	0	1	0	0	0	1	1	0	9	2	0	1	2	146	103	0	0	0	43	[]	0	12
15	123456891	13	32	86	53	0	0	0	0	0	0	1	0	0	0	1	1	0	9	2	0	1	2	146	103	0	0	0	44	[]	0	12
16	123456891	8	28	81	66	0	0	0	0	0	0	2	0	0	0	0	2	0	10	2	0	2	2	146	103	0	0	0	44	[]	0	12
17	123456891	6	22	74	80	0	0	0	0	0	0	2	0	0	0	1	2	0	11	3	0	2	3	146	103	0	0	0	44	[]	0	12
18	123456891	5	18	65	93	0	0	0	0	0	0	1	1	0	0	1	3	0	12	4	0	2	4	146	103	0	0	0	44	[]	0	12
19	123456891	5	14	60	102	0	0	0	0	0	0	1	1	0	0	1	3	0	14	4	0	2	4	146	103	0	0	0	44	[]	0	12
20	123456891	5	12	59	106	0	0	0	0	0	0	1	1	0	0	1	2	0	15	4	0	2	4	146	103	0	0	0	44	[]	0	12
21	123456891	5	10	50	117	0	0	0	0	0	0	1	1	0	0	1	2	0	15	4	0	2	4	146	103	0	0	0	44	[]	0	12
22	123456891	4	9	47	122	0	0	0	0	0	0	1	1	0	0	1	2	0	15	4	0	2	4	146	103	0	0	0	44	[]	0	11
