day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456920	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	146	0	0	0	0	[]	0	0
1	123456920	137	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	146	146	0	0	0	7	[]	0	0
2	123456920	132	10	1	0	0	0	0	0	0	0	1	0	0	0	0	0	79	1	0	0	1	0	146	146	0	0	0	11	[]	0	2
3	123456920	123	17	2	1	0	0	0	0	0	0	1	0	0	0	0	0	79	3	0	0	1	0	146	146	0	0	0	18	[]	0	2
4	123456920	110	21	11	1	0	0	0	0	0	0	1	0	0	0	0	0	79	3	0	0	1	0	146	146	0	0	0	21	[]	0	6
5	123456920	92	36	14	1	0	0	0	0	0	0	1	0	0	0	0	0	79	3	0	0	1	0	146	146	0	0	0	28	[]	0	8
6	123456920	80	27	20	4	7	2	2	0	0	0	1	0	0	0	1	0	98	5	1	2	1	1	146	138	8	0	0	33	[1A]	1	11
7	123456920	69	22	24	5	15	3	4	0	0	0	1	0	0	0	0	1	117	6	1	3	1	1	146	130	16	0	0	36	[1A 1B]	2	11
8	123456920	49	13	5	4	28	12	22	8	0	0	2	0	0	0	0	1	219	7	1	13	2	1	146	98	48	0	0	37	[1A 1B 2C 2A 3A 3C]	6	10
9	123456920	40	17	10	4	28	8	22	12	0	0	2	0	0	0	0	1	219	7	1	13	2	1	146	98	48	0	0	39	[1A 1B 2C 2A 3A 3C]	6	12
10	123456920	31	24	11	5	28	6	22	14	0	0	2	0	0	0	0	1	219	8	1	13	2	1	146	98	48	0	0	42	[1A 1B 2C 2A 3A 3C]	6	12
11	123456920	26	21	19	5	28	3	22	17	0	0	2	0	0	0	0	1	219	8	1	13	2	1	146	98	48	0	0	42	[1A 1B 2C 2A 3A 3C]	6	12
12	123456920	19	23	22	7	28	2	16	24	0	0	2	0	0	0	0	1	219	8	1	13	2	1	146	98	48	0	0	43	[1A 1B 2C 2A 3A 3C]	6	12
13	123456920	11	15	22	12	36	4	15	26	0	0	2	0	0	0	0	1	238	8	1	14	2	1	146	90	56	0	0	43	[1A 1B 2C 2A 3A 3C 1D]	7	12
14	123456920	10	8	17	13	37	2	21	32	0	0	2	1	0	0	0	1	257	9	1	21	3	1	146	82	64	0	0	43	[1A 1B 2C 2A 3A 3C 1D 2D]	8	12
15	123456920	2	2	4	4	43	6	33	46	0	0	2	1	0	0	0	1	296	9	1	27	3	1	146	58	88	0	0	44	[1A 1B 2C 2A 3A 3C 1D 2D 2B 3B 3D]	11	12
16	123456920	0	0	0	0	45	6	34	54	0	0	1	2	0	0	1	1	315	9	2	31	3	2	146	50	96	0	0	44	[1A 1B 2C 2A 3A 3C 1D 2D 2B 3B 3D 1C]	12	12
17	123456920	0	0	0	0	45	2	33	59	0	0	1	2	0	0	0	2	315	9	2	31	3	2	146	50	96	0	0	44	[1A 1B 2C 2A 3A 3C 1D 2D 2B 3B 3D 1C]	12	12
18	123456920	0	0	0	0	45	1	24	69	0	0	1	2	0	0	0	2	315	9	2	31	3	2	146	50	96	0	0	44	[1A 1B 2C 2A 3A 3C 1D 2D 2B 3B 3D 1C]	12	11
19	123456920	0	0	0	0	45	1	23	70	0	0	1	2	0	0	0	2	315	9	2	31	3	2	146	50	96	0	0	44	[1A 1B 2C 2A 3A 3C 1D 2D 2B 3B 3D 1C]	12	11
20	123456920	7	0	0	5	38	1	16	73	0	0	1	2	0	0	0	1	315	9	2	31	3	2	146	58	88	0	0	44	[1B 2C 2A 3A 3C 1D 2D 2B 3B 3D 1C]	11	10
