,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,137.3267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.0000,152.6733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,137.1663,0.1603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7034,0.0000,0.0000,0.0000,0.0000,218.0000,152.6733,0.0000,0.0000,0.0000,0.1603,0.0000,0.0000
2,2.0000,136.9960,0.2725,0.0581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4108,0.0000,0.0000,0.0000,0.0000,218.0000,152.6733,0.0000,0.0000,0.0000,0.2766,0.0000,0.0501
3,3.0000,136.7335,0.4529,0.1343,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,2.1002,0.0020,0.0000,0.0000,0.0020,218.0000,152.6733,0.0000,0.0000,0.0000,0.4188,0.0000,0.1102
4,4.0000,136.2986,0.7214,0.2886,0.0140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,2.7796,0.0040,0.0000,0.0000,0.0040,218.0000,152.6733,0.0000,0.0000,0.0000,0.5792,0.0000,0.2144
5,5.0000,135.7655,1.0481,0.4549,0.0461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,3.4329,0.0100,0.0000,0.0020,0.0100,218.0000,152.6733,0.0000,0.0000,0.0000,0.7114,0.0000,0.2846
6,6.0000,135.6293,0.9018,0.6733,0.1062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0120,0.0020,0.0000,4.1222,0.0140,0.0000,0.0020,0.0140,218.0000,152.6733,0.0000,0.0000,0.0000,0.8477,0.0000,0.3788
7,7.0000,135.4770,0.8257,0.7856,0.2084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0160,0.0060,0.0000,4.8978,0.0220,0.0000,0.0080,0.0220,218.0000,152.6733,0.0000,0.0000,0.0000,1.0000,0.0000,0.4529
8,8.0000,134.5872,1.4589,0.9459,0.2946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0040,0.0000,0.0000,0.0220,0.0080,0.0000,5.5691,0.0301,0.0000,0.0100,0.0301,218.0000,152.6733,0.0000,0.0000,0.0000,1.1944,0.0000,0.5711
9,9.0000,133.5571,2.0942,1.1743,0.4489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0080,0.0040,0.0000,0.0000,0.0281,0.0120,0.0000,6.3206,0.0401,0.0000,0.0120,0.0401,218.0000,152.6733,0.0000,0.0000,0.0000,1.3106,0.0000,0.6934
10,10.0000,132.3547,2.6894,1.6373,0.5772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0060,0.0000,0.0000,0.0361,0.0160,0.0000,7.0421,0.0521,0.0000,0.0160,0.0521,218.0000,152.6733,0.0000,0.0000,0.0000,1.4529,0.0000,0.8277
11,11.0000,131.1022,3.1944,2.1663,0.7756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0080,0.0000,0.0000,0.0441,0.0261,0.0000,7.7094,0.0701,0.0000,0.0180,0.0701,218.0000,152.6733,0.0000,0.0000,0.0000,1.5892,0.0000,0.9379
12,12.0000,129.4890,3.8878,2.7856,1.0541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0160,0.0100,0.0000,0.0000,0.0501,0.0341,0.0000,8.4529,0.0842,0.0000,0.0261,0.0842,218.0000,152.6733,0.0000,0.0000,0.0000,1.7094,0.0000,1.1423
13,13.0000,129.3647,2.9739,3.3667,1.4649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0321,0.0100,0.0000,0.0000,0.0741,0.0401,0.0000,9.1603,0.1142,0.0000,0.0421,0.1142,218.0000,152.6733,0.0000,0.0000,0.0000,1.8337,0.0000,1.3287
14,14.0000,129.2505,2.2525,3.7655,1.8677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0321,0.0140,0.0000,0.0000,0.0942,0.0501,0.0000,9.8637,0.1443,0.0000,0.0461,0.1443,218.0000,152.6733,0.0000,0.0000,0.0000,1.9479,0.0000,1.4549
15,15.0000,127.1343,3.7174,3.8938,2.3627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0361,0.0200,0.0000,0.0000,0.1102,0.0521,0.0000,10.6052,0.1623,0.0000,0.0561,0.1623,218.0000,152.6733,0.0000,0.0000,0.0000,2.0862,0.0000,1.5731
16,16.0000,125.1804,4.6293,4.4208,2.8297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0441,0.0301,0.0000,0.0000,0.1242,0.0681,0.0000,11.3587,0.1924,0.0000,0.0741,0.1924,218.0000,152.6733,0.0000,0.0000,0.0000,2.2204,0.0000,1.7315
17,17.0000,123.0100,5.4689,5.1062,3.4409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0421,0.0461,0.0000,0.0000,0.1343,0.0782,0.0000,12.0601,0.2144,0.0000,0.0882,0.2144,218.0000,152.6733,0.0000,0.0000,0.0000,2.3747,0.0000,1.9118
18,18.0000,120.5551,6.3046,6.0160,4.0842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0621,0.0501,0.0000,0.0000,0.1623,0.0922,0.0000,12.7515,0.2585,0.0000,0.1122,0.2585,218.0000,152.6733,0.0000,0.0000,0.0000,2.5070,0.0000,2.1222
19,19.0000,117.8617,7.1583,7.0140,4.8657,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0641,0.0581,0.0000,0.0000,0.2004,0.1042,0.0000,13.4569,0.3146,0.0000,0.1242,0.3146,218.0000,152.6733,0.0000,0.0000,0.0000,2.6293,0.0000,2.3968
20,20.0000,117.7555,5.2405,7.9940,5.8437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0762,0.0661,0.0000,0.0000,0.2325,0.1182,0.0000,14.1824,0.3647,0.0000,0.1443,0.3647,218.0000,152.6733,0.0000,0.0000,0.0000,2.7315,0.0000,2.6513
21,21.0000,117.6433,3.9379,8.2265,6.9639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0982,0.0681,0.0000,0.0000,0.2465,0.1423,0.0000,14.9399,0.4108,0.0000,0.1743,0.4108,218.0000,152.6733,0.0000,0.0000,0.0000,2.8437,0.0000,2.7976
22,22.0000,114.6493,5.8998,8.1603,8.0180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0902,0.0842,0.0000,0.0000,0.2505,0.1743,0.0000,15.6313,0.4549,0.0000,0.1844,0.4549,218.0000,152.6733,0.0000,0.0000,0.0000,2.9479,0.0000,2.8617
23,23.0000,111.7355,7.2244,8.5772,9.1222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1042,0.0922,0.0000,0.0000,0.2866,0.1844,0.0000,16.3888,0.5110,0.0000,0.2084,0.5110,218.0000,152.6733,0.0000,0.0000,0.0000,3.0701,0.0000,3.0641
24,24.0000,108.3166,8.5551,9.3968,10.3226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1182,0.1062,0.0000,0.0000,0.3086,0.2024,0.0000,17.0962,0.5631,0.0000,0.2405,0.5631,218.0000,152.6733,0.0000,0.0000,0.0000,3.2285,0.0000,3.2665
25,25.0000,104.9379,9.4970,10.4389,11.6373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1283,0.1222,0.0000,0.0000,0.3467,0.2184,0.0000,17.8758,0.6353,0.0000,0.2685,0.6353,218.0000,152.6733,0.0000,0.0000,0.0000,3.3447,0.0000,3.6132
26,26.0000,101.4449,10.2305,11.7074,13.0461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1383,0.1283,0.0000,0.0000,0.3848,0.2465,0.0000,18.5391,0.7154,0.0000,0.2926,0.7154,218.0000,152.6733,0.0000,0.0000,0.0000,3.4529,0.0000,3.9619
27,27.0000,101.3327,7.3547,13.0401,14.6072,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1363,0.1403,0.0000,0.0000,0.4469,0.2685,0.0000,19.2766,0.8297,0.0000,0.3186,0.8297,218.0000,152.6733,0.0000,0.0000,0.0000,3.5631,0.0000,4.2866
28,28.0000,101.2325,5.3367,13.3046,16.3587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1503,0.1663,0.0000,0.0000,0.4790,0.2986,0.0000,20.0120,0.9218,0.0000,0.3627,0.9218,218.0000,152.6733,0.0000,0.0000,0.0000,3.6633,0.0000,4.4910
29,29.0000,96.7395,8.3327,12.9379,18.1443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1463,0.1764,0.0000,0.0000,0.5030,0.3467,0.0000,20.7455,1.0120,0.0000,0.3788,1.0120,218.0000,152.6733,0.0000,0.0000,0.0000,3.7535,0.0000,4.5872
30,30.0000,92.9719,9.7415,13.3407,20.0160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1643,0.1784,0.0000,0.0000,0.5291,0.3848,0.0000,21.4930,1.1062,0.0000,0.4168,1.1062,218.0000,152.6733,0.0000,0.0000,0.0000,3.8477,0.0000,4.7355
31,31.0000,89.3367,10.5611,14.2184,21.8397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1844,0.1884,0.0000,0.0000,0.5451,0.4529,0.0000,22.1483,1.2124,0.0000,0.4609,1.2124,218.0000,152.6733,0.0000,0.0000,0.0000,3.9359,0.0000,4.9619
32,32.0000,85.7054,11.1663,15.2485,23.8036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1723,0.1984,0.0000,0.0000,0.5411,0.4910,0.0000,22.8377,1.2906,0.0000,0.4830,1.2906,218.0000,152.6733,0.0000,0.0000,0.0000,4.0381,0.0000,5.2024
33,33.0000,81.8036,11.9800,16.1423,25.9299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1864,0.2104,0.0000,0.0000,0.5711,0.5030,0.0000,23.5832,1.3888,0.0000,0.5210,1.3888,218.0000,152.6733,0.0000,0.0000,0.0000,4.1182,0.0000,5.4589
34,34.0000,81.7194,8.7295,17.1984,28.0922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1964,0.2244,0.0000,0.0000,0.6473,0.5190,0.0000,24.2445,1.5311,0.0000,0.5651,1.5311,218.0000,152.6733,0.0000,0.0000,0.0000,4.1924,0.0000,5.7315
35,35.0000,81.6373,6.3407,17.2204,30.4549,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2024,0.2285,0.0000,0.0000,0.6653,0.5772,0.0000,24.9158,1.6533,0.0000,0.6052,1.6533,218.0000,152.6733,0.0000,0.0000,0.0000,4.2745,0.0000,5.8417
36,36.0000,77.4168,8.7014,16.5972,32.8116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2325,0.2485,0.0000,0.0000,0.6834,0.6353,0.0000,25.6413,1.7735,0.0000,0.6653,1.7735,218.0000,152.6733,0.0000,0.0000,0.0000,4.3467,0.0000,5.8517
