,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,136.7479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,218.0000,152.0946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,130.3060,6.2066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6476,0.0000,0.0000,0.0000,0.0000,218.0000,152.0946,0.0000,0.0000,0.0000,6.2066,0.0000,0.0000
2,2,122.6424,11.9046,1.6993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0015,0.0000,0.0000,0.0000,0.0092,0.0000,0.0000,1.3162,0.0092,0.0000,-0.0015,0.0092,218.0000,152.0946,0.0000,0.0000,0.0000,12.1286,0.0000,1.4290
3,3,113.0263,17.8468,4.7740,0.2271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0093,0.0000,0.0000,0.0000,0.0205,-0.0019,0.0000,2.0042,0.0221,0.0000,0.0093,0.0221,218.0000,152.0946,0.0000,0.0000,0.0000,17.6219,0.0000,3.4035
4,4,101.2446,24.3630,8.9914,0.8418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0363,-0.0019,0.0000,0.0000,0.0837,-0.0019,0.0000,2.6780,0.0854,0.0000,0.0380,0.0854,218.0000,152.0946,0.0000,0.0000,0.0000,22.8366,0.0000,5.3666
5,5,88.0616,30.2499,14.6121,2.0570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0447,0.0002,0.0000,0.0000,0.1748,0.0078,0.0000,3.3977,0.1931,0.0000,0.0515,0.1931,218.0000,152.0946,0.0000,0.0000,0.0000,27.4440,0.0000,7.0751
6,6,83.8902,25.8086,21.0016,4.0382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0955,0.0025,0.0000,0.0000,0.2875,0.0230,0.0000,4.1440,0.3247,0.0000,0.1065,0.3247,218.0000,152.0946,0.0000,0.0000,0.0000,31.6329,0.0000,8.4287
7,7,80.0645,22.1900,25.4254,6.7672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1464,0.0107,0.0000,0.0000,0.4474,0.0501,0.0000,4.8485,0.5168,0.0000,0.1685,0.5168,218.0000,152.0946,0.0000,0.0000,0.0000,35.4590,0.0000,9.4258
8,8,63.9584,31.8236,27.8833,10.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2014,0.0305,0.0000,0.0000,0.5599,0.1171,0.0000,5.6189,0.7017,0.0000,0.2488,0.7017,218.0000,152.0946,0.0000,0.0000,0.0000,39.0020,0.0000,9.9636
9,9,49.8439,36.8757,32.6292,14.1587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2848,0.0509,0.0000,0.0000,0.6892,0.2102,0.0000,6.3591,0.9301,0.0000,0.3555,0.9301,218.0000,152.0946,0.0000,0.0000,0.0000,41.9293,0.0000,10.4309
10,10,38.1807,38.0328,38.3468,18.5040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3466,0.0901,0.0000,0.0000,0.8784,0.3136,0.0000,7.0918,1.2278,0.0000,0.4605,1.2278,218.0000,152.0946,0.0000,0.0000,0.0000,44.2601,0.0000,10.8500
11,11,28.7758,36.5777,43.5849,23.7191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4136,0.1269,0.0000,0.0000,1.0400,0.4250,0.0000,7.8521,1.5075,0.0000,0.5669,1.5075,218.0000,152.0946,0.0000,0.0000,0.0000,46.1116,0.0000,11.2012
12,12,21.1511,33.6888,47.7718,29.5519,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4670,0.1772,0.0000,0.0000,1.2441,0.5767,0.0000,8.5557,1.8684,0.0000,0.6746,1.8684,218.0000,152.0946,0.0000,0.0000,0.0000,47.4818,0.0000,11.4177
13,13,20.1596,25.1038,50.3276,36.1063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5240,0.2500,0.0000,0.0000,1.4089,0.7606,0.0000,9.2730,2.2200,0.0000,0.8059,2.2200,218.0000,152.0946,0.0000,0.0000,0.0000,48.5001,0.0000,11.5922
14,14,19.1654,19.0659,50.2063,42.8540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5839,0.3152,0.0000,0.0000,1.5540,0.9382,0.0000,9.9567,2.5474,0.0000,0.9333,2.5474,218.0000,152.0946,0.0000,0.0000,0.0000,49.5221,0.0000,11.6759
15,15,13.6524,19.2881,48.5729,49.4159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6146,0.4005,0.0000,0.0000,1.6702,1.1220,0.0000,10.6290,2.8525,0.0000,1.0548,2.8525,218.0000,152.0946,0.0000,0.0000,0.0000,50.4990,0.0000,11.6871
16,16,10.1401,17.4680,47.0373,55.9659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6307,0.4925,0.0000,0.0000,1.7819,1.3119,0.0000,11.3365,3.1786,0.0000,1.1692,3.1786,218.0000,152.0946,0.0000,0.0000,0.0000,51.1527,0.0000,11.6633
17,17,7.5856,15.1044,45.3631,62.2318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6662,0.5547,0.0000,0.0000,1.8298,1.5408,0.0000,12.0143,3.4710,0.0000,1.2884,3.4710,218.0000,152.0946,0.0000,0.0000,0.0000,51.6402,0.0000,11.6622
18,18,5.7656,12.5249,43.2751,68.4957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6831,0.6081,0.0000,0.0000,1.8881,1.7113,0.0000,12.7237,3.7762,0.0000,1.3953,3.7762,218.0000,152.0946,0.0000,0.0000,0.0000,52.0324,0.0000,11.6138
19,19,4.4568,10.4529,40.3815,74.6077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6934,0.6923,0.0000,0.0000,1.8904,1.8310,0.0000,13.4319,4.0189,0.0000,1.5082,4.0189,218.0000,152.0946,0.0000,0.0000,0.0000,52.3277,0.0000,11.4866
20,20,4.2337,7.6402,37.7149,80.2236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7081,0.7269,0.0000,0.0000,1.8632,1.9701,0.0000,14.1145,4.2717,0.0000,1.6186,4.2717,218.0000,152.0946,0.0000,0.0000,0.0000,52.5592,0.0000,11.3935
21,21,4.0323,5.6289,34.5050,85.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6673,0.7787,0.0000,0.0000,1.7792,2.0652,0.0000,14.7533,4.4834,0.0000,1.6947,4.4834,218.0000,152.0946,0.0000,0.0000,0.0000,52.7659,0.0000,11.1536
22,22,3.2154,4.7977,31.2424,90.6837,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6605,0.8064,0.0000,0.0000,1.6620,2.1541,0.0000,15.5348,4.6472,0.0000,1.7975,4.6472,218.0000,152.0946,0.0000,0.0000,0.0000,52.9810,0.0000,10.9066
23,23,2.5820,4.1197,28.0739,95.2601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6544,0.8061,0.0000,0.0000,1.5892,2.1957,0.0000,16.2544,4.8490,0.0000,1.9045,4.8490,218.0000,152.0946,0.0000,0.0000,0.0000,53.1399,0.0000,10.6342
24,24,2.1705,3.3177,25.3627,99.4737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6110,0.8037,0.0000,0.0000,1.5000,2.1340,0.0000,17.0256,4.9920,0.0000,1.9702,4.9920,218.0000,152.0946,0.0000,0.0000,0.0000,53.2474,0.0000,10.3125
25,25,1.8506,2.6596,22.7771,103.2955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5975,0.7793,0.0000,0.0000,1.4034,2.0964,0.0000,17.6828,5.1461,0.0000,2.0384,5.1461,218.0000,152.0946,0.0000,0.0000,0.0000,53.3670,0.0000,9.9778
26,26,1.5995,2.1803,20.1233,107.0271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5307,0.7796,0.0000,0.0000,1.3375,1.9543,0.0000,18.3467,5.3026,0.0000,2.0815,5.3026,218.0000,152.0946,0.0000,0.0000,0.0000,53.4767,0.0000,9.5058
27,27,1.5128,1.6265,17.9826,110.1854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4790,0.7548,0.0000,0.0000,1.2268,1.8281,0.0000,19.1033,5.4216,0.0000,2.1345,5.4216,218.0000,152.0946,0.0000,0.0000,0.0000,53.5651,0.0000,9.0085
28,28,1.4456,1.2322,15.8407,113.1663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4164,0.7332,0.0000,0.0000,1.1133,1.7184,0.0000,19.8343,5.5259,0.0000,2.1766,5.5259,218.0000,152.0946,0.0000,0.0000,0.0000,53.6379,0.0000,8.4656
29,29,1.2778,1.0454,13.9751,115.7484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3656,0.6972,0.0000,0.0000,1.0135,1.6147,0.0000,20.5289,5.6263,0.0000,2.2102,5.6263,218.0000,152.0946,0.0000,0.0000,0.0000,53.7166,0.0000,7.8890
30,30,1.1442,0.8784,12.2659,118.1437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3286,0.6487,0.0000,0.0000,0.9222,1.4632,0.0000,21.2833,5.7068,0.0000,2.2382,5.7068,218.0000,152.0946,0.0000,0.0000,0.0000,53.7855,0.0000,7.3340
31,31,1.0233,0.7367,10.7444,120.2758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2835,0.6100,0.0000,0.0000,0.7982,1.3635,0.0000,22.0344,5.7720,0.0000,2.2685,5.7720,218.0000,152.0946,0.0000,0.0000,0.0000,53.8404,0.0000,6.7389
32,32,0.9424,0.6082,9.4028,122.1797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2666,0.5503,0.0000,0.0000,0.7293,1.2109,0.0000,22.7532,5.8527,0.0000,2.3005,5.8527,218.0000,152.0946,0.0000,0.0000,0.0000,53.8887,0.0000,6.1629
33,33,0.8794,0.5074,8.2083,123.8672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2182,0.5081,0.0000,0.0000,0.6466,1.1155,0.0000,23.5114,5.9153,0.0000,2.3204,5.9153,218.0000,152.0946,0.0000,0.0000,0.0000,53.9256,0.0000,5.5827
34,34,0.8427,0.3574,7.2836,125.3276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1920,0.4474,0.0000,0.0000,0.5471,1.0125,0.0000,24.2281,5.9582,0.0000,2.3400,5.9582,218.0000,152.0946,0.0000,0.0000,0.0000,53.9636,0.0000,5.0607
35,35,0.7785,0.3148,6.3481,126.6303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1763,0.4067,0.0000,0.0000,0.4754,0.9238,0.0000,24.9565,6.0053,0.0000,2.3576,6.0053,218.0000,152.0946,0.0000,0.0000,0.0000,54.0288,0.0000,4.5552
36,36,0.7357,0.2423,5.5939,127.7556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1542,0.3473,0.0000,0.0000,0.3947,0.8753,0.0000,25.6838,6.0371,0.0000,2.3753,6.0371,218.0000,152.0946,0.0000,0.0000,0.0000,54.0513,0.0000,4.1167
37,37,0.6813,0.2023,4.8420,128.9014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1340,0.2810,0.0000,0.0000,0.3556,0.7547,0.0000,26.4414,6.0737,0.0000,2.3914,6.0737,218.0000,152.0946,0.0000,0.0000,0.0000,54.0930,0.0000,3.6384
38,38,0.6234,0.1954,4.2145,129.7930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1350,0.2367,0.0000,0.0000,0.3013,0.6896,0.0000,27.1543,6.0937,0.0000,2.4110,6.0937,218.0000,152.0946,0.0000,0.0000,0.0000,54.1418,0.0000,3.2417
39,39,0.5774,0.1789,3.6726,130.6143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1155,0.2048,0.0000,0.0000,0.2641,0.5976,0.0000,27.8506,6.1151,0.0000,2.4230,6.1151,218.0000,152.0946,0.0000,0.0000,0.0000,54.1810,0.0000,2.8653
40,40,0.5479,0.1517,3.2357,131.2951,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1105,0.1789,0.0000,0.0000,0.2150,0.5144,0.0000,28.5703,6.1316,0.0000,2.4324,6.1316,218.0000,152.0946,0.0000,0.0000,0.0000,54.2033,0.0000,2.5677
41,41,0.5155,0.1397,2.8205,131.9142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1046,0.1497,0.0000,0.0000,0.1775,0.4552,0.0000,29.2731,6.1491,0.0000,2.4502,6.1491,218.0000,152.0946,0.0000,0.0000,0.0000,54.2349,0.0000,2.2686
