day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456991	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	50	0	0	0	0	[]	0	0
1	123456991	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	50	50	0	0	0	0	[]	0	0
2	123456991	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	0	0	50	50	0	0	0	0	[]	0	0
3	123456991	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	50	50	0	0	0	0	[]	0	0
4	123456991	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	50	50	0	0	0	0	[]	0	0
5	123456991	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	50	50	0	0	0	0	[]	0	0
6	123456991	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	50	50	0	0	0	0	[]	0	0
7	123456991	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	50	50	0	0	0	0	[]	0	0
8	123456991	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	4	0	0	0	0	50	50	0	0	0	1	[]	0	0
9	123456991	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	50	50	0	0	0	1	[]	0	0
10	123456991	239	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	50	50	0	0	0	1	[]	0	0
11	123456991	237	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	120	6	0	0	0	0	50	50	0	0	0	1	[]	0	1
12	123456991	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	50	50	0	0	0	2	[]	0	1
13	123456991	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	50	50	0	0	0	2	[]	0	1
14	123456991	235	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	120	8	0	0	0	0	50	50	0	0	0	2	[]	0	1
15	123456991	219	1	0	0	16	1	2	0	0	0	0	0	0	0	1	0	194	9	1	2	0	1	50	50	0	0	0	2	[3A]	1	1
16	123456991	219	1	0	0	16	1	2	0	0	0	0	0	0	0	1	0	194	11	1	2	0	1	50	50	0	0	0	2	[3A]	1	1
17	123456991	219	1	0	0	16	1	2	0	0	0	0	0	0	0	1	0	194	11	1	2	0	1	50	50	0	0	0	2	[3A]	1	1
18	123456991	218	1	1	0	16	1	2	0	0	0	0	0	0	0	1	0	194	11	1	2	0	1	50	50	0	0	0	3	[3A]	1	2
19	123456991	214	4	2	0	16	0	3	0	0	0	0	0	0	0	1	0	194	12	1	2	0	1	50	50	0	0	0	3	[3A]	1	3
20	123456991	213	5	2	0	16	0	3	0	0	0	0	0	0	0	1	0	194	12	1	2	0	1	50	50	0	0	0	4	[3A]	1	3
21	123456991	213	3	3	1	16	0	3	0	0	0	0	0	0	0	0	1	194	12	1	2	0	1	50	50	0	0	0	4	[3A]	1	3
22	123456991	207	9	3	1	16	0	3	0	0	0	0	0	0	0	0	1	249	12	1	2	0	1	50	50	0	0	0	4	[3A]	1	3
23	123456991	204	11	4	1	16	0	3	0	0	0	0	0	0	0	0	1	249	13	1	2	0	1	50	50	0	0	0	4	[3A]	1	3
24	123456991	194	16	8	2	16	0	3	0	0	0	0	0	0	0	0	1	249	14	1	2	0	1	50	50	0	0	0	4	[3A]	1	4
25	123456991	187	20	10	3	16	0	2	1	0	0	0	0	0	0	0	1	249	15	1	2	0	1	50	50	0	0	0	4	[3A]	1	4
26	123456991	174	28	15	3	16	0	2	1	0	0	0	0	0	0	0	1	249	15	1	2	0	1	50	50	0	0	0	4	[3A]	1	5
27	123456991	174	21	16	9	16	0	1	2	0	0	0	0	0	0	0	1	249	15	1	2	0	1	50	50	0	0	0	4	[3A]	1	6
28	123456991	174	15	20	11	16	0	1	2	0	0	0	0	0	0	0	1	249	16	1	2	0	1	50	50	0	0	0	4	[3A]	1	7
29	123456991	147	5	3	5	39	11	19	11	0	0	0	0	0	0	0	0	347	17	1	11	0	1	50	50	0	0	0	4	[1B 1C 2C 3B]	4	7
30	123456991	143	8	3	6	39	9	20	12	0	0	0	0	0	0	0	0	347	18	1	11	0	1	50	50	0	0	0	4	[1B 1C 2C 3B]	4	7
31	123456991	131	16	7	6	39	8	18	15	0	0	0	0	0	0	0	0	347	18	1	11	0	1	50	50	0	0	0	4	[1B 1C 2C 3B]	4	7
32	123456991	125	20	9	6	39	5	17	19	0	0	0	0	0	0	0	0	347	18	1	11	0	1	50	50	0	0	0	4	[1B 1C 2C 3B]	4	6
33	123456991	115	23	15	7	39	5	15	21	0	0	0	0	0	0	0	0	347	18	1	11	0	1	50	50	0	0	0	4	[1B 1C 2C 3B]	4	6
34	123456991	115	16	20	9	39	5	12	24	0	0	0	0	0	0	0	0	347	18	1	11	0	1	50	50	0	0	0	4	[1B 1C 2C 3B]	4	7
