day	seedRun	susceptible	exposed	infected	removed	susceptible-in-quarantine	exposed-in-quarantine	infected-in-quarantine	removed-in-quarantine	susceptible-in-quarantine-external-1	exposed-in-quarantine-external-1	infected-in-quarantine-external-1	removed-in-quarantine-external-1	susceptible-in-quarantine-external-2	exposed-in-quarantine-external-2	infected-in-quarantine-external-2	removed-in-quarantine-external-2	num-of-screened-agents	num-of-screened-agents-external-1	num-of-screened-agents-external-2	num-of-positive-agents	num-of-positive-agents-external-1	num-of-positive-agents-external-2	num-vaccinated	num-immunized	num-immunized-in-quarantine	num-immunized-in-quarantine-external-1	num-immunized-in-quarantine-external-2	num-infected-outside	classroom-in-quarantine	num-of-classroom-in-quarantine	classroom-with-at-least-one-infected
0	123456962	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	158	0	0	0	0	[]	0	0
1	123456962	131	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	218	158	0	0	0	1	[]	0	0
2	123456962	129	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	218	158	0	0	0	3	[]	0	0
3	123456962	126	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	218	158	0	0	0	6	[]	0	1
4	123456962	120	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	218	158	0	0	0	10	[]	0	3
5	123456962	112	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	218	158	0	0	0	12	[]	0	4
6	123456962	110	13	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	218	158	0	0	0	14	[]	0	4
7	123456962	106	13	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	218	158	0	0	0	18	[]	0	6
8	123456962	95	19	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	218	158	0	0	0	22	[]	0	7
9	123456962	82	26	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	218	158	0	0	0	24	[]	0	8
10	123456962	73	30	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	218	158	0	0	0	27	[]	0	8
11	123456962	59	32	32	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	218	158	0	0	0	28	[]	0	9
12	123456962	53	27	35	17	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	218	158	0	0	0	30	[]	0	9
13	123456962	53	17	42	20	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	218	158	0	0	0	30	[]	0	10
14	123456962	52	12	41	27	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	218	158	0	0	0	31	[]	0	9
15	123456962	40	20	39	33	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	218	158	0	0	0	32	[]	0	10
16	123456962	32	22	39	39	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	218	158	0	0	0	35	[]	0	9
17	123456962	27	16	44	45	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	218	158	0	0	0	38	[]	0	11
18	123456962	23	18	44	47	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	218	158	0	0	0	38	[]	0	11
19	123456962	20	15	45	52	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	218	158	0	0	0	38	[]	0	12
20	123456962	19	12	45	55	0	0	0	0	0	0	0	0	0	0	1	0	0	14	1	0	0	1	218	158	0	0	0	39	[]	0	12
21	123456962	19	10	40	62	0	0	0	0	0	0	0	0	0	0	0	1	0	15	1	0	0	1	218	158	0	0	0	39	[]	0	11
22	123456962	14	12	42	63	0	0	0	0	0	0	0	0	0	0	0	1	0	16	1	0	0	1	218	158	0	0	0	39	[]	0	11
23	123456962	12	9	40	70	0	0	0	0	0	0	0	0	0	0	0	1	0	16	1	0	0	1	218	158	0	0	0	40	[]	0	11
24	123456962	10	8	40	73	0	0	0	0	0	0	0	0	0	0	0	1	0	17	1	0	0	1	218	158	0	0	0	40	[]	0	11
25	123456962	8	8	32	83	0	0	0	0	0	0	0	0	0	0	0	1	0	17	1	0	0	1	218	158	0	0	0	40	[]	0	8
26	123456962	7	6	29	89	0	0	0	0	0	0	0	0	0	0	0	1	0	17	1	0	0	1	218	158	0	0	0	40	[]	0	9
27	123456962	7	5	23	96	0	0	0	0	0	0	0	0	0	0	0	1	0	19	1	0	0	1	218	158	0	0	0	40	[]	0	9
28	123456962	7	4	19	100	0	0	0	0	0	0	0	0	0	0	1	1	0	20	2	0	0	2	218	158	0	0	0	40	[]	0	8
29	123456962	6	3	20	101	0	0	0	0	0	0	0	0	0	0	1	1	0	21	2	0	0	2	218	158	0	0	0	40	[]	0	9
30	123456962	6	2	19	103	0	0	0	0	0	0	0	0	0	0	1	1	0	21	2	0	0	2	218	158	0	0	0	40	[]	0	9
31	123456962	6	0	16	108	0	0	0	0	0	0	0	0	0	0	1	1	0	24	2	0	0	2	218	158	0	0	0	40	[]	0	7
32	123456962	6	0	12	112	0	0	0	0	0	0	0	0	0	0	1	1	0	24	2	0	0	2	218	158	0	0	0	40	[]	0	6
33	123456962	6	0	10	114	0	0	0	0	0	0	0	0	0	0	1	1	0	24	2	0	0	2	218	158	0	0	0	40	[]	0	5
34	123456962	6	0	8	117	0	0	0	0	0	0	0	0	0	0	1	0	0	24	2	0	0	2	218	158	0	0	0	40	[]	0	4
35	123456962	5	1	7	118	0	0	0	0	0	0	0	0	0	0	1	0	0	24	2	0	0	2	218	158	0	0	0	41	[]	0	3
36	123456962	5	1	6	119	0	0	0	0	0	0	0	0	0	0	1	0	0	26	2	0	0	2	218	158	0	0	0	41	[]	0	3
37	123456962	5	1	6	119	0	0	0	0	0	0	0	0	0	0	1	0	0	26	2	0	0	2	218	158	0	0	0	41	[]	0	3
38	123456962	5	0	7	119	0	0	0	0	0	0	0	0	0	0	1	0	0	27	2	0	0	2	218	158	0	0	0	41	[]	0	3
39	123456962	4	1	7	119	0	0	0	0	0	0	0	0	0	0	1	0	0	29	2	0	0	2	218	158	0	0	0	42	[]	0	3
40	123456962	4	1	7	119	0	0	0	0	0	0	0	0	0	0	1	0	0	29	2	0	0	2	218	158	0	0	0	42	[]	0	3
41	123456962	4	1	7	119	0	0	0	0	0	0	0	0	0	0	1	0	0	31	2	0	0	2	218	158	0	0	0	42	[]	0	3
42	123456962	4	1	6	120	0	0	0	0	0	0	0	0	0	0	1	0	0	33	3	0	0	3	218	158	0	0	0	42	[]	0	3
43	123456962	3	2	6	120	0	0	0	0	0	0	0	0	0	0	1	0	0	33	3	0	0	3	218	158	0	0	0	43	[]	0	3
44	123456962	3	2	5	121	0	0	0	0	0	0	0	0	0	0	1	0	0	33	3	0	0	3	218	158	0	0	0	43	[]	0	3
