,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0,216.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1,211.9356,4.4246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.8338,0.0000,0.0000,0.0000,0.0000,74.0000,74.0000,0.0000,0.0000,0.0000,4.4246,0.0000,0.0000
2,2,206.0785,9.3828,1.2869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,0.0000,0.0000,0.0000,0.0158,0.0000,60.3553,1.5938,0.0158,0.0000,0.0059,0.0158,74.0000,74.0000,0.0000,0.0000,0.0000,8.6526,0.0000,1.2461
3,3,197.0310,16.0960,3.6920,0.2142,0.3444,0.0399,0.0365,0.0000,0.0000,0.0000,0.0216,0.0000,0.0000,0.0000,0.0474,0.0000,61.1775,2.3306,0.0474,0.0365,0.0216,0.0474,74.0000,73.9925,0.0486,0.0000,0.0000,12.8398,0.0243,2.9013
4,4,182.8738,25.6043,7.7478,0.7455,1.0420,0.1705,0.1770,0.0269,0.0000,0.0000,0.0474,0.0000,0.0000,0.0000,0.0953,0.0095,62.5803,3.0555,0.0999,0.1709,0.0474,0.0999,74.0000,73.9225,0.1630,0.0000,0.0000,16.7377,0.0815,4.7902
5,5,164.4762,35.8728,13.5018,1.7521,2.5773,0.4968,0.5653,0.0794,0.0000,0.0000,0.0883,0.0059,0.0000,0.0000,0.2205,0.0243,65.9173,3.7502,0.2359,0.5319,0.0906,0.2359,74.0000,73.7174,0.4308,0.0000,0.0000,20.3204,0.2154,6.3954
6,6,159.7871,28.3653,20.9846,3.4341,4.2380,1.1069,1.3355,0.2726,0.0000,0.0000,0.1462,0.0153,0.0000,0.0000,0.3387,0.0593,69.8067,4.4588,0.3834,1.2364,0.1549,0.3834,74.0000,73.4016,0.8045,0.0000,0.0000,23.5354,0.4022,7.8950
7,7,154.6084,23.0678,24.6764,5.9433,6.5512,1.5017,2.5816,0.7123,0.0000,0.0000,0.2148,0.0345,0.0000,0.0000,0.4916,0.1139,75.3681,5.1561,0.5860,2.3364,0.2381,0.5860,74.0000,72.9501,1.3149,0.0000,0.0000,26.6207,0.6574,8.8380
8,8,102.9650,20.4671,8.2558,3.8810,47.7570,9.6464,22.2445,6.4717,0.0000,0.0000,0.2986,0.0545,0.0000,0.0000,0.6409,0.1723,193.7388,5.8328,0.7888,16.2447,0.3388,0.7888,74.0000,65.0601,9.5450,0.0000,0.0000,29.6439,4.7725,9.5472
9,9,88.0064,28.0916,12.6354,4.8871,48.9435,7.3516,22.2557,9.5493,0.0864,0.0058,0.2829,0.1139,0.0000,0.0000,0.6643,0.2600,196.5988,6.2720,0.8944,16.5454,0.3781,0.8944,74.0000,64.8219,9.7754,0.0115,0.0000,31.5548,4.8899,10.1248
