,day,susceptible,exposed,infected,removed,susceptible-in-quarantine,exposed-in-quarantine,infected-in-quarantine,removed-in-quarantine,susceptible-in-quarantine-external-1,exposed-in-quarantine-external-1,infected-in-quarantine-external-1,removed-in-quarantine-external-1,susceptible-in-quarantine-external-2,exposed-in-quarantine-external-2,infected-in-quarantine-external-2,removed-in-quarantine-external-2,num-of-screened-agents,num-of-screened-agents-external-1,num-of-screened-agents-external-2,num-of-positive-agents,num-of-positive-agents-external-1,num-of-positive-agents-external-2,num-vaccinated,num-immunized,num-immunized-in-quarantine,num-immunized-in-quarantine-external-1,num-immunized-in-quarantine-external-2,num-infected-outside,num-of-classroom-in-quarantine,classroom-with-at-least-one-infected
0,0.0000,255.1082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.0000,34.8918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,1.0000,243.5411,11.5671,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7355,0.0000,0.0000,0.0000,0.0000,50.0000,34.8918,0.0000,0.0000,0.0000,11.5671,0.0000,0.0000
2,2.0000,226.3367,25.3647,3.3687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0281,0.0000,0.0000,1.4389,0.0281,0.0000,0.0100,0.0281,50.0000,34.8918,0.0000,0.0000,0.0000,22.9058,0.0000,2.8537
3,3.0000,200.6413,43.7916,10.1022,0.4429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0361,0.0020,0.0000,0.0000,0.0882,0.0040,0.0000,2.1323,0.0922,0.0000,0.0381,0.0922,50.0000,34.8918,0.0000,0.0000,0.0000,33.2926,0.0000,6.0621
4,4.0000,165.2926,66.7916,20.8818,1.7876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1042,0.0040,0.0000,0.0000,0.2305,0.0160,0.0000,2.8176,0.2465,0.0000,0.1082,0.2465,50.0000,34.8918,0.0000,0.0000,0.0000,42.7595,0.0000,8.6653
5,5.0000,125.5331,87.4289,36.7295,4.6493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2104,0.0160,0.0000,0.0000,0.5070,0.0341,0.0000,3.5731,0.5411,0.0000,0.2265,0.5411,50.0000,34.8918,0.0000,0.0000,0.0000,50.4028,0.0000,10.3707
6,6.0000,119.6754,68.5711,56.0100,9.5491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3447,0.0401,0.0000,0.0000,0.8016,0.1162,0.0000,4.2745,0.9178,0.0000,0.3848,0.9178,50.0000,34.8918,0.0000,0.0000,0.0000,56.2585,0.0000,11.2946
7,7.0000,114.2946,54.2004,67.6994,16.9559,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4629,0.0902,0.0000,0.0000,1.1723,0.2325,0.0000,5.0160,1.4048,0.0000,0.5531,1.4048,50.0000,34.8918,0.0000,0.0000,0.0000,61.6393,0.0000,11.6673
8,8.0000,69.5892,83.5792,73.2204,26.0060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6132,0.1483,0.0000,0.0000,1.5872,0.3647,0.0000,5.7315,1.9519,0.0000,0.7615,1.9519,50.0000,34.8918,0.0000,0.0000,0.0000,66.9138,0.0000,11.8196
9,9.0000,40.0100,89.4409,86.4349,35.5892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7776,0.2445,0.0000,0.0000,2.0160,0.5952,0.0000,6.4589,2.6112,0.0000,1.0220,2.6112,50.0000,34.8918,0.0000,0.0000,0.0000,70.0842,0.0000,11.9279
10,10.0000,21.8537,82.2124,99.2946,47.1242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9780,0.3146,0.0000,0.0000,2.4449,0.8858,0.0000,7.1543,3.3307,0.0000,1.2926,3.3307,50.0000,34.8918,0.0000,0.0000,0.0000,71.8918,0.0000,11.9760
11,11.0000,11.3788,69.2786,108.0701,60.6152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2064,0.4329,0.0000,0.0000,2.9098,1.2164,0.0000,7.8838,4.1263,0.0000,1.6393,4.1263,50.0000,34.8918,0.0000,0.0000,0.0000,72.8577,0.0000,11.9920
